family,role_type,role_reason,bridge_score,avg_co_memory_count,avg_cosine,avg_distance,role_diversity,bridge_role_share,roles,topology_bindings,top_neighbors
dio_0l7p,brueckentraeger,"spitze Rekopplung im Ereignis, danach offenere Nachprüfung",0.686947,167.7,0.96486,0.206699,7,0.0625,asymmetrie_minus:18;asymmetrie_plus:17;hoeren_staerker:15;kohaerenz_hoeher:12;sehen_schaerfer:12;zielnahe_mitrolle:5;kohaerenz_niedriger:1,rand_polarisierend:35;nachhall_aktivierend:15;zentrum_stabilisierend:12;sehen_formbindend:12;bruecke_zielnah:5;gemischte_uebergangsrolle:1,dio_1fll:kohaerenz_hoeher;dio_13o0:asymmetrie_minus;dio_14wj:zielnahe_mitrolle;dio_0kx9:asymmetrie_plus;dio_1492:asymmetrie_minus
dio_104t,anschluss_kohärenzknoten,hält Rekopplung im Nachlauf länger,0.669413,151.25,0.966709,0.200303,8,0.0375,asymmetrie_plus:22;kohaerenz_hoeher:17;sehen_schaerfer:15;asymmetrie_minus:9;hoeren_staerker:8;hoeren_leiser:5;zielnahe_mitrolle:3;kohaerenz_niedriger:1,rand_polarisierend:31;zentrum_stabilisierend:17;sehen_formbindend:15;nachhall_aktivierend:8;nachhall_daempfend:5;bruecke_zielnah:3;gemischte_uebergangsrolle:1,dio_1fll:kohaerenz_hoeher;dio_14wj:hoeren_leiser;dio_06er:kohaerenz_hoeher;dio_13o0:asymmetrie_minus;dio_1492:kohaerenz_hoeher
dio_14wj,breiter_uebergangsknoten,breite Rollennähe mit sichtbarer Zielbrücke,0.660232,215.3875,0.958596,0.236628,6,0.05,asymmetrie_minus:22;asymmetrie_plus:22;hoeren_staerker:14;kohaerenz_hoeher:12;sehen_schaerfer:6;zielnahe_mitrolle:4,rand_polarisierend:44;nachhall_aktivierend:14;zentrum_stabilisierend:12;sehen_formbindend:6;bruecke_zielnah:4,dio_1fll:kohaerenz_hoeher;dio_13o0:asymmetrie_minus;dio_0n0i:asymmetrie_plus;dio_1ygx:kohaerenz_hoeher;dio_0nlj:asymmetrie_plus
dio_1fll,randnaher_sammelknoten,"breit, aber distanzierter und stärker randnah",0.465,224.9125,0.93923,0.264148,6,0.0625,asymmetrie_plus:20;asymmetrie_minus:19;hoeren_staerker:14;kohaerenz_niedriger:12;sehen_schaerfer:10;zielnahe_mitrolle:5,rand_polarisierend:39;nachhall_aktivierend:14;gemischte_uebergangsrolle:12;sehen_formbindend:10;bruecke_zielnah:5,dio_0n0i:asymmetrie_plus;dio_0g3b:zielnahe_mitrolle;dio_1ygx:zielnahe_mitrolle;dio_02n3:kohaerenz_niedriger;dio_13o0:asymmetrie_minus
dio_0m9z,hoer_nachhall_knoten,stärker über Hören und Nachhall differenziert,0.453667,145.7625,0.956779,0.224561,7,0.025,hoeren_leiser:30;asymmetrie_plus:16;kohaerenz_hoeher:10;sehen_schaerfer:10;asymmetrie_minus:9;hoeren_staerker:3;zielnahe_mitrolle:2,nachhall_daempfend:30;rand_polarisierend:25;zentrum_stabilisierend:10;sehen_formbindend:10;nachhall_aktivierend:3;bruecke_zielnah:2,dio_14wj:hoeren_leiser;dio_1fll:hoeren_leiser;dio_13o0:hoeren_leiser;dio_1492:hoeren_leiser;dio_17ct:asymmetrie_minus
dio_155c,hoer_nachhall_knoten,stärker über Hören und Nachhall differenziert,0.326914,150.9875,0.943666,0.247113,8,0.0375,asymmetrie_plus:29;hoeren_leiser:25;kohaerenz_hoeher:10;sehen_schaerfer:7;asymmetrie_minus:3;zielnahe_mitrolle:3;hoeren_staerker:2;kohaerenz_niedriger:1,rand_polarisierend:32;nachhall_daempfend:25;zentrum_stabilisierend:10;sehen_formbindend:7;bruecke_zielnah:3;nachhall_aktivierend:2;gemischte_uebergangsrolle:1,dio_1fll:hoeren_leiser;dio_14wj:hoeren_leiser;dio_13o0:hoeren_leiser;dio_06er:hoeren_leiser;dio_1492:hoeren_leiser
