source,family,active_windows,total_count,avg_symbol_count,role_profile,dominant_axes,avg_sehen_form_salience,avg_sehen_memory_recall,avg_hoeren_stimulation,avg_kontakt_druck,avg_feldaufnahme_druck,avg_mcm_kohaerenz,avg_mcm_spannung,avg_mcm_asymmetrie,avg_feldsignatur
real_btc,dio_0l7p,3,271,1.0,hoeren_kohaerenz_getragen:3,mcm_kohaerenz:0.6129;sehen_form_salience:0.2319;hoeren_stimulation:0.0879;feldaufnahme_druck:0.0530,0.231855,0.0,0.087895,0.0,0.053028,0.612935,0.053028,-0.004854,0.009776
real_btc,dio_0m9z,3,263,1.0,hoeren_kohaerenz_getragen:3,mcm_kohaerenz:0.6170;sehen_form_salience:0.2467;hoeren_stimulation:0.2356;feldaufnahme_druck:0.1154,0.246663,0.0,0.235562,0.0,0.115434,0.617041,0.115434,-0.010901,0.009637
real_btc,dio_104t,3,451,1.0,hoeren_kohaerenz_getragen:3,mcm_kohaerenz:0.6136;sehen_form_salience:0.2387;hoeren_stimulation:0.1453;feldaufnahme_druck:0.0789,0.23874,0.0,0.145277,0.0,0.078939,0.613565,0.078939,-0.008486,0.009697
real_btc,dio_14wj,3,150,1.0,hoeren_kohaerenz_getragen:3,mcm_kohaerenz:0.6021;sehen_form_salience:0.2359;hoeren_stimulation:0.0448;feldaufnahme_druck:0.0360,0.235872,0.0,0.044824,0.0,0.03605,0.602057,0.03605,0.007787,0.009677
real_btc,dio_155c,3,314,1.0,hoeren_kohaerenz_getragen:3,mcm_kohaerenz:0.6167;hoeren_stimulation:0.2470;sehen_form_salience:0.2392;feldaufnahme_druck:0.1220,0.239189,0.0,0.247026,0.0,0.122049,0.61671,0.122049,-0.105823,0.009784
real_btc,dio_1fll,3,32,1.0,hoeren_kohaerenz_getragen:3,mcm_kohaerenz:0.7383;sehen_form_salience:0.1546;hoeren_stimulation:0.0401;feldaufnahme_druck:0.0259,0.154598,0.0,0.040067,0.0,0.025936,0.738323,0.025936,0.001603,0.011248
real_paxg,dio_0l7p,3,293,1.0,hoeren_kohaerenz_getragen:3,mcm_kohaerenz:0.6083;sehen_form_salience:0.2293;hoeren_stimulation:0.0840;feldaufnahme_druck:0.0536,0.229329,0.0,0.084027,0.0,0.053609,0.608299,0.053609,-0.00501,0.009736
real_paxg,dio_0m9z,3,211,1.0,hoeren_kohaerenz_getragen:3,mcm_kohaerenz:0.6154;sehen_form_salience:0.2420;hoeren_stimulation:0.2417;feldaufnahme_druck:0.1173,0.241973,0.0,0.241653,0.0,0.11726,0.615397,0.11726,-0.011275,0.009616
real_paxg,dio_104t,3,451,1.0,hoeren_kohaerenz_getragen:3,mcm_kohaerenz:0.6107;sehen_form_salience:0.2316;hoeren_stimulation:0.1379;feldaufnahme_druck:0.0775,0.231613,0.0,0.137901,0.0,0.077455,0.610673,0.077455,-0.008879,0.009701
real_paxg,dio_14wj,3,477,1.0,sehen_kohaerenz_getragen:3,mcm_kohaerenz:0.5916;sehen_form_salience:0.2088;feldaufnahme_druck:0.0337;mcm_spannung:0.0337,0.208819,0.0,0.032775,0.0,0.033664,0.591611,0.033664,-0.000924,0.009548
real_paxg,dio_155c,3,219,1.0,hoeren_kohaerenz_getragen:3,mcm_kohaerenz:0.6196;sehen_form_salience:0.2371;hoeren_stimulation:0.2352;feldaufnahme_druck:0.1167,0.237087,0.0,0.235233,0.0,0.116741,0.619569,0.116741,-0.104628,0.009858
real_paxg,dio_1fll,3,199,1.0,hoeren_kohaerenz_getragen:3,mcm_kohaerenz:0.7771;sehen_form_salience:0.1405;hoeren_stimulation:0.0300;feldaufnahme_druck:0.0209,0.14051,0.0,0.029978,0.0,0.020877,0.77715,0.020877,-0.003178,0.011803
synthetisch,dio_0l7p,1,1,1.0,hoeren_kohaerenz_getragen:1,mcm_kohaerenz:0.6069;sehen_form_salience:0.1916;hoeren_stimulation:0.0703;feldaufnahme_druck:0.0471,0.19156,0.0,0.070271,0.0,0.047132,0.606856,0.047132,0.04357,0.010572
synthetisch,dio_0m9z,0,0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetisch,dio_104t,0,0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetisch,dio_14wj,2,227,1.0,sehen_kohaerenz_getragen:2,mcm_kohaerenz:0.5885;sehen_form_salience:0.1963;feldaufnahme_druck:0.0303;mcm_spannung:0.0303,0.19631,0.0,0.024741,0.0,0.030292,0.58848,0.030292,0.007138,0.010195
synthetisch,dio_155c,0,0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
synthetisch,dio_1fll,2,4017,1.0,hoeren_kohaerenz_getragen:2,mcm_kohaerenz:0.7726;sehen_form_salience:0.1295;hoeren_stimulation:0.0306;feldaufnahme_druck:0.0205,0.129513,0.0,0.030599,0.0,0.020522,0.772598,0.020522,-0.001888,0.012509
