target_family,neighbor_family,co_memory_count,neighbor_count_sum,avg_cosine,avg_distance,role_reading,major_delta_axis,major_delta,source_profile,target_avg_sehen_form_salience,neighbor_avg_sehen_form_salience,delta_sehen_form_salience,target_avg_sehen_memory_recall,neighbor_avg_sehen_memory_recall,delta_sehen_memory_recall,target_avg_hoeren_stimulation,neighbor_avg_hoeren_stimulation,delta_hoeren_stimulation,target_avg_kontakt_druck,neighbor_avg_kontakt_druck,delta_kontakt_druck,target_avg_feldaufnahme_druck,neighbor_avg_feldaufnahme_druck,delta_feldaufnahme_druck,target_avg_mcm_kohaerenz,neighbor_avg_mcm_kohaerenz,delta_mcm_kohaerenz,target_avg_mcm_spannung,neighbor_avg_mcm_spannung,delta_mcm_spannung,target_avg_mcm_asymmetrie,neighbor_avg_mcm_asymmetrie,delta_mcm_asymmetrie,target_avg_feldsignatur,neighbor_avg_feldsignatur,delta_feldsignatur
dio_0l7p,dio_1fll,204,51759,0.980326,0.173693,kohaerenz_hoeher,mcm_kohaerenz,0.134219,sonstige:73;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.230478,0.14528,-0.085198,0.0,0.0,0.0,0.082875,0.033689,-0.049186,0.0,0.0,0.0,0.050328,0.022685,-0.027644,0.622068,0.756288,0.134219,0.050328,0.022685,-0.027644,0.000858,0.000573,-0.000285,0.010044,0.01174,0.001696
dio_0l7p,dio_13o0,204,23784,0.980016,0.172152,asymmetrie_minus,mcm_asymmetrie,-0.125587,sonstige:73;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.230478,0.22402,-0.006458,0.0,0.0,0.0,0.082875,0.038096,-0.044779,0.0,0.0,0.0,0.050328,0.028842,-0.021486,0.622068,0.721016,0.098948,0.050328,0.028842,-0.021486,0.000858,-0.124728,-0.125587,0.010044,0.011517,0.001473
dio_0l7p,dio_0kx9,204,6134,0.98134,0.135544,asymmetrie_plus,mcm_asymmetrie,0.116676,sonstige:73;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.230478,0.256326,0.025848,0.0,0.0,0.0,0.082875,0.037756,-0.045119,0.0,0.0,0.0,0.050328,0.030878,-0.01945,0.622068,0.635517,0.013448,0.050328,0.030878,-0.01945,0.000858,0.117535,0.116676,0.010044,0.009859,-0.000185
dio_0l7p,dio_14wj,204,16530,0.99668,0.058257,zielnahe_mitrolle,hoeren_stimulation,-0.044116,sonstige:73;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.230478,0.222879,-0.007599,0.0,0.0,0.0,0.082875,0.038759,-0.044116,0.0,0.0,0.0,0.050328,0.032524,-0.017804,0.622068,0.610544,-0.011524,0.050328,0.032524,-0.017804,0.000858,0.001373,0.000515,0.010044,0.009942,-0.000102
dio_0l7p,dio_1492,203,7358,0.985246,0.167562,asymmetrie_minus,mcm_asymmetrie,-0.122798,sonstige:72;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.230398,0.229615,-0.000783,0.0,0.0,0.0,0.082892,0.087445,0.004553,0.0,0.0,0.0,0.050345,0.05021,-0.000134,0.622116,0.7312,0.109084,0.050345,0.05021,-0.000134,0.000763,-0.122035,-0.122798,0.010048,0.01158,0.001532
dio_0l7p,dio_0n0i,202,32218,0.980037,0.172401,asymmetrie_plus,mcm_asymmetrie,0.125262,sonstige:73;btc:45;doge:25;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.230492,0.224109,-0.006384,0.0,0.0,0.0,0.082845,0.03716,-0.045685,0.0,0.0,0.0,0.050312,0.028439,-0.021872,0.622105,0.721325,0.09922,0.050312,0.028439,-0.021872,0.000881,0.126143,0.125262,0.010047,0.010926,0.000879
dio_0l7p,dio_0nlj,202,6506,0.985144,0.169059,asymmetrie_plus,mcm_asymmetrie,0.122486,sonstige:72;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,0.230522,0.226204,-0.004318,0.0,0.0,0.0,0.083007,0.086914,0.003907,0.0,0.0,0.0,0.050411,0.049828,-0.000583,0.621857,0.733938,0.112081,0.050411,0.049828,-0.000583,0.000996,0.123482,0.122486,0.010039,0.011033,0.000994
dio_0l7p,dio_06er,202,7152,0.988055,0.154708,kohaerenz_hoeher,mcm_kohaerenz,0.13334,sonstige:71;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.230167,0.159055,-0.071112,0.0,0.0,0.0,0.082967,0.088132,0.005165,0.0,0.0,0.0,0.050375,0.046842,-0.003533,0.622017,0.755357,0.13334,0.050375,0.046842,-0.003533,0.000967,-0.007067,-0.008034,0.010043,0.011664,0.001621
dio_0l7p,dio_1ygx,201,17612,0.979282,0.180768,kohaerenz_hoeher,mcm_kohaerenz,0.130233,sonstige:73;btc:45;doge:25;xrp:24;paxg:24;expansion:3;sideways:3;stress:3;synth:1,0.230457,0.169625,-0.060831,0.0,0.0,0.0,0.082847,0.034104,-0.048743,0.0,0.0,0.0,0.050298,0.024225,-0.026073,0.622289,0.752521,0.130233,0.050298,0.024225,-0.026073,0.000882,-0.084451,-0.085333,0.010051,0.01184,0.001789
dio_0l7p,dio_04q7,199,2633,0.961199,0.256289,asymmetrie_plus,mcm_asymmetrie,0.222995,sonstige:71;btc:45;doge:26;xrp:24;paxg:24;expansion:3;sideways:3;stress:3,0.230582,0.262815,0.032233,0.0,0.0,0.0,0.083067,0.088302,0.005234,0.0,0.0,0.0,0.050437,0.052449,0.002013,0.621693,0.73733,0.115638,0.050437,0.052449,0.002013,0.001103,0.224098,0.222995,0.010035,0.010836,0.000801
dio_0l7p,dio_0ly7,199,3381,0.982003,0.193816,kohaerenz_hoeher,mcm_kohaerenz,0.153614,sonstige:69;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,0.230137,0.167329,-0.062808,0.0,0.0,0.0,0.083135,0.088304,0.005169,0.0,0.0,0.0,0.050476,0.047394,-0.003082,0.621088,0.774702,0.153614,0.050476,0.047394,-0.003082,0.00103,0.097123,0.096092,0.010025,0.011666,0.001641
dio_0l7p,dio_1350,198,2790,0.996706,0.109319,kohaerenz_hoeher,mcm_kohaerenz,0.103113,sonstige:68;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,0.230045,0.214211,-0.015834,0.0,0.0,0.0,0.083239,0.090234,0.006996,0.0,0.0,0.0,0.050528,0.050436,-9.2e-05,0.621991,0.725104,0.103113,0.050528,0.050436,-9.2e-05,0.001417,0.010827,0.009409,0.010029,0.011192,0.001163
dio_0l7p,dio_05ap,196,2346,0.98447,0.177531,kohaerenz_hoeher,mcm_kohaerenz,0.140858,sonstige:66;btc:46;doge:26;xrp:24;paxg:24;expansion:3;sideways:3;stress:3;synth:1,0.229294,0.171751,-0.057542,0.0,0.0,0.0,0.083128,0.088015,0.004886,0.0,0.0,0.0,0.050463,0.047512,-0.00295,0.621694,0.762552,0.140858,0.050463,0.047512,-0.00295,0.000434,-0.086335,-0.086769,0.01004,0.011936,0.001896
dio_0l7p,dio_1kpz,195,6771,0.984955,0.127251,asymmetrie_plus,mcm_asymmetrie,0.117465,sonstige:65;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,0.230489,0.263336,0.032846,0.0,0.0,0.0,0.083393,0.084659,0.001267,0.0,0.0,0.0,0.050664,0.051208,0.000544,0.621155,0.642323,0.021168,0.050664,0.051208,0.000544,0.001277,0.118743,0.117465,0.010012,0.009881,-0.000131
dio_0l7p,dio_0g3b,194,21914,0.979496,0.183641,kohaerenz_hoeher,mcm_kohaerenz,0.136026,sonstige:73;btc:45;paxg:24;doge:22;xrp:20;expansion:3;sideways:3;stress:3;synth:1,0.23042,0.167196,-0.063223,0.0,0.0,0.0,0.082632,0.03634,-0.046292,0.0,0.0,0.0,0.0502,0.025064,-0.025136,0.622533,0.758559,0.136026,0.0502,0.025064,-0.025136,0.001036,0.084411,0.083376,0.01006,0.011558,0.001498
dio_0l7p,dio_0pz6,193,8223,0.981925,0.19168,asymmetrie_minus,mcm_asymmetrie,-0.130461,sonstige:62;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.230404,0.242311,0.011907,0.0,0.0,0.0,0.083309,0.149356,0.066047,0.0,0.0,0.0,0.050587,0.076788,0.026201,0.621031,0.730596,0.109565,0.050587,0.076788,0.026201,0.000123,-0.130338,-0.130461,0.010013,0.011499,0.001485
