asset,count,klassen,rollen,kombinationen,rekopplung,adaptive_rekopplung,adaptive_rekopplung_experience,nachhall,syntax
BTC,4,"verteilt_offen, mittlere_uebergangsphase, verteilt_offen, verteilt_offen",5.0,10.25,0.6863215,0.724377,0.52849025,0.2693745,287.75
DOGE,4,"verteilt_offen, mittlere_uebergangsphase, verteilt_offen, verteilt_offen",5.5,13.5,0.6867785,0.72531875,0.509362,0.2852995,269.5
XRP,4,"verteilt_offen, verteilt_offen, verteilt_offen, verteilt_offen",8.0,21.25,0.68716625,0.72327075,0.49635324999999997,0.29077525,276.25
