label,weltgruppe,achsenklasse,rollenbreite_klasse,rollen,kombinationen,rollen_reaktiviert,kombinationen_voll,reaktivierungsquote,kombinationsquote,cross_state,same_state,avg_co_touch,min_co_touch,avg_resonanz,syntax,stabil,tragend_unruhig,kippend,gespannt,field_carried,field_strained,rekopplung,adaptive_rekopplung,adaptive_rekopplung_delta,adaptive_rekopplung_experience,adaptive_weight_carry,adaptive_weight_alignment,adaptive_weight_strain_relief,adaptive_weight_sensory,carry,strain,sensory,nachhall,neuro_load,neuro_balance,data_path,follow_data_path
BTC_2025_1H_NEIGHBOR_1000_2000,BTC_1H_REKOPPLUNGSZONE,verteilt_offen,verteilt,6,15,4,6,0.666667,0.4,9,6,0.5406666666666666,0.013333,0.19849920000000001,240,977,17,0,0,0,0,0.69354,0.735906,0.042365999999999904,0.567237,0.294346,0.220493,0.272882,0.21228,0.508119,0.162062,0.844703,0.327525,0.098722,0.340876,data\btc_2025_1h_follow_candidate_1000_2000.csv,data\btc_2025_1h_follow_candidate_2000_3000.csv
BTC_2025_1H_CORE_2000_3000,BTC_1H_REKOPPLUNGSZONE,verteilt_rekoppelnd,verteilt,5,10,4,6,0.8,0.6,4,6,0.5846668,0.156667,0.223385,229,984,10,0,0,0,0,0.695555,0.737,0.041444999999999954,0.443215,0.29581,0.220571,0.272272,0.211346,0.51221,0.161427,0.846332,0.351238,0.096721,0.348267,data\btc_2025_1h_follow_candidate_2000_3000.csv,data\btc_2025_1h_follow_candidate_3000_4000.csv
BTC_2025_1H_NEIGHBOR_3000_4000,BTC_1H_REKOPPLUNGSZONE,mittlere_uebergangsphase,mittel,3,3,2,1,0.666667,0.333333,2,1,0.107778,0.076667,0.36104833333333336,220,984,10,0,0,0,0,0.693828,0.730712,0.03688400000000003,0.469316,0.307675,0.222243,0.265038,0.205043,0.511324,0.162935,0.843733,0.34586,0.096932,0.348569,data\btc_2025_1h_follow_candidate_3000_4000.csv,data\btc_2025_1h_follow_candidate_4000_5000.csv
BTC_2025_30M_ZONE_4000_5000,BTC_30M_SAME_PHASE,mittlere_uebergangsphase,mittel,3,3,3,3,1.0,1.0,2,1,0.08222233333333333,0.026667,0.36737833333333336,295,974,20,0,0,0,0,0.684869,0.725635,0.04076600000000008,0.537503,0.299621,0.221371,0.270243,0.208766,0.495317,0.167954,0.83408,0.272501,0.107345,0.317857,data\btc_2025_30m_zone_4000_5000.csv,data\btc_2025_30m_zone_5000_6000.csv
BTC_2025_30M_ZONE_5000_6000,BTC_30M_SAME_PHASE,verteilt_offen,verteilt,6,15,3,3,0.5,0.2,9,6,0.508889,0.09,0.20249726666666668,241,978,16,0,0,0,0,0.693982,0.733653,0.03967100000000001,0.579365,0.30154,0.22164,0.269038,0.207782,0.508717,0.161278,0.846116,0.326717,0.098591,0.34161,data\btc_2025_30m_zone_5000_6000.csv,data\btc_2025_30m_zone_6000_7000.csv
BTC_2025_30M_ZONE_6000_7000,BTC_30M_SAME_PHASE,mittlere_uebergangsphase,mittel,3,3,1,0,0.333333,0.0,2,1,0.12222233333333334,0.053333,0.38753966666666667,241,983,11,0,0,0,0,0.691095,0.727038,0.03594299999999995,0.451207,0.311188,0.222829,0.263916,0.202067,0.505464,0.163377,0.839734,0.311552,0.099148,0.339572,data\btc_2025_30m_zone_6000_7000.csv,data\btc_2025_30m_zone_7000_8000.csv
BTC_2025_30M_ZONE_7000_8000,BTC_30M_SAME_PHASE,kompakt_nachhallend,kompakt,2,1,1,0,0.5,0.0,1,0,0.026667,0.026667,0.5,245,982,12,0,0,0,0,0.691953,0.734933,0.04297999999999991,0.601051,0.292787,0.220481,0.274175,0.212558,0.50631,0.162839,0.842337,0.318287,0.099763,0.338393,data\btc_2025_30m_zone_7000_8000.csv,data\btc_2025_30m_zone_8000_9000.csv
BTC_2025_15M_ZONE_8000_9000,BTC_15M_SAME_PHASE,kompakt_nachhallend,kompakt,2,1,1,0,0.5,0.0,1,0,0.22,0.22,0.5,298,971,23,0,0,0,0,0.684251,0.726946,0.04269499999999993,0.577968,0.295018,0.22068,0.272905,0.211397,0.494261,0.167226,0.832843,0.260271,0.107023,0.3172,data\btc_2025_15m_zone_8000_9000.csv,data\btc_2025_15m_zone_9000_10000.csv
BTC_2025_15M_ZONE_9000_10000,BTC_15M_SAME_PHASE,verteilt_rekoppelnd,verteilt,5,10,3,3,0.6,0.3,4,3,1.0,1.0,0.1999999,235,984,10,0,0,0,0,0.695155,0.727188,0.03203299999999998,0.424939,0.322263,0.224529,0.256866,0.196342,0.510797,0.160484,0.848101,0.338826,0.097924,0.343567,data\btc_2025_15m_zone_9000_10000.csv,data\btc_2025_15m_zone_10000_11000.csv
BTC_2025_15M_ZONE_10000_11000,BTC_15M_SAME_PHASE,kompakt_nachhallend,kompakt,1,0,1,0,1.0,0.0,0,0,0.0,0.0,0.0,300,969,25,0,0,0,0,0.683936,0.725618,0.041682,0.648055,0.297665,0.221201,0.272266,0.208869,0.493587,0.167871,0.832735,0.261133,0.107824,0.315474,data\btc_2025_15m_zone_10000_11000.csv,data\btc_2025_15m_zone_11000_12000.csv
BTC_2025_15M_ZONE_11000_12000,BTC_15M_SAME_PHASE,mittlere_uebergangsphase,mittel,3,3,2,1,0.666667,0.333333,2,1,0.05000000000000001,0.05,0.3333333333333333,254,978,16,0,0,0,0,0.689084,0.732259,0.04317499999999996,0.648726,0.292998,0.220041,0.274701,0.21226,0.502085,0.165069,0.839572,0.301652,0.102659,0.330585,data\btc_2025_15m_zone_11000_12000.csv,data\btc_2025_15m_zone_12000_13000.csv
