target_family,neighbor_family,co_memory_count,neighbor_count_sum,avg_cosine,avg_distance,role_reading,major_delta_axis,major_delta,source_profile,target_avg_sehen_form_salience,neighbor_avg_sehen_form_salience,delta_sehen_form_salience,target_avg_sehen_memory_recall,neighbor_avg_sehen_memory_recall,delta_sehen_memory_recall,target_avg_hoeren_stimulation,neighbor_avg_hoeren_stimulation,delta_hoeren_stimulation,target_avg_kontakt_druck,neighbor_avg_kontakt_druck,delta_kontakt_druck,target_avg_feldaufnahme_druck,neighbor_avg_feldaufnahme_druck,delta_feldaufnahme_druck,target_avg_mcm_kohaerenz,neighbor_avg_mcm_kohaerenz,delta_mcm_kohaerenz,target_avg_mcm_spannung,neighbor_avg_mcm_spannung,delta_mcm_spannung,target_avg_mcm_asymmetrie,neighbor_avg_mcm_asymmetrie,delta_mcm_asymmetrie,target_avg_feldsignatur,neighbor_avg_feldsignatur,delta_feldsignatur
dio_14wj,dio_06s7,178,7119,0.983202,0.13364,asymmetrie_minus,mcm_asymmetrie,-0.112661,sonstige:47;btc:46;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.225747,0.251829,0.026083,0.0,0.0,0.0,0.039592,0.087637,0.048045,0.0,0.0,0.0,0.033323,0.052068,0.018745,0.607764,0.636122,0.028357,0.033323,0.052068,0.018745,-0.0001,-0.11276,-0.112661,0.009835,0.010254,0.000419
dio_14wj,dio_1sa0,177,1510,0.928744,0.388201,asymmetrie_minus,mcm_asymmetrie,-0.239803,sonstige:48;btc:46;doge:26;xrp:24;paxg:23;expansion:3;sideways:3;stress:3;synth:1,0.227081,0.359975,0.132895,0.0,0.0,0.0,0.038458,0.240884,0.202426,0.0,0.0,0.0,0.032671,0.119166,0.086495,0.608928,0.742929,0.134002,0.032671,0.119166,0.086495,-8.9e-05,-0.239892,-0.239803,0.009876,0.011605,0.001728
dio_14wj,dio_0rwk,174,889,0.946171,0.288949,asymmetrie_minus,mcm_asymmetrie,-0.245377,sonstige:119;btc:24;doge:13;xrp:10;sideways:3;stress:2;paxg:2;synth:1,0.219174,0.329773,0.110599,0.0,0.0,0.0,0.03479,0.085663,0.050874,0.0,0.0,0.0,0.029028,0.054702,0.025674,0.622753,0.70155,0.078797,0.029028,0.054702,0.025674,0.003723,-0.241655,-0.245377,0.010362,0.011585,0.001223
dio_14wj,dio_00cy,172,749,0.907359,0.40446,asymmetrie_plus,mcm_asymmetrie,0.344499,sonstige:86;btc:28;doge:22;xrp:15;paxg:14;expansion:3;sideways:3;stress:1,0.220491,0.345851,0.12536,0.0,0.0,0.0,0.036237,0.145911,0.109673,0.0,0.0,0.0,0.030414,0.080985,0.050571,0.616608,0.72079,0.104181,0.030414,0.080985,0.050571,0.002287,0.346787,0.344499,0.010147,0.010244,9.7e-05
dio_14wj,dio_0zvt,172,510,0.934413,0.338728,asymmetrie_plus,mcm_asymmetrie,0.272881,sonstige:62;btc:40;xrp:21;paxg:21;doge:19;expansion:3;sideways:3;stress:3,0.221612,0.333069,0.111457,0.0,0.0,0.0,0.038181,0.141962,0.103782,0.0,0.0,0.0,0.031919,0.078332,0.046414,0.611685,0.716485,0.1048,0.031919,0.078332,0.046414,0.001407,0.274287,0.272881,0.009997,0.010301,0.000303
dio_14wj,dio_06qi,169,2717,0.954227,0.287474,hoeren_staerker,hoeren_stimulation,0.187392,btc:46;sonstige:39;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,0.222744,0.232337,0.009592,0.0,0.0,0.0,0.039286,0.226678,0.187392,0.0,0.0,0.0,0.033142,0.109554,0.076412,0.606609,0.736553,0.129944,0.033142,0.109554,0.076412,0.000744,0.13259,0.131846,0.00983,0.010874,0.001044
dio_14wj,dio_04k7,168,532,0.956318,0.23436,asymmetrie_plus,mcm_asymmetrie,0.208913,sonstige:58;btc:34;paxg:23;doge:22;xrp:22;expansion:3;sideways:3;stress:3,0.221291,0.29578,0.074489,0.0,0.0,0.0,0.039033,0.081445,0.042412,0.0,0.0,0.0,0.032502,0.050902,0.018399,0.609852,0.658517,0.048665,0.032502,0.050902,0.018399,0.000511,0.209424,0.208913,0.009925,0.009806,-0.000119
dio_14wj,dio_155c,167,23460,0.936852,0.262039,hoeren_staerker,hoeren_stimulation,0.202235,btc:46;sonstige:36;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.223844,0.239687,0.015844,0.0,0.0,0.0,0.040345,0.24258,0.202235,0.0,0.0,0.0,0.033737,0.119971,0.086234,0.605902,0.623337,0.017435,0.033737,0.119971,0.086234,-0.000102,-0.10713,-0.107028,0.009791,0.009956,0.000165
dio_14wj,dio_0z3k,165,1153,0.935575,0.406933,asymmetrie_plus,mcm_asymmetrie,0.253112,btc:46;sonstige:36;doge:26;xrp:24;paxg:24;expansion:3;sideways:3;stress:3,0.225353,0.236569,0.011215,0.0,0.0,0.0,0.039556,0.232626,0.19307,0.0,0.0,0.0,0.033405,0.112522,0.079117,0.606418,0.831341,0.224923,0.033405,0.112522,0.079117,-0.000347,0.252765,0.253112,0.009813,0.011787,0.001974
dio_14wj,dio_0qup,164,571,0.881877,0.409892,asymmetrie_plus,mcm_asymmetrie,0.353839,sonstige:53;btc:41;doge:22;xrp:22;paxg:17;expansion:3;sideways:3;stress:3,0.224605,0.388672,0.164067,0.0,0.0,0.0,0.038024,0.134963,0.096938,0.0,0.0,0.0,0.032009,0.077912,0.045903,0.611001,0.638775,0.027774,0.032009,0.077912,0.045903,0.001071,0.35491,0.353839,0.009945,0.009157,-0.000788
