label,weltgruppe,achsenklasse,rollenbreite_klasse,rollen,kombinationen,rollen_reaktiviert,kombinationen_voll,reaktivierungsquote,kombinationsquote,cross_state,same_state,avg_co_touch,min_co_touch,avg_resonanz,syntax,stabil,tragend_unruhig,kippend,gespannt,field_carried,field_strained,rekopplung,adaptive_rekopplung,adaptive_rekopplung_delta,adaptive_rekopplung_experience,adaptive_weight_carry,adaptive_weight_alignment,adaptive_weight_strain_relief,adaptive_weight_sensory,carry,strain,sensory,nachhall,neuro_load,neuro_balance,data_path,follow_data_path
BTC_2025_FOLLOW_5000_6000,BTC_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,5,10,2,1,0.4,0.1,6,4,0.3336668,0.156667,0.2308402,287,967,27,0,0,0,0,0.686624,0.721789,0.035165,0.49156,0.314701,0.223263,0.261616,0.200419,0.498459,0.165598,0.835326,0.279654,0.10432,0.324109,data\btc_2025_follow_candidate_5000_6000.csv,data\btc_2025_follow_candidate_6000_7000.csv
BTC_2025_FOLLOW_6000_7000,BTC_2025_LOCAL_SEQ_LATE,mittlere_uebergangsphase,mittel,3,3,2,1,0.666667,0.333333,2,1,0.15,0.09,0.3613223333333333,277,968,26,0,0,0,0,0.688127,0.731505,0.04337799999999992,0.591717,0.292786,0.219947,0.274457,0.212811,0.500451,0.164768,0.837992,0.289999,0.103456,0.327528,data\btc_2025_follow_candidate_6000_7000.csv,data\btc_2025_follow_candidate_7000_8000.csv
BTC_2025_FOLLOW_7000_8000,BTC_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,7,18,2,1,0.285714,0.055556,12,6,0.5288888333333334,0.053333,0.19418105555555554,334,973,21,0,0,0,0,0.681067,0.711419,0.030352000000000046,0.489437,0.330742,0.226207,0.25318,0.189871,0.487894,0.166401,0.828042,0.218644,0.109115,0.30619,data\btc_2025_follow_candidate_7000_8000.csv,data\btc_2025_follow_candidate_8000_9000.csv
BTC_2025_FOLLOW_8000_9000,BTC_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,5,10,3,3,0.6,0.3,6,2,0.3263332,0.013333,0.2398234,253,986,8,0,0,0,0,0.689468,0.732795,0.043327000000000004,0.541247,0.293182,0.22068,0.273909,0.212229,0.501623,0.163517,0.842229,0.289201,0.102622,0.329586,data\btc_2025_follow_candidate_8000_9000.csv,data\btc_2025_follow_candidate_9000_10000.csv
DOGE_2025_FOLLOW_5000_6000,DOGE_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,6,15,3,3,0.5,0.2,9,6,0.14066666666666666,0.013333,0.2169322,262,975,19,0,0,0,0,0.688901,0.718806,0.02990499999999996,0.434664,0.329176,0.225874,0.25294,0.19201,0.502025,0.164933,0.839737,0.299711,0.103001,0.32994,data\doge_2025_follow_candidate_5000_6000.csv,data\doge_2025_follow_candidate_6000_7000.csv
DOGE_2025_FOLLOW_6000_7000,DOGE_2025_LOCAL_SEQ_LATE,mittlere_uebergangsphase,mittel,3,3,3,3,1.0,1.0,2,1,0.072222,0.063333,0.34564533333333336,249,976,18,0,0,0,0,0.688504,0.730814,0.04230999999999996,0.557624,0.294258,0.220761,0.273386,0.211595,0.503138,0.166362,0.837391,0.310049,0.102074,0.334318,data\doge_2025_follow_candidate_6000_7000.csv,data\doge_2025_follow_candidate_7000_8000.csv
DOGE_2025_FOLLOW_7000_8000,DOGE_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,7,21,2,1,0.285714,0.047619,12,9,0.4336507619047619,0.053333,0.19168885714285713,323,971,23,0,0,0,0,0.679671,0.719355,0.03968399999999994,0.480941,0.303791,0.222425,0.267837,0.205946,0.487066,0.169993,0.827589,0.224527,0.111007,0.304745,data\doge_2025_follow_candidate_7000_8000.csv,data\doge_2025_follow_candidate_8000_9000.csv
DOGE_2025_FOLLOW_8000_9000,DOGE_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,6,15,4,6,0.666667,0.4,8,4,0.25,0.013333,0.21745746666666665,244,983,11,0,0,0,0,0.690038,0.7323,0.04226199999999991,0.564219,0.294816,0.220959,0.272838,0.211387,0.504068,0.164175,0.840643,0.306911,0.101145,0.334959,data\doge_2025_follow_candidate_8000_9000.csv,data\doge_2025_follow_candidate_9000_10000.csv
XRP_2025_FOLLOW_5000_6000,XRP_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,5,10,4,6,0.8,0.6,6,4,0.4333334,0.116667,0.23662710000000003,254,977,17,0,0,0,0,0.687928,0.722528,0.034599999999999964,0.510731,0.315337,0.223679,0.260785,0.200199,0.501705,0.166717,0.837061,0.303456,0.102857,0.330974,data\xrp_2025_follow_candidate_5000_6000.csv,data\xrp_2025_follow_candidate_6000_7000.csv
XRP_2025_FOLLOW_6000_7000,XRP_2025_LOCAL_SEQ_LATE,verteilt_offen,verteilt,8,25,5,8,0.625,0.32,15,10,0.26653336,0.013333,0.19826084000000002,260,975,19,0,0,0,0,0.689787,0.723877,0.034089999999999954,0.534485,0.316722,0.224098,0.260089,0.199092,0.504255,0.165192,0.83984,0.316071,0.102241,0.333615,data\xrp_2025_follow_candidate_6000_7000.csv,data\xrp_2025_follow_candidate_7000_8000.csv
