achsenklasse,count,rollen,kombinationen,cross_state,same_state,rekopplung,adaptive_rekopplung,adaptive_rekopplung_experience,nachhall,base_world_energy,follow_world_energy,follow_minus_base_energy,base_abs_drift,follow_abs_drift,follow_minus_base_abs_drift,base_avg_range,follow_avg_range,follow_minus_base_range,base_direction_change_ratio,follow_direction_change_ratio
kompakt_nachhallend,4,1.5,0.5,0.0,0.5,0.6888704999999999,0.72999525,0.6087359999999999,0.2957665,4.337771727712402,5.249207434559361,0.9114357068469581,0.05111329212720049,0.08967810829503185,0.03856481616783136,0.0039817602489477626,0.004887387043248681,0.0009056267943009184,0.5,0.5105210420841683
mittlere_uebergangsphase,1,4.0,6.0,3.0,3.0,0.688445,0.730733,0.587972,0.305162,3.577854459202447,2.7462642673481326,-0.8315901918543145,0.03727182952182955,0.008034787324289607,-0.029237042197539944,0.003332989605617943,0.0024868322813297967,-0.0008461573242881464,0.5280561122244489,0.5450901803607214
verteilt_offen,5,5.8,13.8,7.6,4.2,0.6898996,0.7300954,0.5106528,0.2972104,2.9993989311794604,2.6670375371670323,-0.33236139401242776,0.05078298360544482,0.0229164519382743,-0.027866531667170524,0.002752806713845757,0.0024521515292703867,-0.0003006551845753697,0.5166332665330662,0.5132264529058117
verteilt_rekoppelnd,1,6.0,15.0,5.0,6.0,0.695411,0.737957,0.435167,0.346705,3.417398006613963,3.6072484615610616,0.1898504549470985,0.009467203701212151,0.09663088981405138,0.08716368611283923,0.0030633406163972587,0.0033663703689844056,0.0003030297525871469,0.5240480961923848,0.5130260521042084
