label,weltgruppe,achsenklasse,rollenbreite_klasse,rollen,kombinationen,rollen_reaktiviert,kombinationen_voll,reaktivierungsquote,kombinationsquote,cross_state,same_state,avg_co_touch,min_co_touch,avg_resonanz,syntax,stabil,tragend_unruhig,kippend,gespannt,field_carried,field_strained,rekopplung,adaptive_rekopplung,adaptive_rekopplung_delta,adaptive_rekopplung_experience,adaptive_weight_carry,adaptive_weight_alignment,adaptive_weight_strain_relief,adaptive_weight_sensory,carry,strain,sensory,nachhall,neuro_load,neuro_balance,data_path,follow_data_path
BTC_2025_1H_SHIFT_4000_5000,BTC_1H_SHIFTZONE,kompakt_nachhallend,kompakt,2,1,2,1,1.0,1.0,0,1,0.233333,0.233333,0.5,244,977,17,0,0,0,0,0.692402,0.735372,0.042970000000000064,0.660519,0.292864,0.219894,0.274121,0.213122,0.507153,0.162488,0.842827,0.319601,0.099086,0.340023,data\btc_2025_1h_shiftzone_4000_5000.csv,data\btc_2025_1h_shiftzone_5000_6000.csv
BTC_2025_1H_SHIFT_5000_6000,BTC_1H_SHIFTZONE,kompakt_nachhallend,kompakt,1,0,1,0,1.0,0.0,0,0,0.0,0.0,0.0,249,978,16,0,0,0,0,0.688662,0.726666,0.03800400000000004,0.570926,0.305729,0.22218,0.266738,0.205353,0.502338,0.166697,0.837736,0.306789,0.102407,0.332997,data\btc_2025_1h_shiftzone_5000_6000.csv,data\btc_2025_1h_shiftzone_6000_7000.csv
BTC_2025_1H_SHIFT_6000_7000,BTC_1H_SHIFTZONE,kompakt_nachhallend,kompakt,1,0,1,0,1.0,0.0,0,0,0.0,0.0,0.0,289,972,22,0,0,0,0,0.685738,0.727402,0.041664000000000034,0.530349,0.297285,0.221009,0.271765,0.209942,0.495952,0.167613,0.834644,0.273112,0.106136,0.320458,data\btc_2025_1h_shiftzone_6000_7000.csv,data\btc_2025_1h_shiftzone_7000_8000.csv
BTC_2025_30M_SHIFT_8000_9000,BTC_30M_SHIFTZONE,verteilt_rekoppelnd,verteilt,6,15,2,1,0.333333,0.066667,5,6,0.6666666666666666,0.026667,0.191496,224,984,10,0,0,0,0,0.695411,0.737957,0.04254599999999997,0.435167,0.293612,0.220265,0.273316,0.212807,0.512054,0.160941,0.848134,0.346705,0.097059,0.346914,data\btc_2025_30m_shiftzone_8000_9000.csv,data\btc_2025_30m_shiftzone_9000_10000.csv
BTC_2025_30M_SHIFT_9000_10000,BTC_30M_SHIFTZONE,verteilt_offen,verteilt,5,10,4,6,0.8,0.6,6,2,0.1956666,0.09,0.2422728,247,979,15,0,0,0,0,0.690981,0.728871,0.03789000000000009,0.493237,0.307189,0.222397,0.265741,0.204674,0.504009,0.163132,0.842642,0.302715,0.100823,0.334239,data\btc_2025_30m_shiftzone_9000_10000.csv,data\btc_2025_30m_shiftzone_10000_11000.csv
BTC_2025_30M_SHIFT_10000_11000,BTC_30M_SHIFTZONE,verteilt_offen,verteilt,5,10,1,0,0.2,0.0,6,4,0.056666499999999995,0.013333,0.2348594,245,982,12,0,0,0,0,0.690278,0.727539,0.0372610000000001,0.4445,0.307907,0.222173,0.265501,0.20442,0.504732,0.164206,0.839019,0.31304,0.100067,0.337557,data\btc_2025_30m_shiftzone_10000_11000.csv,data\btc_2025_30m_shiftzone_11000_12000.csv
BTC_2025_30M_SHIFT_11000_12000,BTC_30M_SHIFTZONE,mittlere_uebergangsphase,mittel,4,6,3,3,0.75,0.5,3,3,0.4833335,0.026667,0.27832633333333334,259,981,13,0,0,0,0,0.688445,0.730733,0.04228799999999999,0.587972,0.294668,0.220846,0.273263,0.211222,0.501808,0.166628,0.838265,0.305162,0.103458,0.330188,data\btc_2025_30m_shiftzone_11000_12000.csv,data\btc_2025_30m_shiftzone_12000_13000.csv
BTC_2025_15M_SHIFT_16000_17000,BTC_15M_SHIFTZONE,verteilt_offen,verteilt,6,15,2,1,0.333333,0.066667,8,4,0.24044433333333334,0.013333,0.21795946666666666,265,984,10,0,0,0,0,0.689152,0.731437,0.04228500000000002,0.483289,0.295037,0.22076,0.273401,0.210801,0.501887,0.165124,0.839422,0.302772,0.10321,0.329654,data\btc_2025_15m_shiftzone_16000_17000.csv,data\btc_2025_15m_shiftzone_17000_18000.csv
BTC_2025_15M_SHIFT_17000_18000,BTC_15M_SHIFTZONE,kompakt_nachhallend,kompakt,2,1,2,1,1.0,1.0,0,1,0.053333,0.053333,0.5,272,979,15,0,0,0,0,0.68868,0.730541,0.04186100000000004,0.67315,0.297368,0.220664,0.271436,0.210532,0.499824,0.164093,0.840793,0.283564,0.104275,0.324997,data\btc_2025_15m_shiftzone_17000_18000.csv,data\btc_2025_15m_shiftzone_18000_19000.csv
BTC_2025_15M_SHIFT_18000_19000,BTC_15M_SHIFTZONE,verteilt_offen,verteilt,7,20,4,5,0.571429,0.25,11,7,0.4165,0.026667,0.1955438,284,978,16,0,0,0,0,0.68746,0.730053,0.04259299999999999,0.624413,0.295244,0.220509,0.27285,0.211396,0.498165,0.164524,0.837185,0.274321,0.104171,0.323895,data\btc_2025_15m_shiftzone_18000_19000.csv,data\btc_2025_15m_shiftzone_19000_20000.csv
BTC_2025_15M_SHIFT_19000_20000,BTC_15M_SHIFTZONE,verteilt_offen,verteilt,6,14,2,1,0.333333,0.071429,7,4,0.6559522142857144,0.153333,0.1973765,247,984,10,0,0,0,0,0.691627,0.732577,0.04095000000000004,0.507825,0.299568,0.221577,0.270406,0.208449,0.503681,0.161162,0.844342,0.293204,0.100325,0.333485,data\btc_2025_15m_shiftzone_19000_20000.csv,data\btc_2025_15m_shiftzone_20000_21000.csv
