gruppe,n,rollen,kombinationen,cross_state,same_state,rekopplung,adaptive_rekopplung,erfahrung,nachhall,syntax,stabil,unruhig,energie_delta,drift_delta,range_delta,folge_richtungswechsel
BTC_2025_verteilt_rekoppelnd,3.0,5.333333333333333,11.666666666666666,4.333333333333333,5.0,0.6953736666666667,0.7340483333333333,0.4344403333333333,0.3455896666666667,229.33333333333334,984.0,10.0,,,,
PAXG_5m_verteilt_rekoppelnd,4.0,7.25,17.5,9.0,5.0,0.7049155,0.73771075,0.25145325,0.37571,,,,0.333395508386801,0.0028915220820434975,0.00027520898426925213,0.28932865731462926
PAXG_offene_Breite,11.0,6.818181818181818,17.90909090909091,9.545454545454545,6.454545454545454,0.6912003636363637,0.7301914545454544,0.46799972727272726,0.3044542727272727,,,,-0.23378631555570906,-0.011329807570991668,-0.0002400314772874775,0.48943341227910364
DELTA_PAXG_REKOPPELND_MINUS_BTC_REKOPPELND,,1.916666666666667,5.833333333333334,4.666666666666667,0.0,0.00954183333333336,0.003662416666666668,-0.1829870833333333,0.030120333333333305,,,,,,,
