target_family,neighbor_family,co_memory_count,neighbor_count_sum,avg_cosine,avg_distance,role_reading,major_delta_axis,major_delta,source_profile,target_avg_sehen_form_salience,neighbor_avg_sehen_form_salience,delta_sehen_form_salience,target_avg_sehen_memory_recall,neighbor_avg_sehen_memory_recall,delta_sehen_memory_recall,target_avg_hoeren_stimulation,neighbor_avg_hoeren_stimulation,delta_hoeren_stimulation,target_avg_kontakt_druck,neighbor_avg_kontakt_druck,delta_kontakt_druck,target_avg_feldaufnahme_druck,neighbor_avg_feldaufnahme_druck,delta_feldaufnahme_druck,target_avg_mcm_kohaerenz,neighbor_avg_mcm_kohaerenz,delta_mcm_kohaerenz,target_avg_mcm_spannung,neighbor_avg_mcm_spannung,delta_mcm_spannung,target_avg_mcm_asymmetrie,neighbor_avg_mcm_asymmetrie,delta_mcm_asymmetrie,target_avg_feldsignatur,neighbor_avg_feldsignatur,delta_feldsignatur
dio_0m9z,dio_1fll,153,10691,0.929311,0.283962,hoeren_leiser,hoeren_stimulation,-0.196675,btc:46;doge:26;paxg:25;xrp:24;sonstige:22;expansion:3;sideways:3;stress:3;synth:1,0.24292,0.150357,-0.092564,0.0,0.0,0.0,0.234701,0.038026,-0.196675,0.0,0.0,0.0,0.115077,0.024832,-0.090245,0.623558,0.750203,0.126645,0.115077,0.024832,-0.090245,-0.013357,0.001258,0.014615,0.009729,0.011474,0.001745
dio_0m9z,dio_13o0,153,5052,0.934845,0.272236,hoeren_leiser,hoeren_stimulation,-0.193799,btc:46;doge:26;paxg:25;xrp:24;sonstige:22;expansion:3;sideways:3;stress:3;synth:1,0.24292,0.223374,-0.019546,0.0,0.0,0.0,0.234701,0.040901,-0.193799,0.0,0.0,0.0,0.115077,0.030008,-0.085069,0.623558,0.720374,0.096815,0.115077,0.030008,-0.085069,-0.013357,-0.121026,-0.10767,0.009729,0.011336,0.001608
dio_0m9z,dio_1492,153,5035,0.956483,0.22952,hoeren_leiser,hoeren_stimulation,-0.144232,btc:46;doge:26;paxg:25;xrp:24;sonstige:22;expansion:3;sideways:3;stress:3;synth:1,0.24292,0.224339,-0.018581,0.0,0.0,0.0,0.234701,0.090469,-0.144232,0.0,0.0,0.0,0.115077,0.051199,-0.063878,0.623558,0.731314,0.107755,0.115077,0.051199,-0.063878,-0.013357,-0.118855,-0.105498,0.009729,0.011421,0.001693
dio_0m9z,dio_14wj,153,14355,0.951638,0.228314,hoeren_leiser,hoeren_stimulation,-0.194043,btc:46;doge:26;paxg:25;xrp:24;sonstige:22;expansion:3;sideways:3;stress:3;synth:1,0.24292,0.224215,-0.018705,0.0,0.0,0.0,0.234701,0.040658,-0.194043,0.0,0.0,0.0,0.115077,0.034305,-0.080772,0.623558,0.602865,-0.020693,0.115077,0.034305,-0.080772,-0.013357,-0.000584,0.012772,0.009729,0.009718,-1.1e-05
dio_0m9z,dio_0nlj,152,5005,0.950561,0.244626,hoeren_leiser,hoeren_stimulation,-0.143903,btc:46;doge:26;paxg:25;xrp:24;sonstige:22;expansion:3;sideways:3;stress:3,0.242989,0.2232,-0.019789,0.0,0.0,0.0,0.234761,0.090858,-0.143903,0.0,0.0,0.0,0.115083,0.051312,-0.063771,0.623941,0.734248,0.110307,0.115083,0.051312,-0.063771,-0.013175,0.12031,0.133485,0.009736,0.010932,0.001196
dio_0m9z,dio_06er,152,6171,0.955353,0.230219,hoeren_leiser,hoeren_stimulation,-0.141603,btc:46;doge:26;paxg:25;xrp:24;sonstige:21;expansion:3;sideways:3;stress:3;synth:1,0.243106,0.158686,-0.084419,0.0,0.0,0.0,0.2346,0.092997,-0.141603,0.0,0.0,0.0,0.115004,0.048882,-0.066122,0.623401,0.75081,0.127409,0.115004,0.048882,-0.066122,-0.013051,-0.004331,0.008721,0.009722,0.01144,0.001718
dio_0m9z,dio_0pz6,152,7769,0.974736,0.188258,kohaerenz_hoeher,mcm_kohaerenz,0.112457,btc:46;doge:26;paxg:25;xrp:24;sonstige:21;expansion:3;sideways:3;stress:3;synth:1,0.243106,0.234081,-0.009025,0.0,0.0,0.0,0.2346,0.151325,-0.083275,0.0,0.0,0.0,0.115004,0.077107,-0.037898,0.623401,0.735858,0.112457,0.115004,0.077107,-0.037898,-0.013051,-0.123713,-0.110661,0.009722,0.011416,0.001695
dio_0m9z,dio_0dd2,152,4656,0.975365,0.178893,kohaerenz_hoeher,mcm_kohaerenz,0.124384,btc:46;doge:26;paxg:25;xrp:24;sonstige:22;expansion:3;sideways:3;stress:3,0.242989,0.161654,-0.081335,0.0,0.0,0.0,0.234761,0.155248,-0.079513,0.0,0.0,0.0,0.115083,0.076161,-0.038921,0.623941,0.748325,0.124384,0.115083,0.076161,-0.038921,-0.013175,-0.005908,0.007267,0.009736,0.01136,0.001624
dio_0m9z,dio_17ct,152,7818,0.987729,0.16079,asymmetrie_minus,mcm_asymmetrie,-0.113877,btc:46;doge:26;paxg:25;xrp:24;sonstige:21;expansion:3;sideways:3;stress:3;synth:1,0.242595,0.240386,-0.00221,0.0,0.0,0.0,0.234708,0.235394,0.000686,0.0,0.0,0.0,0.115096,0.113031,-0.002066,0.623218,0.733632,0.110414,0.115096,0.113031,-0.002066,-0.013847,-0.127724,-0.113877,0.009721,0.0113,0.001579
dio_0m9z,dio_0n0i,151,6175,0.928913,0.284881,hoeren_leiser,hoeren_stimulation,-0.193185,btc:45;doge:25;paxg:25;xrp:24;sonstige:22;expansion:3;sideways:3;stress:3;synth:1,0.242856,0.225007,-0.017849,0.0,0.0,0.0,0.234668,0.041483,-0.193185,0.0,0.0,0.0,0.115067,0.030342,-0.084724,0.623623,0.721361,0.097738,0.115067,0.030342,-0.084724,-0.013393,0.122973,0.136365,0.00973,0.010813,0.001083
