target_family,neighbor_family,co_memory_count,neighbor_count_sum,avg_cosine,avg_distance,role_reading,major_delta_axis,major_delta,source_profile,target_avg_sehen_form_salience,neighbor_avg_sehen_form_salience,delta_sehen_form_salience,target_avg_sehen_memory_recall,neighbor_avg_sehen_memory_recall,delta_sehen_memory_recall,target_avg_hoeren_stimulation,neighbor_avg_hoeren_stimulation,delta_hoeren_stimulation,target_avg_kontakt_druck,neighbor_avg_kontakt_druck,delta_kontakt_druck,target_avg_feldaufnahme_druck,neighbor_avg_feldaufnahme_druck,delta_feldaufnahme_druck,target_avg_mcm_kohaerenz,neighbor_avg_mcm_kohaerenz,delta_mcm_kohaerenz,target_avg_mcm_spannung,neighbor_avg_mcm_spannung,delta_mcm_spannung,target_avg_mcm_asymmetrie,neighbor_avg_mcm_asymmetrie,delta_mcm_asymmetrie,target_avg_feldsignatur,neighbor_avg_feldsignatur,delta_feldsignatur
dio_104t,dio_1fll,163,16037,0.964552,0.210792,kohaerenz_hoeher,mcm_kohaerenz,0.136688,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.23697,0.148783,-0.088187,0.0,0.0,0.0,0.142986,0.036957,-0.106029,0.0,0.0,0.0,0.077705,0.024286,-0.053419,0.615224,0.751912,0.136688,0.077705,0.024286,-0.053419,-0.007088,0.00144,0.008528,0.009757,0.011542,0.001786
dio_104t,dio_13o0,163,5759,0.967969,0.201267,asymmetrie_minus,mcm_asymmetrie,-0.115119,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.23697,0.223525,-0.013445,0.0,0.0,0.0,0.142986,0.040454,-0.102532,0.0,0.0,0.0,0.077705,0.029826,-0.047879,0.615224,0.720562,0.105339,0.077705,0.029826,-0.047879,-0.007088,-0.122207,-0.115119,0.009757,0.011377,0.001621
dio_104t,dio_1492,163,5421,0.980004,0.176886,kohaerenz_hoeher,mcm_kohaerenz,0.115697,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.23697,0.22582,-0.011149,0.0,0.0,0.0,0.142986,0.089966,-0.05302,0.0,0.0,0.0,0.077705,0.051064,-0.026641,0.615224,0.73092,0.115697,0.077705,0.051064,-0.026641,-0.007088,-0.119898,-0.11281,0.009757,0.011446,0.00169
dio_104t,dio_0kx9,163,4519,0.968101,0.173449,asymmetrie_plus,mcm_asymmetrie,0.117251,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.23697,0.251006,0.014037,0.0,0.0,0.0,0.142986,0.039055,-0.103931,0.0,0.0,0.0,0.077705,0.03126,-0.046445,0.615224,0.626181,0.010958,0.077705,0.03126,-0.046445,-0.007088,0.110164,0.117251,0.009757,0.009693,-6.4e-05
dio_104t,dio_06er,163,6269,0.979993,0.173072,kohaerenz_hoeher,mcm_kohaerenz,0.136233,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.23697,0.158771,-0.078199,0.0,0.0,0.0,0.142986,0.091711,-0.051275,0.0,0.0,0.0,0.077705,0.04834,-0.029364,0.615224,0.751457,0.136233,0.077705,0.04834,-0.029364,-0.007088,-0.004099,0.002989,0.009757,0.011482,0.001726
dio_104t,dio_14wj,163,14651,0.984426,0.122812,hoeren_leiser,hoeren_stimulation,-0.102368,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.23697,0.225006,-0.011963,0.0,0.0,0.0,0.142986,0.040618,-0.102368,0.0,0.0,0.0,0.077705,0.034056,-0.043649,0.615224,0.604812,-0.010412,0.077705,0.034056,-0.043649,-0.007088,-0.000486,0.006601,0.009757,0.009762,6e-06
dio_104t,dio_0nlj,162,5239,0.976386,0.188663,asymmetrie_plus,mcm_asymmetrie,0.12832,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,0.23681,0.224322,-0.012488,0.0,0.0,0.0,0.142983,0.090046,-0.052937,0.0,0.0,0.0,0.077672,0.051032,-0.02664,0.615461,0.733854,0.118394,0.077672,0.051032,-0.02664,-0.006915,0.121405,0.12832,0.009762,0.010943,0.001181
dio_104t,dio_0n0i,161,9243,0.96422,0.211337,asymmetrie_plus,mcm_asymmetrie,0.131338,btc:45;sonstige:32;doge:25;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.236962,0.225167,-0.011795,0.0,0.0,0.0,0.142963,0.040406,-0.102558,0.0,0.0,0.0,0.077695,0.029889,-0.047806,0.615213,0.721085,0.105872,0.077695,0.029889,-0.047806,-0.007042,0.124296,0.131338,0.009757,0.010832,0.001075
dio_104t,dio_0pz6,161,7932,0.986874,0.170931,kohaerenz_hoeher,mcm_kohaerenz,0.121485,btc:46;sonstige:30;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,0.237066,0.234953,-0.002112,0.0,0.0,0.0,0.142935,0.151827,0.008892,0.0,0.0,0.0,0.077726,0.077367,-0.000359,0.614706,0.736191,0.121485,0.077726,0.077367,-0.000359,-0.00713,-0.123239,-0.116109,0.009743,0.011451,0.001707
dio_104t,dio_1kpz,161,6607,0.978838,0.143501,asymmetrie_plus,mcm_asymmetrie,0.121731,btc:46;sonstige:31;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,0.236597,0.256584,0.019988,0.0,0.0,0.0,0.143083,0.08709,-0.055994,0.0,0.0,0.0,0.077731,0.051978,-0.025754,0.615392,0.63407,0.018678,0.077731,0.051978,-0.025754,-0.006861,0.11487,0.121731,0.00976,0.009729,-3.1e-05
