family,patterns,event_fields,after_fields,event_tension,after_tension,event_rekopplung,tones,tick_signature_reading
dio_14wj,tragende_verarbeitung,tragende_verarbeitung:rekoppelt,tragende_verarbeitung:offen,tragende_verarbeitung:0.014949,tragende_verarbeitung:0.119112,tragende_verarbeitung:0.755055,geordnetes_hinhoeren;geordnetes_hinhoeren_mit_wechsel,tragend_mit_offener_nachprüfung
dio_1fll,tragende_verarbeitung,tragende_verarbeitung:rekoppelt,tragende_verarbeitung:rekoppelt,tragende_verarbeitung:0.009432,tragende_verarbeitung:0.108537,tragende_verarbeitung:0.77941,geordnetes_hinhoeren,tragend_mit_gehaltener_rekopplung
dio_0m9z,kippnaehe,kippnaehe:belastet_kippnah,kippnaehe:offen,kippnaehe:0.14388,kippnaehe:0.098303,kippnaehe:0.645225,geordnetes_hinhoeren_mit_wechsel,kippnaher_randkontakt
dio_155c,kippnaehe;tragende_verarbeitung,kippnaehe:offen;tragende_verarbeitung:rekoppelt,kippnaehe:offen;tragende_verarbeitung:rekoppelt,kippnaehe:0.126299;tragende_verarbeitung:0.099338,kippnaehe:0.13915;tragende_verarbeitung:0.110771,kippnaehe:0.675669;tragende_verarbeitung:0.74648,geordnetes_hinhoeren_mit_wechsel,duale_feldrolle
