quelle,label,weltgruppe,achsenklasse,rollen,kombinationen,syntax,rekopplung,adaptive_rekopplung,adaptive_rekopplung_experience,nachhall,base_world_energy,follow_world_energy,follow_minus_base_energy,base_abs_drift,follow_abs_drift,follow_minus_base_abs_drift,base_avg_range,follow_avg_range,follow_minus_base_range
paxg_2024_5m,PAXG_2024_FOLLOW_0_1000,PAXG_2024_LOCAL_SEQ,mittlere_uebergangsphase,3,3,214,0.702374,0.709459,0.018779,0.333634,1.2006716873016743,1.221664627491602,0.02099294018992781,0.000996512207274539,0.004977600796416127,0.003981088589141588,0.0008374252328485268,0.0008837681860104206,4.6342953161893703e-05
paxg_2024_5m,PAXG_2024_FOLLOW_1000_2000,PAXG_2024_LOCAL_SEQ,mittlere_uebergangsphase,3,3,226,0.696857,0.70051,0.009837,0.299223,1.221664627491602,0.945846419160309,-0.2758182083312931,0.004977600796416127,0.002001000500250125,-0.002976600296166002,0.0008837681860104206,0.0006398218457553164,-0.00024394634025510413
paxg_2024_5m,PAXG_2024_FOLLOW_2000_3000,PAXG_2024_LOCAL_SEQ,verteilt_rekoppelnd,5,10,182,0.70704,0.742225,0.120333,0.377034,0.945846419160309,1.0351870126491909,0.0893405934888819,0.002001000500250125,0.010978043912175649,0.008977043411925524,0.0006398218457553164,0.0006847015758398587,4.487973008454225e-05
paxg_2024_5m,PAXG_2024_FOLLOW_3000_4000,PAXG_2024_LOCAL_SEQ,mittlere_uebergangsphase,3,3,192,0.708721,0.732558,0.061312,0.364068,1.0351870126491909,1.0313124016884117,-0.0038746109607792345,0.010978043912175649,0.002962962962962963,-0.008015080949212687,0.0006847015758398587,0.0006443863086822171,-4.031526715764157e-05
paxg_2025_5m,PAXG_2025_FOLLOW_0_1000,PAXG_2025_LOCAL_SEQ,mittlere_uebergangsphase,4,6,250,0.694303,0.735161,0.570646,0.315959,1.251843697642099,1.0622442907120648,-0.1895994069300342,0.018202080237741457,0.009857612267250822,-0.008344467970490635,0.0010308090930144335,0.000865129887120449,-0.00016567920589398454
paxg_2025_5m,PAXG_2025_FOLLOW_1000_2000,PAXG_2025_LOCAL_SEQ,verteilt_rekoppelnd,7,18,218,0.699749,0.742891,0.415884,0.342577,1.0622442907120648,0.9637144890107433,-0.09852980170132153,0.009857612267250822,0.0039768618944323935,-0.005880750372818429,0.000865129887120449,0.000709347072597952,-0.000155782814522497
paxg_2025_5m,PAXG_2025_FOLLOW_2000_3000,PAXG_2025_LOCAL_SEQ,verteilt_rekoppelnd,5,10,181,0.708043,0.725202,0.096524,0.399577,0.9637144890107433,0.9401696776322938,-0.02354481137844955,0.0039768618944323935,0.021052631578947368,0.017075769684514974,0.000709347072597952,0.0007758618098001324,6.651473720218043e-05
paxg_2025_5m,PAXG_2025_FOLLOW_3000_4000,PAXG_2025_LOCAL_SEQ,verteilt_rekoppelnd,12,32,201,0.70483,0.740525,0.373072,0.383652,0.9401696776322938,2.3064857307703868,1.366316053138093,0.021052631578947368,0.012446657183499289,-0.00860597439544808,0.0007758618098001324,0.0019210860941129154,0.001145224284312783
paxg_1h_2024_2025,PAXG_2024_1H_FOLLOW_4000_5000,PAXG_2024_1H_SEQ,kompakt_nachhallend,1,0,298,0.683498,0.727129,0.522189,0.251327,2.6947955058414332,3.3522598084775446,0.6574643026361113,0.02400342906129447,0.04773869346733668,0.023735264406042213,0.003013092943336604,0.003556090672655867,0.0005429977293192629
paxg_1h_2024_2025,PAXG_2024_1H_FOLLOW_5000_6000,PAXG_2024_1H_SEQ,verteilt_offen,6,14,237,0.694814,0.732511,0.500559,0.329283,3.3522598084775446,2.569536209179825,-0.7827235992977197,0.04773869346733668,0.08789452656811826,0.04015583310078158,0.003556090672655867,0.0027705539970829464,-0.0007855366755729204
paxg_1h_2024_2025,PAXG_2024_1H_FOLLOW_6000_7000,PAXG_2024_1H_SEQ,verteilt_offen,7,18,266,0.690216,0.731364,0.56148,0.287807,2.569536209179825,3.0599454460203344,0.4904092368405095,0.08789452656811826,0.028225806451612902,-0.059668720116505355,0.0027705539970829464,0.0033315093200642636,0.0005609553229813172
paxg_1h_2024_2025,PAXG_2025_1H_FOLLOW_4000_5000,PAXG_2025_1H_SEQ,verteilt_offen,8,22,227,0.694612,0.730842,0.277945,0.322678,2.1851679744079795,2.0408444226174574,-0.14432355179052214,0.02303482252696355,0.07804069320293625,0.05500587067597269,0.0019877934702562387,0.0018167847896167358,-0.00017100868063950293
paxg_1h_2024_2025,PAXG_2025_1H_FOLLOW_5000_6000,PAXG_2025_1H_SEQ,verteilt_offen,7,20,268,0.690124,0.731525,0.622904,0.29349,2.0408444226174574,3.266125709228334,1.2252812866108767,0.07804069320293625,0.1759202969156418,0.09787960371270554,0.0018167847896167358,0.0031625778870095446,0.0013457930973928087
paxg_1h_2024_2025,PAXG_2025_1H_FOLLOW_6000_7000,PAXG_2025_1H_SEQ,verteilt_offen,7,18,309,0.685636,0.727553,0.585345,0.27072,3.266125709228334,4.085108081751571,0.8189823725232368,0.1759202969156418,0.0015245195524934859,-0.1743957773631483,0.0031625778870095446,0.00369860633014566,0.0005360284431361155
