memory,source_hint,family,present,count,symbol_count,dominant_axes,field_profile,sehen_form_salience,sehen_memory_recall,hoeren_stimulation,kontakt_druck,feldaufnahme_druck,mcm_kohaerenz,mcm_spannung,mcm_asymmetrie,feldsignatur
REAL_DRIFT_2023_B,sonstige,dio_14wj,1,500,1,mcm_kohaerenz:0.6015;sehen_form_salience:0.2246;hoeren_stimulation:0.0347;feldaufnahme_druck:0.0320,inner_effect_stable:0.9895;inner_effect_carried_unrest:0.0105,0.224637,0.0,0.03472,0.0,0.031954,0.601514,0.031954,-8e-05,0.009682
REAL_DRIFT_2023_A,sonstige,dio_14wj,1,477,1,mcm_kohaerenz:0.6036;sehen_form_salience:0.2257;hoeren_stimulation:0.0354;feldaufnahme_druck:0.0319,inner_effect_stable:0.9884;inner_effect_carried_unrest:0.0116,0.225679,0.0,0.035443,0.0,0.031937,0.603552,0.031937,0.00239,0.009685
axis_paxg_2024_5000_halves,paxg,dio_14wj,1,476,1,mcm_kohaerenz:0.5859;sehen_form_salience:0.2080;feldaufnahme_druck:0.0350;mcm_spannung:0.0350,inner_effect_stable:0.8017;inner_effect_carried_unrest:0.1927;inner_effect_tipping:0.0053;inner_effect_strained:0.0003,0.207953,0.0,0.033687,0.0,0.034958,0.585908,0.034958,0.001089,0.009357
REAL_DRIFT_2025_A,sonstige,dio_14wj,1,379,1,mcm_kohaerenz:0.6031;sehen_form_salience:0.2305;hoeren_stimulation:0.0399;feldaufnahme_druck:0.0334,inner_effect_stable:0.9922;inner_effect_carried_unrest:0.0078,0.230523,0.0,0.039878,0.0,0.03336,0.603096,0.03336,0.000566,0.009651
axis_btc_2024_10k_self,btc,dio_14wj,1,362,1,mcm_kohaerenz:0.6057;sehen_form_salience:0.2272;hoeren_stimulation:0.0416;feldaufnahme_druck:0.0342,inner_effect_stable:0.7758;inner_effect_carried_unrest:0.2170;inner_effect_tipping:0.0064;inner_effect_strained:0.0008,0.227237,0.0,0.04164,0.0,0.034158,0.605721,0.034158,0.002134,0.009654
REAL_DRIFT_2024_A,sonstige,dio_14wj,1,359,1,mcm_kohaerenz:0.6033;sehen_form_salience:0.2301;hoeren_stimulation:0.0413;feldaufnahme_druck:0.0342,inner_effect_stable:0.9926;inner_effect_carried_unrest:0.0074,0.230125,0.0,0.041338,0.0,0.03416,0.603266,0.03416,0.001296,0.009668
axis_doge_2024_10k_self,doge,dio_14wj,1,352,1,mcm_kohaerenz:0.6046;sehen_form_salience:0.2327;hoeren_stimulation:0.0397;feldaufnahme_druck:0.0332,inner_effect_stable:0.7448;inner_effect_carried_unrest:0.2486;inner_effect_tipping:0.0063;inner_effect_strained:0.0003,0.232726,0.0,0.039699,0.0,0.033198,0.604591,0.033198,-0.002396,0.009717
SYN_NULL_RANDOM_TO_SHUFFLE,sonstige,dio_14wj,1,341,1,mcm_kohaerenz:0.6047;sehen_form_salience:0.2251;hoeren_stimulation:0.0428;feldaufnahme_druck:0.0344,inner_effect_stable:1.0000,0.22507,0.0,0.042757,0.0,0.034403,0.604653,0.034403,-0.002678,0.009815
SYN_NULL_SHUFFLE_TO_RANDOM,sonstige,dio_14wj,1,341,1,mcm_kohaerenz:0.6075;sehen_form_salience:0.2181;hoeren_stimulation:0.0433;feldaufnahme_druck:0.0346,inner_effect_stable:1.0000,0.218135,0.0,0.043315,0.0,0.034574,0.607537,0.034574,-0.000813,0.009825
SYN_NULL_SHUFFLE_TO_RANDOM_SENS,sonstige,dio_14wj,1,341,1,mcm_kohaerenz:0.6075;sehen_form_salience:0.2181;hoeren_stimulation:0.0433;feldaufnahme_druck:0.0346,inner_effect_stable:1.0000,0.218135,0.0,0.043315,0.0,0.034574,0.607537,0.034574,-0.000813,0.009825
REAL_DRIFT_DOGE_2025_A,doge,dio_14wj,1,248,1,mcm_kohaerenz:0.6050;sehen_form_salience:0.2267;hoeren_stimulation:0.0399;feldaufnahme_druck:0.0333,inner_effect_stable:0.9898;inner_effect_carried_unrest:0.0102,0.226719,0.0,0.039933,0.0,0.033342,0.605029,0.033342,0.001513,0.009728
REAL_DRIFT_XRP_2024_A,xrp,dio_14wj,1,247,1,mcm_kohaerenz:0.6074;sehen_form_salience:0.2305;hoeren_stimulation:0.0409;feldaufnahme_druck:0.0336,inner_effect_stable:0.9861;inner_effect_carried_unrest:0.0139,0.230525,0.0,0.040926,0.0,0.033634,0.607406,0.033634,-0.001326,0.009743
SYN_RANDROLLEN_INTERWOVEN_TO_LONG,sonstige,dio_14wj,1,233,1,mcm_kohaerenz:0.6247;sehen_form_salience:0.1971;hoeren_stimulation:0.0529;feldaufnahme_druck:0.0363,inner_effect_stable:1.0000,0.197073,0.0,0.052937,0.0,0.036327,0.624661,0.036327,0.000576,0.010191
SYN_RANDROLLEN_INTERWOVEN_TO_LONG_SENS,sonstige,dio_14wj,1,233,1,mcm_kohaerenz:0.6247;sehen_form_salience:0.1971;hoeren_stimulation:0.0529;feldaufnahme_druck:0.0363,inner_effect_stable:1.0000,0.197073,0.0,0.052937,0.0,0.036327,0.624661,0.036327,0.000576,0.010191
REAL_DRIFT_DOGE_2024_A,doge,dio_14wj,1,224,1,mcm_kohaerenz:0.6068;sehen_form_salience:0.2251;hoeren_stimulation:0.0401;feldaufnahme_druck:0.0332,inner_effect_stable:0.9893;inner_effect_carried_unrest:0.0107,0.225076,0.0,0.040124,0.0,0.033166,0.606765,0.033166,0.000231,0.009755
REAL_DRIFT_XRP_2025_A,xrp,dio_14wj,1,224,1,mcm_kohaerenz:0.6039;sehen_form_salience:0.2269;hoeren_stimulation:0.0421;feldaufnahme_druck:0.0348,inner_effect_stable:0.9890;inner_effect_carried_unrest:0.0110,0.226873,0.0,0.042063,0.0,0.034762,0.603919,0.034762,-0.000944,0.009712
axis_xrp_2024_5000_halves,xrp,dio_14wj,1,222,1,mcm_kohaerenz:0.6092;sehen_form_salience:0.2308;hoeren_stimulation:0.0412;feldaufnahme_druck:0.0336,inner_effect_stable:0.7503;inner_effect_carried_unrest:0.2400;inner_effect_tipping:0.0092;inner_effect_strained:0.0005,0.230849,0.0,0.041247,0.0,0.033629,0.609194,0.033629,-0.001769,0.009819
