target_family,neighbor_family,co_memory_count,co_memory_share,neighbor_count_sum,avg_cosine,avg_distance,source_profile,dominant_axes,sehen_form_salience,sehen_memory_recall,hoeren_stimulation,kontakt_druck,feldaufnahme_druck,mcm_kohaerenz,mcm_spannung,mcm_asymmetrie,feldsignatur
dio_104t,dio_14wj,163,1.0,14651,0.984426,0.122812,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.6048;sehen_form_salience:0.2250;hoeren_stimulation:0.0406;feldaufnahme_druck:0.0341,0.225006,0.0,0.040618,0.0,0.034056,0.604812,0.034056,-0.000486,0.009762
dio_104t,dio_1492,163,1.0,5421,0.980004,0.176886,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.7309;sehen_form_salience:0.2258;mcm_asymmetrie:-0.1199;hoeren_stimulation:0.0900,0.22582,0.0,0.089966,0.0,0.051064,0.73092,0.051064,-0.119898,0.011446
dio_104t,dio_06er,163,1.0,6269,0.979993,0.173072,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.7515;sehen_form_salience:0.1588;hoeren_stimulation:0.0917;feldaufnahme_druck:0.0483,0.158771,0.0,0.091711,0.0,0.04834,0.751457,0.04834,-0.004099,0.011482
dio_104t,dio_0kx9,163,1.0,4519,0.968101,0.173449,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.6262;sehen_form_salience:0.2510;mcm_asymmetrie:0.1102;hoeren_stimulation:0.0391,0.251006,0.0,0.039055,0.0,0.03126,0.626181,0.03126,0.110164,0.009693
dio_104t,dio_13o0,163,1.0,5759,0.967969,0.201267,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.7206;sehen_form_salience:0.2235;mcm_asymmetrie:-0.1222;hoeren_stimulation:0.0405,0.223525,0.0,0.040454,0.0,0.029826,0.720562,0.029826,-0.122207,0.011377
dio_104t,dio_1fll,163,1.0,16037,0.964552,0.210792,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.7519;sehen_form_salience:0.1488;hoeren_stimulation:0.0370;feldaufnahme_druck:0.0243,0.148783,0.0,0.036957,0.0,0.024286,0.751912,0.024286,0.00144,0.011542
dio_104t,dio_0nlj,162,0.993865,5239,0.976386,0.188663,btc:46;sonstige:32;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.7339;sehen_form_salience:0.2243;mcm_asymmetrie:0.1214;hoeren_stimulation:0.0900,0.224322,0.0,0.090046,0.0,0.051032,0.733854,0.051032,0.121405,0.010943
dio_104t,dio_0pz6,161,0.98773,7932,0.986874,0.170931,btc:46;sonstige:30;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.7362;sehen_form_salience:0.2350;hoeren_stimulation:0.1518;mcm_asymmetrie:-0.1232,0.234953,0.0,0.151827,0.0,0.077367,0.736191,0.077367,-0.123239,0.011451
dio_104t,dio_1kpz,161,0.98773,6607,0.978838,0.143501,btc:46;sonstige:31;doge:26;paxg:25;xrp:24;expansion:3;sideways:3;stress:3,mcm_kohaerenz:0.6341;sehen_form_salience:0.2566;mcm_asymmetrie:0.1149;hoeren_stimulation:0.0871,0.256584,0.0,0.08709,0.0,0.051978,0.63407,0.051978,0.11487,0.009729
dio_104t,dio_0n0i,161,0.98773,9243,0.96422,0.211337,btc:45;sonstige:32;doge:25;paxg:25;xrp:24;expansion:3;sideways:3;stress:3;synth:1,mcm_kohaerenz:0.7211;sehen_form_salience:0.2252;mcm_asymmetrie:0.1243;hoeren_stimulation:0.0404,0.225167,0.0,0.040406,0.0,0.029889,0.721085,0.029889,0.124296,0.010832
