label,weltgruppe,data_path,follow_data_path,achsenklasse,rollenbreite_klasse,rollen,kombinationen,cross_state,same_state,rekopplung,adaptive_rekopplung,adaptive_rekopplung_delta,adaptive_rekopplung_experience,nachhall,stabil,tragend_unruhig,kippend,gespannt,base_rows,base_drift,base_abs_drift,base_avg_abs_return,base_p95_abs_return,base_avg_range,base_p95_range,base_avg_volume_change,base_direction_change_ratio,base_direction_persistence,base_world_energy,follow_rows,follow_drift,follow_abs_drift,follow_avg_abs_return,follow_p95_abs_return,follow_avg_range,follow_p95_range,follow_avg_volume_change,follow_direction_change_ratio,follow_direction_persistence,follow_world_energy,follow_minus_base_energy,follow_minus_base_abs_drift,follow_minus_base_range,rollen_reaktiviert,kombinationen_voll,reaktivierungsquote,kombinationsquote,avg_co_touch,min_co_touch,avg_resonanz,syntax,field_carried,field_strained,adaptive_weight_carry,adaptive_weight_alignment,adaptive_weight_strain_relief,adaptive_weight_sensory,carry,strain,sensory,neuro_load,neuro_balance
XRP_2025_FOLLOW_0_1000,XRP_2025_LOCAL,data\xrp_2025_follow_candidate_5000_6000.csv,data\xrp_2025_follow_candidate_6000_7000.csv,verteilt_offen,verteilt,6,15,9,6,0.6892,0.7238,0.0346,0.4494,0.3101,977,17,0,0,1000.0,0.023339088176993397,0.023339088176993397,0.003350326342977022,0.009664734303911626,0.006551513266365862,0.01396760546925567,0.4804248975651737,0.5190380761523046,0.4809619238476954,6.912951243151116,1000.0,-0.029078502566670765,0.029078502566670765,0.0017258761818721227,0.004854825948442999,0.0034164530864949235,0.007251843047770009,0.591343299713495,0.531062124248497,0.46893787575150303,3.574667900547224,-3.3382833426038916,0.0057394143896773685,-0.0031350601798709383,,,,,,,,,,,,,,,,,,,
DOGE_2025_FOLLOW_0_1000,DOGE_2025_LOCAL,data\doge_2025_follow_candidate_5000_6000.csv,data\doge_2025_follow_candidate_6000_7000.csv,mittlere_uebergangsphase,mittel,4,6,4,2,0.6897,0.7195,0.0299,0.3812,0.3039,977,17,0,0,1000.0,-0.038372063936763685,0.038372063936763685,0.004107746657375708,0.011699545119998694,0.008084109100558517,0.018200816808670698,0.5613519209443175,0.503006012024048,0.49699398797595196,8.621347384626937,1000.0,-0.09248509774318663,0.09248509774318663,0.0019259407602497198,0.005201622272874859,0.0038853154825594723,0.007511559211043789,0.6649842308069878,0.47194388777555113,0.5280561122244489,3.864998436963727,-4.756348947663209,0.05411303380642294,-0.004198793617999045,,,,,,,,,,,,,,,,,,,
XRP_2025_FOLLOW_1000_2000,XRP_2025_LOCAL_2,data\xrp_2025_follow_candidate_6000_7000.csv,data\xrp_2025_follow_candidate_7000_8000.csv,verteilt_offen,verteilt,6,13,7,6,0.690662,0.724619,0.033957000000000015,0.502515,0.320622,977,17,0,0,1000.0,-0.029078502566670765,0.029078502566670765,0.0017258761818721227,0.004854825948442999,0.0034164530864949235,0.007251843047770009,0.591343299713495,0.531062124248497,0.46893787575150303,3.574667900547224,1000.0,0.014559041422405434,0.014559041422405434,0.0019346250120993948,0.006074141297194379,0.0037498378254481445,0.009545502186344137,0.55218926297393,0.48296593186372744,0.5170340681362726,4.350404693912632,0.7757367933654082,-0.014519461144265331,0.00033338473895322103,2,1,0.333333,0.076923,0.3971795384615385,0.27,0.22324538461538462,260,0,0,0.317025,0.224068,0.259938,0.198969,0.50563,0.164203,0.840574,0.101149,0.336082
DOGE_2025_FOLLOW_1000_2000,DOGE_2025_LOCAL_2,data\doge_2025_follow_candidate_6000_7000.csv,data\doge_2025_follow_candidate_7000_8000.csv,kompakt_nachhallend,kompakt,1,0,0,0,0.689703,0.731929,0.0422260000000001,0.539459,0.319077,979,15,0,0,1000.0,-0.09248509774318663,0.09248509774318663,0.0019259407602497198,0.005201622272874859,0.0038853154825594723,0.007511559211043789,0.6649842308069878,0.47194388777555113,0.5280561122244489,3.864998436963727,1000.0,-0.06776068963542103,0.06776068963542103,0.0019514637234699652,0.005767853499849078,0.003708151674574958,0.008472283263598474,0.6836021455252989,0.4969939879759519,0.503006012024048,4.112219178361406,0.24722074139767924,-0.02472440810776559,-0.00017716380798451408,1,0,1.0,0.0,0.0,0.0,0.0,246,0,0,0.29417,0.220747,0.273416,0.211667,0.505165,0.165511,0.838651,0.100977,0.337463
XRP_2025_FOLLOW_2000_3000,XRP_2025_LOCAL_3,data\xrp_2025_follow_candidate_7000_8000.csv,data\xrp_2025_follow_candidate_8000_9000.csv,verteilt_offen,verteilt,5,10,4,3,0.692256,0.72726,0.035004000000000035,0.438688,0.307485,982,12,0,0,1000.0,0.014559041422405434,0.014559041422405434,0.0019346250120993948,0.006074141297194379,0.0037498378254481445,0.009545502186344137,0.55218926297393,0.48296593186372744,0.5170340681362726,4.350404693912632,1000.0,-0.026262111167771485,0.026262111167771485,0.0014415381954651692,0.0036568727116850076,0.0027898561917723123,0.005791667118522821,0.5472122053893972,0.5090180360721442,0.49098196392785576,2.8477670870458067,-1.5026376068668257,0.011703069745366052,-0.0009599816336758322,3,3,0.6,0.3,1.0,1.0,0.2,258,0,0,0.315687,0.22381,0.26025,0.200254,0.505463,0.1615,0.84638,0.101004,0.33291
DOGE_2025_FOLLOW_2000_3000,DOGE_2025_LOCAL_3,data\doge_2025_follow_candidate_7000_8000.csv,data\doge_2025_follow_candidate_8000_9000.csv,verteilt_offen,verteilt,6,15,8,7,0.688473,0.727836,0.03936300000000004,0.457802,0.284306,977,17,0,0,1000.0,-0.06776068963542103,0.06776068963542103,0.0019514637234699652,0.005767853499849078,0.003708151674574958,0.008472283263598474,0.6836021455252989,0.4969939879759519,0.503006012024048,4.112219178361406,1000.0,0.011375514972637217,0.011375514972637217,0.001697987027868356,0.004446123527358939,0.0032975336255143383,0.007137745513152528,0.6292151830295124,0.5060120240480962,0.4939879759519038,3.4339278310136563,-0.6782913473477499,-0.05638517466278382,-0.0004106180490606199,4,6,0.666667,0.4,0.2975556,0.023333,0.21560300000000002,268,0,0,0.30381,0.222153,0.267218,0.206818,0.500048,0.164546,0.840991,0.103924,0.325303
XRP_2025_FOLLOW_3000_4000,XRP_2025_LOCAL_4,data\xrp_2025_follow_candidate_8000_9000.csv,data\xrp_2025_follow_candidate_9000_10000.csv,mittlere_uebergangsphase,mittel,4,6,3,1,0.69008,0.731268,0.041188,0.60066,0.310253,984,10,0,0,1000.0,-0.026262111167771485,0.026262111167771485,0.0014415381954651692,0.0036568727116850076,0.0027898561917723123,0.005791667118522821,0.5472122053893972,0.5090180360721442,0.49098196392785576,2.8477670870458067,1000.0,-0.1355253658856731,0.1355253658856731,0.004790425159778319,0.014880144182588012,0.009261165323662841,0.02317781245131959,0.4887847629198455,0.48897795591182364,0.5110220440881763,10.592466406995706,7.7446993199499,0.10926325471790162,0.0064713091318905295,3,3,0.75,0.5,0.3594443333333333,0.05,0.2889581666666667,252,0,0,0.297564,0.221146,0.272904,0.208387,0.504299,0.163816,0.839956,0.101142,0.335237
DOGE_2025_FOLLOW_3000_4000,DOGE_2025_LOCAL_4,data\doge_2025_follow_candidate_8000_9000.csv,data\doge_2025_follow_candidate_9000_10000.csv,mittlere_uebergangsphase,mittel,4,6,3,3,0.689136,0.731495,0.042359000000000036,0.677062,0.298375,979,15,0,0,1000.0,0.011375514972637217,0.011375514972637217,0.001697987027868356,0.004446123527358939,0.0032975336255143383,0.007137745513152528,0.6292151830295124,0.5060120240480962,0.4939879759519038,3.4339278310136563,1000.0,-0.17830826380853787,0.17830826380853787,0.004170349977333655,0.012664173417388996,0.008271000529180804,0.020853262920032898,0.5671373947042371,0.5250501002004008,0.47494989979959923,9.318455819977542,5.884527988963885,0.16693274883590065,0.004973466903666466,3,3,0.75,0.5,0.5233333333333333,0.22,0.27820633333333333,260,0,0,0.294927,0.220655,0.272937,0.211481,0.50245,0.164337,0.839588,0.102416,0.331138
BTC_2025_FOLLOW_0_1000,BTC_2025_LOCAL_SEQ,data\btc_2025_follow_candidate_5000_6000.csv,data\btc_2025_follow_candidate_6000_7000.csv,verteilt_offen,verteilt,7,20,11,9,0.692227,0.732628,0.04040099999999991,0.477532,0.326898,974,20,0,0,1000.0,0.03718136725015104,0.03718136725015104,0.001883816006114085,0.005792908367359175,0.0035209240528694236,0.008916042695568754,0.46315618443606776,0.49599198396793587,0.5040080160320641,4.117117653716524,1000.0,-0.022558968938184678,0.022558968938184678,0.0012443579034891628,0.003596838967421387,0.0023773901553450394,0.005591529547870755,0.5409559295626318,0.5,0.5,2.6488079009669723,-1.4683097527495517,-0.01462239831196636,-0.0011435338975243842,5,9,0.714286,0.45,0.37583325,0.013333,0.19410909999999998,258,0,0,0.29953,0.221036,0.269456,0.209978,0.507278,0.162858,0.843779,0.100507,0.337069
PAXG_2025_FOLLOW_0_1000,PAXG_2025_LOCAL_SEQ,data\paxg_2025_follow_candidate_5000_6000.csv,data\paxg_2025_follow_candidate_6000_7000.csv,mittlere_uebergangsphase,mittel,4,6,3,3,0.694303,0.735161,0.04085799999999995,0.570646,0.315959,983,11,0,0,1000.0,0.018202080237741457,0.018202080237741457,0.0005038720598342237,0.0014864915268988324,0.0010308090930144335,0.0022597023936096554,3.689770212886037,0.30861723446893785,0.6913827655310621,1.251843697642099,1000.0,0.009857612267250822,0.009857612267250822,0.0004342419283767472,0.001095730317407237,0.000865129887120449,0.0018268510684212663,4.268593556428755,0.2785571142284569,0.7214428857715431,1.0622442907120648,-0.1895994069300342,-0.008344467970490635,-0.00016567920589398454,2,1,0.5,0.166667,0.24722216666666666,0.05,0.29090116666666666,250,0,0,0.298791,0.221616,0.271238,0.208355,0.504261,0.163185,0.845105,0.100628,0.335835
