welt,blockgroesse,amplitude,dio_0ein_count,dio_1fll_count,differenz,dominanz,symbole,stabil,tragend_unruhig,rekopplung,nachhall,focus_tone,observation_tone
1473_BS13_LOWER108_AMP_DRIFTCTRL,13,0.00108,175,174,1,dio_0ein,49,1142,52,0.732864,0.572406,980,214
1474_BS13_LOWER109_AMP_DRIFTCTRL,13,0.00109,175,174,1,dio_0ein,50,1142,52,0.732743,0.572144,981,213
1475_BS13_LOWER110_AMP_DRIFTCTRL,13,0.00110,175,173,2,dio_0ein,51,1140,54,0.732630,0.571927,981,213
1476_BS13_LOWER111_AMP_DRIFTCTRL,13,0.00111,174,173,1,dio_0ein,51,1140,54,0.732548,0.571462,982,212
