holdout_group,asset,world,source_file,scale,block_index,start_tick,end_tick,base_sequence,candidate_score,pre_raw_class,during_raw_class,post_raw_class,pre_move_pct,during_move_pct,post_move_pct,pre_range,during_range,post_range,pre_hoeren,during_hoeren,post_hoeren,pre_sicht,during_sicht,post_sicht,pre_druck,during_druck,post_druck,range_narrows_vs_pre,hearing_rises_vs_pre,pressure_rises_vs_pre,passive_only,influences_action,edge_control_type,edge_similarity_distance,edge_reference_hearing,edge_reference_pressure,edge_reference_range,phase_role,compact_sensory_phase
HOLDOUT2,BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,100,58,5800,5900,normale_weltspannung->lauter_feldkontakt,0.459802,gemischte_rohwelt,laute_oder_druckvolle_rohwelt,gemischte_rohwelt,0.274527,0.08533,-0.087652,0.075637,0.043024,0.075657,0.453687,0.609422,0.460735,0.676145,0.693903,0.682531,0.113814,0.145789,0.114815,1,1,1,1,0,same_raw_loud_not_loud_contact_loop,0.094820,0.560215,0.136674,0.069175,brueckenuebergang_zum_lauten_kontakt,1
HOLDOUT2,SOL,SOL_2023_ALT_A_FOLLOW,data\kontrolliert_2023_altseq_a_follow_10k_5m_SOLUSDT.csv,100,22,2200,2300,normale_weltspannung->lauter_feldkontakt,0.325518,gemischte_rohwelt,laute_oder_druckvolle_rohwelt,gemischte_rohwelt,1.823282,0.413223,0.731596,0.261434,0.208557,0.244543,0.387923,0.531606,0.467813,0.664999,0.676399,0.645539,0.099374,0.129368,0.11632,1,1,1,1,0,same_raw_loud_not_loud_contact_loop,0.106617,0.560215,0.136674,0.069175,brueckenuebergang_zum_lauten_kontakt,1
CONTRAST,DOGE,DOGE_2024_5M_CONTRAST,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,100,50,5000,5100,lauter_feldkontakt->lauter_feldkontakt,0.317975,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.024823,-2.334244,-1.550782,0.125464,0.203511,0.282565,0.478087,0.482805,0.481586,0.692507,0.694337,0.626473,0.118493,0.119398,0.120434,0,1,1,1,0,same_loud_contact_not_raw_loud,0.193532,0.560215,0.136674,0.069175,lauter_kontakt_bleibt_offen,0
HOLDOUT1,DOGE,DOGE_2024_5M,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,100,50,5000,5100,lauter_feldkontakt->lauter_feldkontakt,0.317975,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.024823,-2.334244,-1.550782,0.125464,0.203511,0.282565,0.478087,0.482805,0.481586,0.692507,0.694337,0.626473,0.118493,0.119398,0.120434,0,1,1,1,0,same_loud_contact_not_raw_loud,0.193532,0.560215,0.136674,0.069175,lauter_kontakt_bleibt_offen,0
CONTRAST,XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,100,55,5500,5600,lauter_feldkontakt->lauter_feldkontakt,0.345891,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,1.174497,1.142436,-0.41902,0.199552,0.152257,0.155877,0.460506,0.46924,0.440065,0.658603,0.68716,0.646143,0.115887,0.116231,0.111524,1,1,1,1,0,same_loud_contact_not_raw_loud,0.201826,0.560215,0.136674,0.069175,lauter_kontakt_bleibt_offen,1
CONTRAST,XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,200,27,5400,5600,lauter_feldkontakt->lauter_feldkontakt,0.303425,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-2.170345,2.33035,-0.41902,0.285469,0.175905,0.155877,0.468302,0.464873,0.440065,0.649915,0.672881,0.646143,0.116606,0.116059,0.111524,1,0,0,1,0,same_loud_contact_not_raw_loud,0.215158,0.560215,0.136674,0.069175,lauter_kontakt_bleibt_offen,0
