world,block_index,base_sequence,adapted_lage,base_zentrum,base_rand,base_rekopplung,base_strain,adapted_zentrum,adapted_rand,adapted_rekopplung,adapted_strain
SOL_2025_5M,1,normale_weltspannung->offen_suchend,offen_suchend,0.64,0.0,0.708655,0.153299,0.67,0.0,0.71012,0.151288
SOL_2025_5M,2,offen_suchend->offen_suchend,offen_suchend,0.61,0.0,0.70619,0.156063,0.62,0.0,0.707882,0.153725
SOL_2025_5M,3,offen_suchend->offen_suchend,offen_suchend,0.65,0.0,0.708635,0.1529,0.65,0.0,0.710081,0.150925
SOL_2025_5M,4,offen_suchend->offen_suchend,offen_suchend,0.66,0.01,0.706496,0.155255,0.67,0.01,0.708014,0.153151
SOL_2025_5M,5,offen_suchend->offen_suchend,offen_suchend,0.56,0.0,0.706174,0.156498,0.57,0.0,0.707296,0.155027
SOL_2025_5M,6,offen_suchend->offen_suchend,offen_suchend,0.66,0.01,0.708574,0.153038,0.67,0.0,0.709822,0.151373
SOL_2025_5M,7,offen_suchend->offen_suchend,offen_suchend,0.63,0.0,0.7071,0.155399,0.64,0.0,0.708372,0.153716
SOL_2025_5M,8,offen_suchend->lauter_feldkontakt,offen_suchend,0.67,0.01,0.708215,0.154288,0.67,0.0,0.709408,0.152665
SOL_2025_5M,9,lauter_feldkontakt->offen_suchend,offen_suchend,0.67,0.01,0.708477,0.153753,0.68,0.01,0.709807,0.15185
SOL_2025_5M,10,offen_suchend->normale_weltspannung,normale_weltspannung,0.73,0.01,0.712299,0.148407,0.74,0.01,0.713137,0.147234
SOL_2025_5M,11,normale_weltspannung->offen_suchend,offen_suchend,0.67,0.0,0.711127,0.15018,0.67,0.0,0.712037,0.148943
SOL_2025_5M,12,offen_suchend->randlastige_sinneslage,normale_weltspannung,0.7,0.02,0.709433,0.152763,0.7,0.0,0.710282,0.15157
SOL_2025_5M,13,randlastige_sinneslage->lauter_feldkontakt,offen_suchend,0.69,0.0,0.70883,0.153074,0.69,0.0,0.710297,0.150964
SOL_2025_5M,14,lauter_feldkontakt->offen_suchend,offen_suchend,0.69,0.0,0.709499,0.152117,0.69,0.0,0.710781,0.150335
SOL_2025_5M,15,offen_suchend->normale_weltspannung,normale_weltspannung,0.7,0.0,0.710551,0.151339,0.72,0.0,0.711716,0.149728
SOL_2025_5M,16,normale_weltspannung->randlastige_sinneslage,offen_suchend,0.56,0.02,0.703581,0.159255,0.58,0.0,0.705209,0.157092
SOL_2025_5M,17,randlastige_sinneslage->normale_weltspannung,normale_weltspannung,0.75,0.0,0.711826,0.149118,0.77,0.0,0.712622,0.147994
SOL_2025_5M,18,normale_weltspannung->offen_suchend,offen_suchend,0.66,0.0,0.710633,0.150973,0.69,0.0,0.71142,0.149868
SOL_2025_5M,19,offen_suchend->offen_suchend,offen_suchend,0.6,0.0,0.704579,0.158004,0.61,0.0,0.706135,0.155811
SOL_2025_1H,1,ruhig_zentrumsnah->normale_weltspannung,normale_weltspannung,0.79,0.0,0.713159,0.148078,0.79,0.0,0.713614,0.147411
SOL_2025_1H,2,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.76,0.01,0.711717,0.149692,0.77,0.01,0.712886,0.148062
SOL_2025_1H,3,normale_weltspannung->randlastige_sinneslage,normale_weltspannung,0.71,0.02,0.709001,0.153448,0.71,0.0,0.70992,0.152168
SOL_2025_1H,4,randlastige_sinneslage->randlastige_sinneslage,offen_suchend,0.48,0.03,0.696566,0.167799,0.49,0.01,0.699225,0.164082
SOL_2025_1H,5,randlastige_sinneslage->offen_suchend,normale_weltspannung,0.69,0.0,0.709642,0.15204,0.7,0.0,0.710763,0.150596
SOL_2025_1H,6,offen_suchend->normale_weltspannung,normale_weltspannung,0.76,0.0,0.712468,0.148442,0.76,0.0,0.712808,0.148038
SOL_2025_1H,7,normale_weltspannung->offen_suchend,offen_suchend,0.67,0.0,0.708144,0.153835,0.67,0.0,0.709714,0.151591
SOL_2025_1H,8,offen_suchend->offen_suchend,normale_weltspannung,0.74,0.01,0.708892,0.152549,0.74,0.0,0.710029,0.150969
SOL_2025_1H,9,offen_suchend->normale_weltspannung,normale_weltspannung,0.72,0.01,0.709577,0.152324,0.74,0.01,0.710801,0.150691
SOL_2025_1H,10,normale_weltspannung->ruhig_zentrumsnah,ruhig_zentrumsnah,0.89,0.01,0.716095,0.143074,0.89,0.01,0.716504,0.142485
SOL_2025_1H,11,ruhig_zentrumsnah->offen_suchend,offen_suchend,0.68,0.0,0.709545,0.152033,0.68,0.0,0.710536,0.150668
