followhold_kind,world,world_kind,source_file,rand_start_tick,rand_end_tick,rand_duration,follow_role,follow_start_tick,follow_end_tick,follow_duration,after_role,after_duration,rand_loudness,rand_intake,rand_sharpness,rand_rekopplung,rand_strain,follow_loudness,follow_intake,follow_sharpness,follow_rekopplung,follow_strain,delta_follow_rekopplung,delta_follow_strain
offene_variante_entlastend_gehalten,BRUCH_RAND,synthetische_sinneswelt,1221_FELDPHASEN_MATRIX_SYNTH_EXTREMWELTEN_SEGMENTE.csv,700,700,1,offene_variante,701,703,3,zentrum_stabil,37,0.923626,0.545632,0.695694,0.580041,0.326979,0.30189,0.173457,0.801065,0.666944,0.172204,0.086903,-0.154775
offene_variante_entlastend_gehalten,BRUCH_RAND,synthetische_sinneswelt,1221_FELDPHASEN_MATRIX_SYNTH_EXTREMWELTEN_SEGMENTE.csv,1400,1400,1,offene_variante,1401,1404,4,rekopplungsnaehe,1,0.922377,0.534432,0.362078,0.55775,0.310298,0.218896,0.125229,0.751717,0.661558,0.171797,0.103808,-0.138501
offene_variante_entlastend_gehalten,BRUCH_RAND,synthetische_sinneswelt,1221_FELDPHASEN_MATRIX_SYNTH_EXTREMWELTEN_SEGMENTE.csv,3500,3500,1,offene_variante,3501,3503,3,zentrum_stabil,674,0.757683,0.438506,0.646255,0.602867,0.255797,0.273522,0.154496,0.775514,0.663351,0.176668,0.060484,-0.079129
offene_variante_entlastend_gehalten,BRUCH_RAND,synthetische_sinneswelt,1221_FELDPHASEN_MATRIX_SYNTH_EXTREMWELTEN_SEGMENTE.csv,4200,4200,1,offene_variante,4201,4202,2,rekopplungsnaehe,1,0.655702,0.385048,0.701228,0.602731,0.256113,0.25011,0.142948,0.692808,0.680567,0.155908,0.077836,-0.100205
offene_variante_entlastend_gehalten,BRUCH_RAND,synthetische_sinneswelt,1221_FELDPHASEN_MATRIX_SYNTH_EXTREMWELTEN_SEGMENTE.csv,4900,4900,1,offene_variante,4901,4902,2,zentrum_stabil,263,0.97786,0.565809,0.529887,0.585823,0.319658,0.451829,0.254453,0.73487,0.644168,0.225848,0.058345,-0.09381
offene_variante_entlastend_gehalten,BRUCH_RAND,synthetische_sinneswelt,1221_FELDPHASEN_MATRIX_SYNTH_EXTREMWELTEN_SEGMENTE.csv,5400,5400,1,offene_variante,5401,5403,3,zentrum_stabil,57,0.825019,0.471929,0.521155,0.589474,0.274681,0.35539,0.200084,0.666925,0.663938,0.181359,0.074464,-0.093322
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,59,60,2,offene_variante,61,71,11,rekopplungsnaehe,2,0.78587,0.439866,0.568589,0.560666,0.310376,0.234571,0.144313,0.534658,0.651364,0.189503,0.090698,-0.120872
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,79,79,1,offene_variante,80,80,1,rekopplungsnaehe,1,0.582993,0.331604,0.610257,0.602657,0.253447,0.202415,0.11439,0.639326,0.690653,0.145671,0.087996,-0.107776
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,97,97,1,offene_variante,98,103,6,rekopplungsnaehe,1,0.777493,0.441822,0.633974,0.563228,0.308846,0.241798,0.137503,0.659683,0.662805,0.175534,0.099577,-0.133312
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,166,166,1,offene_variante,167,167,1,zentrum_stabil,1,0.631131,0.361742,0.52242,0.596312,0.261408,0.292822,0.158308,0.619329,0.687086,0.176427,0.090774,-0.084981
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,204,204,1,offene_variante,205,208,4,rekopplungsnaehe,1,0.82241,0.473386,0.537599,0.574448,0.29036,0.261434,0.155838,0.538156,0.664418,0.183089,0.08997,-0.107271
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,213,214,2,offene_variante,215,216,2,rekopplungsnaehe,1,0.66422,0.38514,0.394061,0.564307,0.301973,0.308192,0.177609,0.596456,0.65338,0.183713,0.089073,-0.118261
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,236,236,1,offene_variante,237,245,9,rekopplungsnaehe,1,0.523155,0.284235,0.400001,0.606908,0.250081,0.244387,0.144028,0.627233,0.659975,0.175531,0.053067,-0.07455
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,254,255,2,offene_variante,256,258,3,rekopplungsnaehe,1,0.541291,0.312928,0.44819,0.600078,0.25952,0.243983,0.161704,0.42196,0.632809,0.206293,0.032732,-0.053227
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,286,286,1,offene_variante,287,289,3,zentrum_stabil,2,0.687176,0.383606,0.543047,0.573986,0.292529,0.329773,0.183958,0.547538,0.661844,0.182592,0.087858,-0.109937
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,350,350,1,offene_variante,351,359,9,zentrum_stabil,3,0.633634,0.355425,0.436548,0.576463,0.288708,0.239618,0.141817,0.663068,0.677003,0.164683,0.10054,-0.124025
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,424,424,1,offene_variante,425,432,8,zentrum_stabil,1,0.751302,0.424017,0.453098,0.562807,0.305866,0.199121,0.11834,0.672339,0.67921,0.159185,0.116403,-0.146681
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,446,446,1,offene_variante,447,455,9,zentrum_stabil,1,0.736699,0.424111,0.651437,0.583396,0.281033,0.28087,0.163215,0.600147,0.65783,0.182262,0.074434,-0.098771
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,652,652,1,offene_variante,653,654,2,zentrum_stabil,3,0.675343,0.38791,0.73106,0.597367,0.269549,0.187165,0.113069,0.571962,0.68122,0.165596,0.083853,-0.103953
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,708,708,1,offene_variante,709,710,2,zentrum_stabil,3,0.723169,0.430994,0.535987,0.602047,0.253303,0.168603,0.112063,0.591419,0.686865,0.153577,0.084818,-0.099726
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,938,938,1,offene_variante,939,942,4,zentrum_stabil,1,0.845264,0.48473,0.666815,0.569097,0.307303,0.229624,0.138738,0.600973,0.669184,0.174544,0.100087,-0.132759
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,987,987,1,offene_variante,988,989,2,zentrum_stabil,4,0.818177,0.467116,0.56682,0.605678,0.262552,0.258257,0.147653,0.55166,0.673826,0.176372,0.068148,-0.08618
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,1022,1023,2,offene_variante,1024,1026,3,zentrum_stabil,1,0.70464,0.396412,0.641865,0.596369,0.269275,0.242181,0.148972,0.517271,0.642932,0.19806,0.046563,-0.071215
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,1045,1046,2,offene_variante,1047,1047,1,rekopplungsnaehe,1,0.576396,0.32584,0.673655,0.603618,0.254092,0.238516,0.140734,0.646716,0.687556,0.151447,0.083938,-0.102646
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,1066,1066,1,offene_variante,1067,1068,2,zentrum_stabil,1,0.364655,0.212236,0.464348,0.593499,0.260312,0.189319,0.115257,0.645722,0.674687,0.1677,0.081188,-0.092612
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,1080,1080,1,offene_variante,1081,1082,2,zentrum_stabil,8,0.703458,0.405829,0.700668,0.593827,0.272792,0.228923,0.137247,0.564528,0.680695,0.163575,0.086868,-0.109217
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,1141,1141,1,offene_variante,1142,1144,3,zentrum_stabil,1,0.736238,0.423412,0.613998,0.61174,0.25095,0.274041,0.156239,0.68202,0.673498,0.172681,0.061758,-0.078269
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,1233,1233,1,offene_variante,1234,1234,1,zentrum_stabil,1,0.574446,0.325676,0.665312,0.596707,0.264066,0.259017,0.146018,0.563023,0.680637,0.17904,0.08393,-0.085026
offene_variante_entlastend_gehalten,BTC_1H_2K,btc_welt,1219_FELDPHASEN_MATRIX_MEHRWELTEN_SEGMENTE.csv,1313,1313,1,offene_variante,1314,1314,1,zentrum_stabil,6,0.823336,0.480423,0.670932,0.574207,0.297722,0.350626,0.194087,0.626236,0.666391,0.179356,0.092184,-0.118366
