base_sequence,scale,count,dominant_raw_class,raw_class_counts,avg_price_move_pct,avg_abs_body_pct,avg_range_pct,avg_auditory,avg_visual_sharpness,avg_field_pressure
normale_weltspannung->normale_weltspannung,100,60,gemischte_rohwelt,gemischte_rohwelt:56;bewegungsreiche_rohwelt:4,-0.277382,0.090637,0.165883,0.418498,0.670805,0.105421
normale_weltspannung->normale_weltspannung,200,50,gemischte_rohwelt,gemischte_rohwelt:44;bewegungsreiche_rohwelt:6,0.136203,0.091286,0.166346,0.416247,0.668867,0.105076
normale_weltspannung->normale_weltspannung,400,34,gemischte_rohwelt,gemischte_rohwelt:22;bewegungsreiche_rohwelt:12,-0.215539,0.096149,0.17691,0.417817,0.665017,0.10558
offen_suchend->normale_weltspannung,100,32,gemischte_rohwelt,gemischte_rohwelt:32,0.128413,0.092988,0.169993,0.402037,0.661052,0.10211
offen_suchend->offen_suchend,100,30,gemischte_rohwelt,gemischte_rohwelt:27;bewegungsreiche_rohwelt:3,0.322141,0.138536,0.253576,0.396647,0.632092,0.102698
normale_weltspannung->offen_suchend,100,29,gemischte_rohwelt,gemischte_rohwelt:25;bewegungsreiche_rohwelt:4,0.321381,0.144777,0.268832,0.410208,0.635431,0.105578
offen_suchend->normale_weltspannung,200,20,gemischte_rohwelt,gemischte_rohwelt:20,0.065283,0.094313,0.174063,0.395207,0.663348,0.100597
lauter_feldkontakt->lauter_feldkontakt,100,19,laute_oder_druckvolle_rohwelt,laute_oder_druckvolle_rohwelt:12;gemischte_rohwelt:7,-0.148568,0.055509,0.091679,0.515039,0.688441,0.126139
normale_weltspannung->offen_suchend,200,19,gemischte_rohwelt,gemischte_rohwelt:13;bewegungsreiche_rohwelt:6,-0.653275,0.13962,0.259856,0.408756,0.639085,0.105089
randlastige_sinneslage->normale_weltspannung,100,19,gemischte_rohwelt,gemischte_rohwelt:19,0.16915,0.081623,0.152504,0.425694,0.673006,0.106722
randlastige_sinneslage->offen_suchend,100,16,gemischte_rohwelt,gemischte_rohwelt:11;bewegungsreiche_rohwelt:5,0.402617,0.156215,0.286376,0.408531,0.628307,0.105436
lauter_feldkontakt->normale_weltspannung,100,14,gemischte_rohwelt,gemischte_rohwelt:14,0.32562,0.074244,0.129603,0.427604,0.671857,0.107441
ruhig_zentrumsnah->normale_weltspannung,100,14,gemischte_rohwelt,gemischte_rohwelt:14,-0.208703,0.088843,0.162021,0.42917,0.668023,0.108019
offen_suchend->offen_suchend,200,12,gemischte_rohwelt,gemischte_rohwelt:7;bewegungsreiche_rohwelt:5,0.466453,0.16543,0.306949,0.390713,0.627057,0.101819
randlastige_sinneslage->offen_suchend,200,11,gemischte_rohwelt,gemischte_rohwelt:10;bewegungsreiche_rohwelt:1,0.329348,0.127879,0.237691,0.404311,0.63422,0.103966
normale_weltspannung->offen_suchend,400,10,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:7;gemischte_rohwelt:3,-1.196352,0.17836,0.325706,0.405948,0.630228,0.104683
randlastige_sinneslage->normale_weltspannung,200,10,gemischte_rohwelt,gemischte_rohwelt:8;bewegungsreiche_rohwelt:2,0.032198,0.092399,0.175044,0.415164,0.665135,0.104906
