visual_form,recurrence_count,worlds,typologies,field_qualities,avg_return_pct,avg_range_pct,avg_pressure_abs,avg_rekopplung_abs
erholung_nach_vorlast,4,BTC_2024_1H:2 | KAS2024_1H_ASSET_PROBE:2,rekopplung_nach_abverkauf:4,hochlastige_weite_rekopplung:2 | mittlere_feldspannung:2,59.870493,91.03631,0.091296,0.02023
fallende_rueckbindung,11,LONG2024_5M_SOL_STRESS_4000:2 | LONG2025_15M_BTC_STRESS_4000:2 | LONG2025_15M_BTC_QUIET_4000:1 | LONG2025_15M_SOL_STRESS_4000:1 | LONG2025_5M_BTC_STRESS_4000:1 | LONG2025_SOL_STRESS_4000:1 | LONG2024_5M_BTC_STRESS_4000:1 | LONG2025_5M_SOL_QUIET_4000:1 | LONG2025_5M_SOL_STRESS_4000:1,abverkauf_mit_rekopplung:7 | weite_volatilitaetszone:4,ruhige_rekopplung:9 | starke_rekopplungsbindung:2,-13.043936,25.051939,0.048968,0.017708
fallender_strukturbruch,6,SOL_2024_30M:2 | LONG2025_15M_SOL_STRESS_4000:1 | LONG2025_5M_SOL_STRESS_4000:1 | LONG2024_5M_BTC_STRESS_4000:1 | LONG2025_5M_SOL_QUIET_4000:1,abverkauf_mit_bruch:4 | weite_volatilitaetszone:2,mittlere_feldspannung:3 | schmale_offene_lage:2 | starke_rekopplungsbindung:1,-12.431698,20.745375,0.059595,0.017116
gemischte_achsenbewegung,1,LONG2024_15M_SOL_QUIET_4000:1,gerichtete_bewegung_mit_bruch:1,mittlere_feldspannung:1,20.07336,31.890104,0.066661,0.021382
offenes_bullfenster_mit_bruch,2,LONG2025_5M_BTC_STRESS_4000:1 | LONG2025_SOL_STRESS_4000:1,gerichtete_bewegung_mit_bruch:2,mittlere_feldspannung:2,-24.605691,35.293561,0.058201,0.016481
ruhige_gerichtete_rekopplung,11,LONG2025_5M_BTC_QUIET_4000:2 | LONG2024_5M_SOL_QUIET_4000:2 | LONG2024_15M_SOL_QUIET_4000:1 | LONG2025_15M_BTC_QUIET_4000:1 | LONG2024_5M_BTC_QUIET_4000:1 | LONG2024_15M_BTC_QUIET_4000:1 | LONG2025_15M_SOL_QUIET_4000:1 | LONG2025_BTC_QUIET_4000:1 | LONG2025_SOL_QUIET_4000:1,weite_volatilitaetszone:6 | gerichtete_bewegung_mit_rekopplung:4 | konsolidierung_mit_rekopplung:1,ruhige_rekopplung:6 | starke_rekopplungsbindung:3 | schmale_offene_lage:1 | mittlere_feldspannung:1,5.70238,21.278006,0.053595,0.019734
schmale_offene_transition,9,BTC_2024_5M:2 | SOL_2024_5M:2 | BTC_2024_15M:1 | SOL_2024_15M:1 | KAS_2024_30M:1 | KAS2024_15M_ASSET_PROBE:1 | LONG2024_5M_BTC_QUIET_4000:1,konsolidierung_mit_bruchnaehe:5 | gerichtete_uebergangsbewegung:2 | konsolidierung_unter_druck:1 | gerichtete_bewegung_mit_bruch:1,schmale_offene_lage:8 | starke_rekopplungsbindung:1,0.080772,3.105151,0.055981,0.013877
weite_aufwaerts_expansion,10,SOL_2024_1H:2 | LONG2024_15M_BTC_STRESS_4000:2 | LONG2024_15M_SOL_STRESS_4000:2 | LONG2025_BTC_STRESS_4000:2 | KAS_2024_30M:1 | LONG2025_SOL_QUIET_4000:1,getragene_expansion:8 | weite_volatilitaetszone:2,druckgetragene_weite:3 | mittlere_feldspannung:3 | starke_rekopplungsbindung:2 | ruhige_rekopplung:2,26.262308,43.390744,0.07046,0.020651
