asset,world,source_file,scale,start_tick,end_tick,control_for_phase_role,control_for_base_sequence,pre_hoeren,during_hoeren,pre_druck,during_druck,pre_range,during_range,hearing_rises_vs_pre,episode_rows,top_symbol_family,top_episode_symbol,top_mcm_episode_symbol,top_preview_symbol,top_meaning_state,avg_carry,avg_strain,avg_rekopplung,avg_sensory_coupling,symbol_diversity,meaning_diversity,mapping_status
BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,100,300,400,brueckenuebergang_zum_lauten_kontakt,normale_weltspannung->lauter_feldkontakt,0.417344,0.369329,0.106941,0.096612,0.214962,0.231403,0,100,dio_104t,-,-,dio_mcm_episode_1joiyc3,meaning_stable_inner_field,0.494978,0.158609,0.685736,0.840240,64,2,mapped
DOGE,DOGE_2024_5M_CONTRAST,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,100,300,400,zentrumskontakt_mit_hoeranstieg,ruhig_zentrumsnah->lauter_feldkontakt,0.463135,0.403751,0.113976,0.101514,0.177592,0.206179,0,100,dio_104t,-,-,dio_mcm_episode_1joiyc3,meaning_stable_inner_field,0.500512,0.153996,0.689743,0.844792,61,3,mapped
DOGE,DOGE_2024_5M,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,100,500,600,zentrumskontakt_mit_hoeranstieg,ruhig_zentrumsnah->lauter_feldkontakt,0.433063,0.430405,0.108590,0.108578,0.277573,0.202719,0,100,dio_0l7p,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.519306,0.151968,0.698256,0.843873,54,2,mapped
BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,100,600,700,randnaher_kontaktdruck,lauter_feldkontakt->lauter_feldkontakt,0.421417,0.408449,0.106602,0.103193,0.230362,0.129306,0,100,dio_104t,-,-,dio_mcm_episode_1joiyc3,meaning_stable_inner_field,0.515749,0.155394,0.696819,0.848964,57,3,mapped
BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,100,800,900,randnaher_kontaktdruck,lauter_feldkontakt->lauter_feldkontakt,0.471795,0.448009,0.122104,0.112693,0.570513,0.240212,0,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.507915,0.166271,0.687876,0.829845,64,4,mapped
DOGE,DOGE_2024_5M_CONTRAST,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,200,400,600,zentrumskontakt_mit_hoeranstieg,ruhig_zentrumsnah->lauter_feldkontakt,0.433443,0.431734,0.107745,0.108584,0.191886,0.240146,0,200,dio_0m9z,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.508786,0.155449,0.692132,0.839545,93,4,mapped
DOGE,DOGE_2024_5M,data\kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,200,800,1000,zentrumskontakt_mit_hoeranstieg,ruhig_zentrumsnah->lauter_feldkontakt,0.446136,0.435413,0.113595,0.109449,0.514401,0.303069,0,200,dio_0m9z,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.508338,0.157830,0.690533,0.834043,115,3,mapped
XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,100,300,400,zentrumskontakt_mit_hoeranstieg,ruhig_zentrumsnah->lauter_feldkontakt,0.457129,0.412216,0.113251,0.103593,0.127011,0.157432,0,100,dio_104t,-,-,dio_mcm_episode_1ahj81f,meaning_stable_inner_field,0.507882,0.152919,0.693567,0.847324,62,3,mapped
BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,200,800,1000,randnaher_kontaktdruck,lauter_feldkontakt->lauter_feldkontakt,0.440122,0.431465,0.112649,0.109269,0.349910,0.220193,0,200,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.512993,0.161585,0.691889,0.835468,104,4,mapped
XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,100,500,600,lauter_kontakt_bleibt_offen,lauter_feldkontakt->lauter_feldkontakt,0.415345,0.405857,0.106609,0.103117,0.248225,0.179096,0,100,dio_0l7p,-,-,dio_mcm_episode_1joiyc3,meaning_stable_inner_field,0.521783,0.149803,0.700493,0.846080,50,3,mapped
