worldlage_sequence,scale_presence,scale_count,occurrences_total,multiscale_profile,avg_delta_zentrum_over_scales,avg_delta_rand_over_scales,avg_delta_rekopplung_over_scales,avg_delta_strain_over_scales,passive_only,influences_action,outcome_100,occurrences_100,outcome_200,occurrences_200,outcome_400,occurrences_400
ueberstabil_extrem_leise_scharf->ueberstabil_extrem_leise_scharf,"100,200,400",3,260,stabil_neutral,0.0,-4.8e-05,3e-06,-5e-06,1,0,neutral,152,neutral,75,neutral,33
normale_weltspannung->normale_weltspannung,"100,200,400",3,255,skalenabhaengig_neutral_beruhigend,0.007345,-0.002283,0.00082,-0.001137,1,0,neutral,108,neutral,83,beruhigend,64
offen_suchend->offen_suchend,"100,200,400",3,130,skalenabhaengig_neutral_beruhigend,0.009168,-0.002946,0.001267,-0.001703,1,0,neutral,64,neutral,37,beruhigend,29
offen_suchend->normale_weltspannung,"100,200,400",3,106,skalenabhaengig_neutral_beruhigend,0.007921,-0.002553,0.000845,-0.001162,1,0,neutral,59,beruhigend,30,beruhigend,17
normale_weltspannung->offen_suchend,"100,200,400",3,89,skalenabhaengig_neutral_beruhigend,0.007989,-0.003865,0.001211,-0.001652,1,0,neutral,49,beruhigend,25,beruhigend,15
randlastige_sinneslage->randlastige_sinneslage,"100,200,400",3,86,stabil_beruhigend,0.003366,-0.044654,0.001266,-0.001858,1,0,beruhigend,55,beruhigend,25,beruhigend,6
randlastige_sinneslage->offen_suchend,"100,200,400",3,71,skalenabhaengig_neutral_beruhigend,0.007712,-0.003045,0.001275,-0.001718,1,0,neutral,40,beruhigend,23,beruhigend,8
normale_weltspannung->ruhig_zentrumsnah,"100,200,400",3,70,stabil_neutral,0.006343,-0.000534,0.000527,-0.000736,1,0,neutral,42,neutral,20,neutral,8
ruhig_zentrumsnah->normale_weltspannung,"100,200,400",3,66,skalenabhaengig_neutral_beruhigend,0.00896,-0.001794,0.000834,-0.001164,1,0,neutral,39,neutral,17,beruhigend,10
normale_weltspannung->randlastige_sinneslage,"100,200,400",3,63,stabil_beruhigend,0.008369,-0.010131,0.001292,-0.001788,1,0,beruhigend,42,beruhigend,13,beruhigend,8
randlastige_sinneslage->normale_weltspannung,"100,200,400",3,63,skalenabhaengig_neutral_beruhigend,0.008802,-0.003209,0.000829,-0.001135,1,0,neutral,42,beruhigend,17,beruhigend,4
ruhig_zentrumsnah->ruhig_zentrumsnah,"100,200,400",3,61,stabil_neutral,0.007561,-0.000455,0.000559,-0.000785,1,0,neutral,43,neutral,15,neutral,3
normale_weltspannung->lauter_feldkontakt,"100,200,400",3,57,skalenabhaengig_neutral_beruhigend,0.010583,-0.002321,0.001113,-0.001566,1,0,neutral,33,beruhigend,17,neutral,7
offen_suchend->randlastige_sinneslage,"100,200,400",3,54,stabil_beruhigend,0.005546,-0.011236,0.001552,-0.002119,1,0,beruhigend,28,beruhigend,22,beruhigend,4
