axis,stability,frueh_rank,spaet_rank,gesamt_rank,frueh_weight,spaet_weight,gesamt_weight,weight_delta_spaet_minus_frueh,frueh_re_delta,spaet_re_delta,frueh_strain_delta,spaet_strain_delta,rank_weight_drift_score
fragment_belastet->fragment_belastet,beidseitig_reproduziert,1,1,1,172,70,242,-102,0.013963,0.010625,-0.016907,-0.013116,4.214876
offen->fragment_belastet,beidseitig_reproduziert,2,2,2,69,41,116,-28,0.001265,-0.007516,-0.001186,0.009682,2.545455
fragment_belastet->zentrum_anschluss,beidseitig_reproduziert,3,8,3,56,16,74,-40,0.029322,0.060963,-0.018431,-0.020648,10.555556
zentrum_anschluss->fragment_belastet,beidseitig_reproduziert,4,11,6,49,14,65,-35,-0.022534,-0.059898,0.009018,0.014462,12.555556
drift_getragen->fragment_belastet,beidseitig_reproduziert,5,13,7,45,12,57,-33,-0.069136,-0.054731,0.039629,0.02377,13.789474
fragment_belastet->offen,beidseitig_reproduziert,6,5,5,38,21,65,-17,0.012352,0.033212,-0.020374,-0.046731,3.881356
drift_getragen->drift_getragen,beidseitig_reproduziert,7,22,11,36,4,40,-32,-0.001941,0.0,0.002173,0.0,23.0
fragment_belastet->drift_getragen,beidseitig_reproduziert,8,16,10,35,8,43,-27,0.066137,0.01728,-0.036944,-0.021411,14.27907
drift_getragen->zentrum_anschluss,beidseitig_reproduziert,9,6,9,29,18,45,-11,-0.024341,-0.007493,0.016073,0.012246,5.340426
rekoppelnd->zentrum_anschluss,beidseitig_reproduziert,10,12,12,27,13,38,-14,-0.022088,-0.018283,0.027719,0.019019,5.5
zentrum_anschluss->drift_getragen,beidseitig_reproduziert,11,10,13,25,15,38,-10,0.02477,0.006219,-0.012746,-0.009123,3.5
rekoppelnd->drift_getragen,beidseitig_reproduziert,12,19,16,25,6,31,-19,-0.00128,-0.00246,0.010369,0.004333,13.129032
rekoppelnd->rekoppelnd,beidseitig_reproduziert,13,3,8,24,37,56,13,-0.007582,-1.6e-05,0.011385,0.002445,12.131148
offen->zentrum_anschluss,beidseitig_reproduziert,14,18,14,24,7,33,-17,0.032318,0.050532,-0.03869,-0.059105,9.483871
zentrum_anschluss->zentrum_anschluss,beidseitig_reproduziert,15,15,15,24,9,33,-15,-0.006612,-0.004567,0.006086,0.001436,4.545455
drift_getragen->rekoppelnd,beidseitig_reproduziert,16,17,17,23,7,30,-16,0.003658,0.009687,-0.008294,-0.001679,6.333333
zentrum_anschluss->rekoppelnd,beidseitig_reproduziert,17,14,18,21,11,30,-10,0.021311,0.01678,-0.026977,-0.016671,6.125
zentrum_anschluss->offen,beidseitig_reproduziert,18,21,19,18,6,26,-12,-0.008939,-0.034812,0.010892,0.041316,8.0
offen->offen,beidseitig_reproduziert,19,4,4,17,31,70,14,0.00134,0.000735,-0.001122,-0.000615,17.916667
rekoppelnd->fragment_belastet,beidseitig_reproduziert,20,20,21,16,6,18,-10,-0.042878,-0.034815,0.038605,0.02262,4.545455
offen->rekoppelnd,beidseitig_reproduziert,21,7,20,11,16,18,5,0.116229,0.068236,0.004715,-0.002786,15.851852
offen->drift_getragen,beidseitig_reproduziert,22,23,23,10,3,11,-7,0.029194,0.016735,-0.034961,-0.018843,6.384615
fragment_belastet->rekoppelnd,beidseitig_reproduziert,23,25,25,10,2,8,-8,0.047103,0.035769,-0.052918,-0.043354,8.666667
rekoppelnd->offen,beidseitig_reproduziert,24,9,22,9,15,16,6,-0.11755,-0.067969,-0.014675,0.000501,17.5
drift_getragen->offen,beidseitig_reproduziert,25,24,24,7,3,8,-4,-0.027096,-0.016735,0.029737,0.018843,5.0
