phase_key,phase_class,window_reading,world,data_file,current_start_tick,current_end_tick,center_tick,current_intake,current_loudness,current_sharpness,current_rekopplung,current_strain,delta_next_rekopplung,delta_next_strain,raw_rows,raw_return,range_ratio,body_ratio,direction_consistency,expansion_ratio,break_ratio,movement_class
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,4233,4233,4233,0.545394,0.951906,0.627943,0.535874,0.346122,0.112921,-0.136681,71,-0.01882439,0.02416808,0.00124698,0.07246377,2.98737728,0.5112202,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,8955,8955,8955,0.515553,0.904538,0.577951,0.538009,0.338866,0.142662,-0.167226,71,-0.00448207,0.03834661,0.00213933,0.09090909,2.42504744,0.57874763,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,8809,8809,8809,0.54324,0.960287,0.655809,0.540835,0.338195,0.102462,-0.128729,71,0.01331214,0.05106298,0.00156992,0.09090909,10.35656402,0.45461912,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,547,547,547,0.477696,0.86425,0.375136,0.537619,0.335874,0.113509,-0.143231,71,0.07337191,0.09688539,0.00358225,0.2173913,2.96486964,0.45647371,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,1929,1929,1929,0.528819,0.926501,0.664433,0.543559,0.335622,0.079648,-0.102336,71,-0.00281096,0.01739283,0.00089327,0.06060606,4.4375,0.49048913,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,2314,2314,2314,0.550482,0.962768,0.635545,0.548579,0.335552,0.108985,-0.153367,71,0.01159555,0.03432282,0.0017769,0.03333333,5.76875,0.56666667,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,6408,6408,6408,0.516736,0.901333,0.646899,0.544864,0.334712,0.13561,-0.160545,71,-0.03720074,0.04714549,0.00168599,0.17142857,4.20164384,0.53424658,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,5480,5480,5480,0.470872,0.843854,0.418269,0.5414,0.333469,0.115333,-0.143606,71,-0.02464332,0.04442283,0.00344349,0.01449275,3.56573117,0.55686854,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,SOL_5M_2K,kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,1776,1776,1776,0.553505,0.956055,0.635675,0.550898,0.330178,0.094494,-0.113216,71,-0.01109483,0.0497174,0.00283784,0.05714286,5.29688298,0.49182422,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,291,291,291,0.505054,0.882749,0.649541,0.547733,0.329715,0.117051,-0.161918,71,-0.12979547,0.15069099,0.00522271,0.38235294,2.40135287,0.47266065,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,406,406,406,0.473586,0.836681,0.469447,0.544774,0.329709,0.129793,-0.166437,71,0.00086207,0.02079741,0.00125516,0.21212121,4.44310999,0.52275601,bewegungsbruch
rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,2375,2375,2375,0.463553,0.822723,0.417659,0.543437,0.329089,0.116292,-0.150527,71,-0.00854105,0.01289873,0.00100902,0.0,3.18998716,0.52759949,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,BTC_5M_2K,kontrolliert_btc_2024_5m_test1_2000_BTCUSDT.csv,803,803,803,0.485785,0.867327,0.521659,0.545942,0.328776,0.116212,-0.149028,71,0.00187666,0.0366068,0.00201615,0.14285714,4.21585269,0.53006215,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,8178,8180,8179,0.381379,0.661754,0.349161,0.557613,0.328379,0.076725,-0.11989,71,0.0316616,0.05357143,0.00218866,0.01492537,9.73714286,0.58428571,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,1024,1024,1024,0.449868,0.802338,0.417526,0.546096,0.32801,0.116706,-0.150507,71,-0.00444444,0.00888889,0.0005286,0.08695652,6.85795455,0.43181818,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,4370,4370,4370,0.503008,0.878071,0.671046,0.550317,0.327454,0.13532,-0.158434,71,0.01809955,0.0670506,0.00351099,0.03030303,3.0199095,0.54841629,bewegungsbruch
rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,8584,8584,8584,0.460391,0.818764,0.4702,0.547616,0.327096,0.111338,-0.134014,71,-0.02692381,0.04200878,0.00162172,0.03225806,3.24306688,0.49184339,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,7063,7063,7063,0.516497,0.915842,0.626506,0.556753,0.326821,0.069325,-0.104215,71,0.06511057,0.08845209,0.00282469,0.13432836,6.12830482,0.50777605,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,1000,1000,1000,0.506445,0.880077,0.698698,0.55055,0.326443,0.102961,-0.136208,71,-0.03612903,0.05677419,0.00135696,0.17460317,6.60465116,0.47357294,bewegungsbruch
rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,SOL_5M_2K,kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,276,276,276,0.536548,0.915918,0.715627,0.555498,0.325113,0.09367,-0.130778,71,0.01911413,0.05541261,0.00259506,0.01449275,3.20244097,0.53197135,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,SOL_5M_2K,kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,1759,1759,1759,0.487905,0.867099,0.586579,0.550269,0.324284,0.071296,-0.09808,71,0.01568038,0.05692192,0.00287408,0.22857143,5.74134589,0.52617004,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,8448,8448,8448,0.507951,0.886725,0.553659,0.550466,0.324218,0.135064,-0.152588,71,-0.00317223,0.01044971,0.00081211,0.04761905,4.38699187,0.50243902,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,307,307,307,0.52049,0.91652,0.622283,0.557903,0.324192,0.091261,-0.126303,71,0.00084854,0.0199406,0.00141622,0.04918033,5.05081301,0.48170732,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,6434,6434,6434,0.428679,0.761899,0.349015,0.548377,0.323968,0.114486,-0.146912,71,-0.04927143,0.06544826,0.0025741,0.2,4.40910802,0.55701919,bewegungsbruch
rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,2521,2522,2522,0.395332,0.679033,0.361528,0.549156,0.323449,0.064268,-0.094553,71,0.0191516,0.03866118,0.00264447,0.07462687,5.13429752,0.54183884,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,NEG_STRESS_10K,kontrolliert_2023_negative_stress_10k_5m_SOLUSDT.csv,9184,9184,9184,0.530664,0.908929,0.720404,0.557334,0.323434,0.099185,-0.125481,71,-0.0242268,0.03969072,0.00298388,0.1641791,2.88466579,0.53866317,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,1929,1929,1929,0.471293,0.838424,0.546905,0.549813,0.323082,0.110873,-0.14613,71,-0.00670474,0.02110752,0.00129058,0.06451613,3.90867876,0.47797927,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,KAS_5M_2K,kontrolliert_kas_2024_5m_test1_2000_KASUSDT.csv,710,710,710,0.481985,0.846831,0.616397,0.552437,0.323076,0.11323,-0.152725,71,-0.10547144,0.36502065,0.0087798,0.0,11.77602906,0.58482647,bewegungsbruch
rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,SIDEWAYS_10K,kontrolliert_2026_sideways_10k_5m_SOLUSDT.csv,5384,5384,5384,0.533525,0.944613,0.537308,0.556478,0.322942,0.094068,-0.126475,71,0.02060943,0.03072449,0.00144781,0.01492537,3.84492308,0.50030769,bewegungsbruch
rekopplungsnaehe->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,653,653,653,0.524068,0.90037,0.708463,0.557359,0.322033,0.114683,-0.153883,71,0.00429738,0.01976794,0.00115606,0.01587302,3.22727273,0.51069519,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,9064,9064,9064,0.500914,0.878761,0.446436,0.551249,0.321803,0.132178,-0.165875,71,-0.00098765,0.02271605,0.00207964,0.18181818,2.91129707,0.50041841,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,POS_EXPANSION_10K,kontrolliert_2023_positive_expansion_10k_5m_SOLUSDT.csv,2448,2448,2448,0.54695,0.946256,0.585389,0.555371,0.321692,0.056887,-0.083334,71,-0.00045393,0.01724921,0.00107408,0.06896552,5.49535604,0.52012384,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,XRP_5M_10K,kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,879,879,879,0.465386,0.831073,0.52754,0.55138,0.321641,0.100842,-0.132687,71,-0.00546822,0.02768284,0.00186285,0.07692308,3.68345865,0.58195489,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,DOGE_5M_10K,kontrolliert_doge_2024_5m_10k_DOGEUSDT.csv,2571,2572,2572,0.397859,0.696757,0.491958,0.553682,0.321374,0.06646,-0.101115,71,-0.00970391,0.06792735,0.00310147,0.04477612,7.15133383,0.44128646,bewegungsbruch
offene_variante->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,PAXG_5M_10K,kontrolliert_paxg_2024_5m_10k_PAXGUSDT.csv,1745,1745,1745,0.484762,0.847577,0.669206,0.554891,0.321208,0.087688,-0.108436,71,0.0,0.00396629,0.00030725,0.05,6.45454545,0.66666667,bewegungsbruch
zentrum_stabil->spannungsrand_kippnaehe->offene_variante,grenzphase_mit_entlastung,lastkontakt_entlastet,SOL_5M_2K,kontrolliert_sol_2024_5m_test1_2000_SOLUSDT.csv,1173,1174,1174,0.410505,0.731573,0.391242,0.551795,0.320896,0.105473,-0.128728,71,-0.03393557,0.06672402,0.00292569,0.11428571,6.72985782,0.44776427,bewegungsbruch
