world,axis,axis_reading,both_present,reciprocal_top_links,axis_transition_ab,axis_transition_ba,axis_transition_total,all_transition_total,axis_transition_share,top_transition,top_transition_share,transition_density,zone_count,avg_rekopplung,avg_strain,avg_sensory,avg_center_share,avg_open_share,avg_rand_share,world_names_top,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,diagnosis
VIERTE_WELT,183drjy<->1t5bcxp,beziehung_nicht_sichtbar,0,0,0,0,0,403,0.0,0ykar6i->0b7nep9:37,0.091811,2.056122,196,0.677208,0.172755,0.818624,0.657727,0.280119,0.062154,XRP_FIELD:79 | DOGE_FIELD:78 | PAXG_FIELD:53 | SOL_BREAK:51 | BTC_FIELD:29,1,0,0,0,0,0,0,keine_achsennahe_regimebindung
FUENFTE_WELT,183drjy<->1t5bcxp,beziehung_erhalten,1,1,22,27,49,1013,0.048371,0e7qvj1->1hdpu9s:72,0.071076,2.91092,348,0.652981,0.20434,0.805874,0.552881,0.301573,0.145546,BTC2025_CROSS:143 | SIDEWAYS:115 | BTC2024_CROSS:108 | SOL_STRESS:99 | NEG_STRESS:96,1,0,0,0,0,0,0,regimewechsel_als_achsenkontakt_sichtbar
SECHSTE_WELT,183drjy<->1t5bcxp,beziehung_nicht_sichtbar,0,0,0,0,0,241,0.0,0e7qvj1->1hdpu9s:22,0.091286,1.759124,137,0.656536,0.193887,0.809567,0.599524,0.2735,0.126976,IND_BTC_1H:67 | IND_SOL_1H:63 | IND_BTC_5M:52 | IND_SOL_5M:50,1,0,0,0,0,0,0,keine_achsennahe_regimebindung
SIEBTE_WELT,183drjy<->1t5bcxp,beziehung_nicht_sichtbar,0,0,0,0,0,797,0.0,0e7qvj1->1hdpu9s:71,0.089084,3.420601,233,0.65832,0.19749,0.796795,0.540602,0.326719,0.132679,XRP2024_5M:132 | XRP2025_1H:105 | XRP2025_5M:101 | XRP2024_1H:100,1,0,0,0,0,0,0,keine_achsennahe_regimebindung
ACHTE_WELT,183drjy<->1t5bcxp,beziehung_nicht_sichtbar,0,0,0,0,0,86,0.0,0je96vc->128nsns:3,0.034884,0.014345,5995,0.608776,0.238455,0.809188,0.253341,0.479617,0.267042,SOL2025_15M:1792 | SOL2024_15M:1781 | SOL2025_30M:1719 | SOL2024_30M:1685,1,0,0,0,0,0,0,keine_achsennahe_regimebindung
NEUNTE_WELT,183drjy<->1t5bcxp,beziehung_erhalten,1,1,28,41,69,262,0.263359,1t5bcxp->183drjy:41,0.156489,2.36036,111,0.628366,0.23958,0.832307,0.489956,0.216805,0.293238,STABLE10K_REPRO:111,1,0,0,0,0,0,0,regimewechsel_als_achsenkontakt_sichtbar
ZEHNTE_STRESSWELT,183drjy<->1t5bcxp,beziehung_erhalten,1,1,27,36,63,271,0.232472,1t5bcxp->183drjy:36,0.132841,1.856164,146,0.623146,0.248151,0.829839,0.379042,0.284522,0.336436,STRESS10K_REPRO:146,1,0,0,0,0,0,0,regimewechsel_als_achsenkontakt_sichtbar
