axis,source_state,target_state,source_role,target_role,edge_count,weighted_edges,source_node_count,target_node_count,avg_rekopplung_delta_weighted,avg_strain_delta_weighted,examples,rank
fragment_belastet->fragment_belastet,netz_fragmentiert_belastet,netz_fragmentiert_belastet,fragment_belastet,fragment_belastet,36,172,22,16,0.0139626976744186,-0.016907145348837208,0e7qvj1->18l3thm:12 | 0e7qvj1->0mji3u6:12 | 0e7qvj1->14coypf:10 | 18l3thm->0e7qvj1:12,1
offen->fragment_belastet,netz_offen_verbunden,netz_fragmentiert_belastet,offen,fragment_belastet,20,69,18,9,0.0012652028985507232,-0.0011863043478260854,1jwnjz4->0e7qvj1:6 | 1jwnjz4->14coypf:4 | 1q3us3f->18l3thm:6 | 1q3us3f->0e7qvj1:6,2
fragment_belastet->zentrum_anschluss,netz_fragmentiert_belastet,netz_zentrum_mit_anschluss,fragment_belastet,zentrum_anschluss,14,56,12,7,0.029321964285714285,-0.01843144642857143,0e7qvj1->1hdpu9s:6 | 1joiyc3->1jx2k4i:8 | 0ybr5e3->1xx3u1e:6 | 0ybr5e3->0b7nep9:6,3
zentrum_anschluss->fragment_belastet,netz_zentrum_mit_anschluss,netz_fragmentiert_belastet,zentrum_anschluss,fragment_belastet,11,49,7,9,-0.022533897959183678,0.009018448979591837,1hdpu9s->0e7qvj1:6 | 0b7nep9->0ybr5e3:6 | 0ykar6i->0ybr5e3:4 | 0ykar6i->1qqnvqf:2,4
drift_getragen->fragment_belastet,netz_driftend_getragen,netz_fragmentiert_belastet,drift_getragen,fragment_belastet,11,45,10,6,-0.06913566666666668,0.03962860000000001,1ahj81f->1joiyc3:6 | 0z748ck->0e7qvj1:4 | 0db07p4->1joiyc3:10 | 0db07p4->1i1sl4l:4,5
fragment_belastet->offen,netz_fragmentiert_belastet,netz_offen_verbunden,fragment_belastet,offen,10,38,8,9,0.01235157894736842,-0.020374289473684214,0e7qvj1->1jwnjz4:6 | 18l3thm->1q3us3f:6 | 0mji3u6->0d40zcv:3 | 1joiyc3->1t42af6:6,6
drift_getragen->drift_getragen,netz_driftend_getragen,netz_driftend_getragen,drift_getragen,drift_getragen,12,36,10,8,-0.0019413333333333335,0.002173416666666667,0z748ck->0qzjuvj:4 | 0z748ck->0ac3vc1:1 | 0db07p4->0nuo9k1:2 | 0db07p4->0t1ymth:2,7
fragment_belastet->drift_getragen,netz_fragmentiert_belastet,netz_driftend_getragen,fragment_belastet,drift_getragen,8,35,5,7,0.06613705714285714,-0.03694437142857143,1joiyc3->0db07p4:10 | 1joiyc3->1ahj81f:6 | 0jbl5pq->0qzjuvj:6 | 0jbl5pq->0lne9ax:3,8
drift_getragen->zentrum_anschluss,netz_driftend_getragen,netz_zentrum_mit_anschluss,drift_getragen,zentrum_anschluss,10,29,7,6,-0.024340551724137932,0.016072724137931035,1ahj81f->1jx2k4i:2 | 0qzjuvj->0hjnwsk:5 | 0geqqo3->1xx3u1e:6 | 0geqqo3->0ykar6i:4,9
rekoppelnd->zentrum_anschluss,netz_rekoppelnd_verbunden,netz_zentrum_mit_anschluss,rekoppelnd,zentrum_anschluss,9,27,8,5,-0.02208792592592592,0.0277192962962963,1eju9g0->0b7nep9:6 | 1eju9g0->17c7qwp:2 | 077r0df->1xx3u1e:6 | 00nzcuc->0b7nep9:3,10
zentrum_anschluss->drift_getragen,netz_zentrum_mit_anschluss,netz_driftend_getragen,zentrum_anschluss,drift_getragen,8,25,5,7,0.024769639999999996,-0.01274552,0ykar6i->0geqqo3:4 | 0ykar6i->1pmt8u2:2 | 1jx2k4i->1ahj81f:2 | 1jx2k4i->0dgle71:2,11
rekoppelnd->drift_getragen,netz_rekoppelnd_verbunden,netz_driftend_getragen,rekoppelnd,drift_getragen,8,25,6,6,-0.00127992,0.010369,1al8fjz->1k0rrn2:6 | 1al8fjz->1y2gc2i:3 | 1al8fjz->0393v08:3 | 1n9f8vr->0z748ck:1,12
rekoppelnd->rekoppelnd,netz_rekoppelnd_verbunden,netz_rekoppelnd_verbunden,rekoppelnd,rekoppelnd,12,24,9,7,-0.0075817500000000025,0.0113855,1al8fjz->06ccuqv:3 | 0om13wf->0y1i8dq:2 | 0om13wf->0ybhu2p:2 | 0om13wf->0qhs6nb:1,13
offen->zentrum_anschluss,netz_offen_verbunden,netz_zentrum_mit_anschluss,offen,zentrum_anschluss,8,24,7,4,0.032317958333333334,-0.038690125,0w4x7xs->0b7nep9:6 | 0w4x7xs->1xx3u1e:3 | 01s42m6->0b7nep9:6 | 0ldht3x->0l3i7ey:1,14
zentrum_anschluss->zentrum_anschluss,netz_zentrum_mit_anschluss,netz_zentrum_mit_anschluss,zentrum_anschluss,zentrum_anschluss,3,24,3,2,-0.006611666666666666,0.006085666666666667,0b7nep9->0ykar6i:10 | 0ykar6i->0b7nep9:10 | 17c7qwp->0b7nep9:4,15
drift_getragen->rekoppelnd,netz_driftend_getragen,netz_rekoppelnd_verbunden,drift_getragen,rekoppelnd,8,23,7,6,0.0036580434782608694,-0.008294260869565218,0z748ck->1n9f8vr:1 | 0qzjuvj->080f74u:3 | 05lquqm->0dxi31r:3 | 05lquqm->1a9sbfi:3,16
zentrum_anschluss->rekoppelnd,netz_zentrum_mit_anschluss,netz_rekoppelnd_verbunden,zentrum_anschluss,rekoppelnd,7,21,5,6,0.02131133333333334,-0.026976666666666666,0b7nep9->1eju9g0:6 | 1xx3u1e->077r0df:6 | 0hjnwsk->0htnihj:2 | 0hjnwsk->0i7gfxw:2,17
zentrum_anschluss->offen,netz_zentrum_mit_anschluss,netz_offen_verbunden,zentrum_anschluss,offen,6,18,4,5,-0.008938611111111109,0.01089233333333333,0b7nep9->0w4x7xs:6 | 0b7nep9->01s42m6:6 | 1xx3u1e->0w4x7xs:3 | 0l3i7ey->0ldht3x:1,18
offen->offen,netz_offen_verbunden,netz_offen_verbunden,offen,offen,13,17,10,9,0.0013396470588235305,-0.001121647058823532,1q3us3f->1hs3jsa:2 | 0v5p8er->1ds636q:2 | 0v5p8er->0vff3w6:1 | 1ds636q->0v5p8er:2,19
rekoppelnd->fragment_belastet,netz_rekoppelnd_verbunden,netz_fragmentiert_belastet,rekoppelnd,fragment_belastet,5,16,5,4,-0.042877937500000005,0.0386048125,14l8khu->14coypf:4 | 1al8fjz->0dsrwv5:3 | 1n9f8vr->18l3thm:3 | 0sv0ru8->0jbl5pq:3,20
offen->rekoppelnd,netz_offen_verbunden,netz_rekoppelnd_verbunden,offen,rekoppelnd,8,11,5,6,0.11622918181818181,0.004714545454545451,0v5p8er->14l8khu:2 | 0ultars->0om13wf:2 | 0ultars->00yl137:2 | 0ultars->00dz86x:1,21
offen->drift_getragen,netz_offen_verbunden,netz_driftend_getragen,offen,drift_getragen,4,10,4,2,0.029194099999999994,-0.034961200000000005,0ultars->0aztxel:1 | 0tph7s0->05lquqm:3 | 079228h->05lquqm:3 | 0ag2osp->05lquqm:3,22
