worldlage_sequence,occurrences,dominant_outcome,outcome_counts,avg_delta_zentrum,avg_delta_rand,avg_delta_rekopplung,avg_delta_strain,passive_only,influences_action
normale_weltspannung->normale_weltspannung,60,neutral,neutral:48;beruhigend:12,0.007667,-0.002,0.000781,-0.001081,1,0
offen_suchend->normale_weltspannung,32,neutral,neutral:25;beruhigend:7,0.00625,-0.002188,0.000709,-0.000968,1,0
offen_suchend->offen_suchend,30,neutral,neutral:25;beruhigend:4;verschiebend:1,0.01,-0.001333,0.001253,-0.00166,1,0
normale_weltspannung->offen_suchend,29,neutral,neutral:23;beruhigend:6,0.006897,-0.002069,0.001118,-0.001498,1,0
lauter_feldkontakt->lauter_feldkontakt,19,neutral,neutral:16;beruhigend:3,0.006842,-0.001579,0.000832,-0.001179,1,0
randlastige_sinneslage->normale_weltspannung,19,neutral,neutral:14;beruhigend:5,0.004737,-0.002632,0.000717,-0.000992,1,0
normale_weltspannung->lauter_feldkontakt,18,neutral,neutral:11;beruhigend:7,0.006667,-0.003889,0.000881,-0.001253,1,0
normale_weltspannung->randlastige_sinneslage,17,beruhigend,beruhigend:16;neutral:1,0.003529,-0.014706,0.001486,-0.002039,1,0
randlastige_sinneslage->offen_suchend,16,neutral,neutral:11;beruhigend:5,0.00875,-0.003125,0.001312,-0.001751,1,0
lauter_feldkontakt->normale_weltspannung,14,neutral,neutral:10;beruhigend:4,0.007857,-0.002857,0.000727,-0.001023,1,0
offen_suchend->randlastige_sinneslage,14,beruhigend,beruhigend:13;neutral:1,0.007857,-0.014286,0.001527,-0.002113,1,0
ruhig_zentrumsnah->normale_weltspannung,14,neutral,neutral:13;beruhigend:1,0.007857,-0.000714,0.000798,-0.001102,1,0
normale_weltspannung->ruhig_zentrumsnah,13,neutral,neutral:13,0.006154,0.0,0.000439,-0.000621,1,0
randlastige_sinneslage->randlastige_sinneslage,13,beruhigend,beruhigend:12;neutral:1,0.006154,-0.014615,0.001376,-0.001905,1,0
lauter_feldkontakt->randlastige_sinneslage,12,beruhigend,beruhigend:11;stabil_leicht:1,0.009167,-0.015,0.001191,-0.00169,1,0
leise_duenn->normale_weltspannung,9,neutral,neutral:8;beruhigend:1,0.003333,-0.001111,0.000654,-0.000894,1,0
normale_weltspannung->leise_duenn,8,neutral,neutral:7;beruhigend:1,0.0075,-0.00125,0.000847,-0.001081,1,0
offen_suchend->ruhig_zentrumsnah,8,neutral,neutral:8,0.0075,0.0,0.000525,-0.00073,1,0
leise_duenn->offen_suchend,7,neutral,neutral:4;beruhigend:3,0.004286,-0.004286,0.001276,-0.001699,1,0
ruhig_zentrumsnah->offen_suchend,6,beruhigend,beruhigend:3;neutral:3,0.001667,-0.005,0.001263,-0.001703,1,0
offen_suchend->leise_duenn,5,neutral,neutral:4;beruhigend:1,0.006,-0.002,0.00083,-0.001061,1,0
randlastige_sinneslage->lauter_feldkontakt,5,neutral,neutral:3;beruhigend:2,0.008,-0.004,0.000779,-0.001095,1,0
lauter_feldkontakt->offen_suchend,4,neutral,neutral:4,0.0025,0.0,0.001119,-0.001487,1,0
lauter_feldkontakt->ruhig_zentrumsnah,3,neutral,neutral:2;beruhigend:1,0.003333,-0.003333,0.000481,-0.000677,1,0
leise_duenn->leise_duenn,3,neutral,neutral:2;beruhigend:1,0.003333,-0.003333,0.000853,-0.001106,1,0
normale_weltspannung->leise_scharf_duenn,3,neutral,neutral:3,0.003333,0.0,0.000469,-0.000608,1,0
offen_suchend->lauter_feldkontakt,3,beruhigend,beruhigend:3,0.01,-0.01,0.001221,-0.001695,1,0
randlastige_sinneslage->leise_duenn,3,neutral,neutral:2;beruhigend:1,0.016667,-0.003333,0.000899,-0.001182,1,0
randlastige_sinneslage->ruhig_zentrumsnah,3,neutral,neutral:3,0.016667,0.0,0.000536,-0.000745,1,0
ruhig_zentrumsnah->lauter_feldkontakt,3,neutral,neutral:2;beruhigend:1,0.003333,-0.003333,0.000865,-0.001205,1,0
ruhig_zentrumsnah->leise_duenn,3,neutral,neutral:2;beruhigend:1,0.006667,-0.003333,0.000925,-0.001218,1,0
ruhig_zentrumsnah->ruhig_zentrumsnah,3,neutral,neutral:3,0.01,0.0,0.000424,-0.000612,1,0
leise_duenn->leise_scharf_duenn,2,stabil_leicht,stabil_leicht:1;neutral:1,0.0,-0.005,0.00045,-0.000633,1,0
leise_duenn->randlastige_sinneslage,2,neutral,neutral:1;beruhigend:1,0.015,-0.01,0.001051,-0.001411,1,0
leise_scharf_duenn->leise_duenn,2,neutral,neutral:2,0.0,0.0,0.000868,-0.001153,1,0
ruhig_zentrumsnah->randlastige_sinneslage,2,beruhigend,beruhigend:2,0.015,-0.02,0.001128,-0.001612,1,0
leise_duenn->ruhig_zentrumsnah,1,neutral,neutral:1,0.0,0.0,0.000404,-0.000559,1,0
leise_scharf_duenn->lauter_feldkontakt,1,neutral,neutral:1,0.0,0.0,0.000982,-0.001406,1,0
leise_scharf_duenn->normale_weltspannung,1,neutral,neutral:1,0.0,0.0,0.000354,-0.000491,1,0
leise_scharf_duenn->offen_suchend,1,neutral,neutral:1,0.0,0.0,0.001116,-0.001495,1,0
