role,count,preview_carry_ratio,raw_forms,worlds,effects,previews,families,drift_pct,abs_drift_pct,avg_abs_return_pct,avg_range_pct,max_range_pct,direction_change_ratio,direction_persistence,sensory_delta,rekopplung_delta,strain_delta_next,rekopplung_delta_next
brueckennaehe,67,0.865672,"gemischte_rohwelt:34, laute_oder_druckvolle_rohwelt:22, wechselhafte_rohwelt:5, ruhige_enge_rohwelt:5, gerichtete_weltbewegung:1","XRP_2024_5M:24, DOGE_2024_5M:18, PAXG_2024_5M:17, BTC_2024_5M:4, SOL_2024_5M:4",stabil:67,"dio_mcm_episode_0e7qvj1:24, dio_mcm_episode_0b7nep9:9, dio_mcm_episode_1joiyc3:8, dio_mcm_episode_0ykar6i:6, dio_mcm_episode_0ybr5e3:6","dio_104t:34, dio_0m9z:7, dio_0l7p:7, dio_155c:5, dio_14wj:5",0.115505,0.694759,0.095244,0.187903,0.624104,0.408925,0.591075,0.010045,0.007956,0.002835,-0.003049
zentrumsnaehe,21,0.666667,"gemischte_rohwelt:16, wechselhafte_rohwelt:3, ruhige_enge_rohwelt:1, laute_oder_druckvolle_rohwelt:1","DOGE_2024_5M:9, XRP_2024_5M:8, PAXG_2024_5M:3, BTC_2024_5M:1",stabil:21,"dio_mcm_episode_0b7nep9:5, dio_mcm_episode_14coypf:4, dio_mcm_episode_0e7qvj1:3, dio_mcm_episode_0ykar6i:3, dio_mcm_episode_0ybr5e3:2","dio_104t:10, dio_0l7p:5, dio_14wj:2, dio_1u5i:1, dio_0m9z:1",0.161065,0.582370,0.069926,0.139480,0.460241,0.421124,0.578876,-0.003728,-0.002188,0.002124,-0.001655
mischrolle_brueckennaehe_zentrumsnaehe,65,0.861538,"gemischte_rohwelt:48, laute_oder_druckvolle_rohwelt:9, ruhige_enge_rohwelt:6, wechselhafte_rohwelt:2","PAXG_2024_5M:20, XRP_2024_5M:19, DOGE_2024_5M:19, SOL_2024_5M:4, BTC_2024_5M:3",stabil:65,"dio_mcm_episode_0e7qvj1:17, dio_mcm_episode_0ybr5e3:12, dio_mcm_episode_0ykar6i:11, dio_mcm_episode_0b7nep9:8, dio_mcm_episode_14coypf:5","dio_104t:24, dio_14wj:15, dio_0m9z:9, dio_0l7p:9, dio_155c:4",-0.078779,0.575055,0.076700,0.155132,0.497045,0.366125,0.633875,0.009603,0.006215,0.004552,-0.004600
