label,form,amplitude_level,direction_changes,avg_abs_return,quiet_score,unique_symbols,stable,tragend_unruhig,avg_carry,avg_rekopplung,avg_strain,avg_coupling,avg_afterimage
REGULAR_BASE,regular,base,998,0.001058,0.716998,24,712,282,0.555928,0.713970,0.150471,0.826495,0.425093
REGULAR_LOW,regular,low,999,0.000506,0.461984,11,994,0,0.579544,0.730814,0.142139,0.853737,0.638319
REGULAR_HIGH,regular,high,999,0.002024,0.315368,45,514,480,0.527975,0.695736,0.159427,0.803296,0.227563
WAVE_BASE,wave,base,60,0.000687,0.228581,37,994,0,0.575977,0.737141,0.119177,0.901279,0.460114
WAVE_LOW,wave,low,60,0.000328,0.899176,19,994,0,0.596476,0.748774,0.117961,0.910305,0.638740
WAVE_HIGH,wave,high,60,0.001314,0.795857,64,975,19,0.559119,0.726057,0.126779,0.889030,0.364384
