welt,blockgroesse,amplitude,dio_0ein_count,dio_1fll_count,differenz,dominanz,symbole,stabil,tragend_unruhig,rekopplung,nachhall,focus_tone,observation_tone
1467_BS13_ROBUST110_AMP_DRIFTCTRL,13,0.00110,175,173,2,dio_0ein,51,1140,54,0.732630,0.571927,981,213
1468_BS13_ROBUST112_AMP_DRIFTCTRL,13,0.00112,173,173,0,gleich,51,1140,54,0.732461,0.570924,986,208
1469_BS13_ROBUST114_AMP_DRIFTCTRL,13,0.00114,173,173,0,gleich,52,1138,56,0.732268,0.571119,989,205
