asset,world,start_tick,end_tick,phase_role,base_sequence,compact_sensory_phase,pre_window,during_window,post_window,pre_episode_rows,pre_top_symbol_family,pre_top_episode_symbol,pre_top_mcm_episode_symbol,pre_top_preview_symbol,pre_top_meaning_state,pre_avg_carry,pre_avg_strain,pre_avg_rekopplung,pre_avg_sensory_coupling,pre_symbol_diversity,pre_meaning_diversity,pre_mapping_status,during_episode_rows,during_top_symbol_family,during_top_episode_symbol,during_top_mcm_episode_symbol,during_top_preview_symbol,during_top_meaning_state,during_avg_carry,during_avg_strain,during_avg_rekopplung,during_avg_sensory_coupling,during_symbol_diversity,during_meaning_diversity,during_mapping_status,post_episode_rows,post_top_symbol_family,post_top_episode_symbol,post_top_mcm_episode_symbol,post_top_preview_symbol,post_top_meaning_state,post_avg_carry,post_avg_strain,post_avg_rekopplung,post_avg_sensory_coupling,post_symbol_diversity,post_meaning_diversity,post_mapping_status,preview_pre_carry,preview_post_carry,family_pre_carry,family_post_carry,post_rekopplung_delta,post_strain_delta
SOL,SOL_2025_REC,3400,3500,rueckbindung_in_normale_weltspannung,normale_weltspannung->normale_weltspannung,1,3300-3400,3400-3500,3500-3600,100,dio_104t,-,-,dio_mcm_episode_1rxdw4p,meaning_stable_inner_field,0.543411,0.154726,0.708848,0.852321,54,3,mapped,100,dio_104t,-,-,dio_mcm_episode_1rxdw4p,meaning_stable_inner_field,0.543467,0.151707,0.710734,0.858008,55,2,mapped,100,dio_104t,-,-,dio_mcm_episode_1rxdw4p,meaning_stable_inner_field,0.551692,0.147858,0.715488,0.862431,43,2,mapped,1,1,1,1,0.004754,-0.003849
SOL,SOL_2025_REC,3200,3600,rueckbindung_in_normale_weltspannung,offen_suchend->normale_weltspannung,1,2800-3200,3200-3600,3600-4000,400,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.537187,0.157021,0.704663,0.844698,144,4,mapped,400,dio_104t,-,-,dio_mcm_episode_1rxdw4p,meaning_stable_inner_field,0.543950,0.153455,0.709841,0.854605,120,4,mapped,400,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.541400,0.155929,0.707601,0.850493,135,4,mapped,0,0,1,1,-0.002240,0.002474
SOL,SOL_2025_REC,3300,3400,rueckbindung_in_normale_weltspannung,lauter_feldkontakt->normale_weltspannung,0,3200-3300,3300-3400,3400-3500,100,dio_155c,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.537228,0.159527,0.704293,0.845661,63,4,mapped,100,dio_104t,-,-,dio_mcm_episode_1rxdw4p,meaning_stable_inner_field,0.543411,0.154726,0.708848,0.852321,54,3,mapped,100,dio_104t,-,-,dio_mcm_episode_1rxdw4p,meaning_stable_inner_field,0.543467,0.151707,0.710734,0.858008,55,2,mapped,0,1,0,1,0.001886,-0.003019
XRP,XRP_2024_5M_CONTRAST,9700,9800,rueckbindung_in_normale_weltspannung,offen_suchend->normale_weltspannung,1,9600-9700,9700-9800,9800-9900,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.541979,0.157350,0.704489,0.832634,70,3,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.550311,0.152794,0.710445,0.843252,63,2,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.559551,0.149375,0.716357,0.850750,50,2,mapped,1,1,1,1,0.005912,-0.003419
SOL,SOL_2025_STRESS,3200,3400,rueckbindung_in_normale_weltspannung,ruhig_zentrumsnah->normale_weltspannung,1,3000-3200,3200-3400,3400-3600,200,dio_104t,-,-,dio_mcm_episode_1hdpu9s,meaning_stable_inner_field,0.554886,0.148592,0.715877,0.857771,65,2,mapped,200,dio_104t,-,-,dio_mcm_episode_1hdpu9s,meaning_stable_inner_field,0.543550,0.152093,0.710549,0.858512,69,3,mapped,200,dio_104t,-,-,dio_mcm_episode_1hdpu9s,meaning_stable_inner_field,0.537261,0.162542,0.703565,0.841949,83,4,mapped,1,1,1,1,-0.006984,0.010449
SOL,SOL_2025_REC,3600,4000,rueckbindung_in_normale_weltspannung,normale_weltspannung->normale_weltspannung,0,3200-3600,3600-4000,4000-4400,400,dio_104t,-,-,dio_mcm_episode_1rxdw4p,meaning_stable_inner_field,0.543950,0.153455,0.709841,0.854605,120,4,mapped,400,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.541400,0.155929,0.707601,0.850493,135,4,mapped,400,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.543076,0.156731,0.706845,0.845009,136,4,mapped,0,1,1,1,-0.000756,0.000802
SOL,SOL_2025_REC,9600,9700,rueckbindung_in_normale_weltspannung,normale_weltspannung->normale_weltspannung,1,9500-9600,9600-9700,9700-9800,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.553098,0.155924,0.711838,0.846800,51,3,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.548502,0.155420,0.711172,0.849694,61,2,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.557594,0.149118,0.716209,0.854502,56,2,mapped,1,1,1,1,0.005037,-0.006302
SOL,SOL_2023_ALT_A_FOLLOW,8900,9000,rueckbindung_in_normale_weltspannung,normale_weltspannung->normale_weltspannung,1,8800-8900,8900-9000,9000-9100,100,dio_1gp2,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.541077,0.156245,0.704926,0.839213,70,3,mapped,100,dio_0h9h,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.541214,0.156499,0.705742,0.841656,63,3,mapped,100,dio_155c,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.531400,0.167017,0.697759,0.831280,68,4,mapped,1,1,0,0,-0.007983,0.010518
SOL,SOL_2025_REC,4700,4800,rueckbindung_in_normale_weltspannung,randlastige_sinneslage->normale_weltspannung,0,4600-4700,4700-4800,4800-4900,100,dio_155c,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.526179,0.161069,0.697740,0.836369,70,3,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.547881,0.152897,0.711264,0.854171,60,3,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.538135,0.162228,0.703827,0.841613,61,3,mapped,1,1,0,1,-0.007437,0.009331
BTC,BTC_2024_5M,5900,6000,rueckbindung_in_normale_weltspannung,lauter_feldkontakt->normale_weltspannung,0,5800-5900,5900-6000,6000-6100,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.521329,0.164281,0.698453,0.850244,53,3,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.546242,0.154096,0.711003,0.854845,52,3,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.535339,0.163302,0.702697,0.844169,61,3,mapped,1,1,1,1,-0.008306,0.009206
SOL,SOL_2025_REC,9400,9500,unklare_mikrophase,normale_weltspannung->offen_suchend,0,9300-9400,9400-9500,9500-9600,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.556352,0.150830,0.714820,0.852467,52,2,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.551166,0.157598,0.711172,0.845595,52,3,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.553098,0.155924,0.711838,0.846800,51,3,mapped,1,1,1,1,0.000666,-0.001674
SOL,SOL_2025_REC,5500,5600,unklare_mikrophase,normale_weltspannung->offen_suchend,1,5400-5500,5500-5600,5600-5700,100,dio_155c,-,-,dio_mcm_episode_1hdpu9s,meaning_stable_inner_field,0.550331,0.151414,0.712397,0.850530,55,3,mapped,100,dio_1pij,-,-,dio_mcm_episode_1hdpu9s,meaning_stable_inner_field,0.549179,0.157578,0.709387,0.845707,53,2,mapped,100,dio_104t,-,-,dio_mcm_episode_0gqol8d,meaning_stable_inner_field,0.554223,0.150209,0.714754,0.856701,53,3,mapped,1,0,0,0,0.005367,-0.007369
BTC,BTC_2024_5M,8400,8500,rueckbindung_in_normale_weltspannung,randlastige_sinneslage->normale_weltspannung,1,8300-8400,8400-8500,8500-8600,100,dio_104t,-,-,dio_mcm_episode_1jwnjz4,meaning_stable_inner_field,0.548582,0.157947,0.708689,0.842771,53,4,mapped,100,dio_0m9z,-,-,dio_mcm_episode_1jwnjz4,meaning_stable_inner_field,0.553164,0.151993,0.714251,0.857258,56,2,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.549334,0.153315,0.710110,0.845359,63,2,mapped,1,0,0,0,-0.004141,0.001322
SOL,SOL_2023_ALT_A_FOLLOW,4200,4400,rueckbindung_in_normale_weltspannung,randlastige_sinneslage->normale_weltspannung,0,4000-4200,4200-4400,4400-4600,200,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.543551,0.154263,0.708515,0.848252,92,3,mapped,200,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.549527,0.150198,0.714642,0.854314,72,4,mapped,200,dio_104t,-,-,dio_mcm_episode_1hdpu9s,meaning_stable_inner_field,0.544336,0.153581,0.710386,0.852995,89,4,mapped,1,0,1,1,-0.004256,0.003383
SOL,SOL_2025_REC,7300,7400,unklare_mikrophase,offen_suchend->offen_suchend,1,7200-7300,7300-7400,7400-7500,100,dio_1v2w,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.532459,0.165109,0.697375,0.827182,69,3,mapped,100,dio_155c,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.549371,0.156857,0.709336,0.844344,58,2,mapped,100,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.553921,0.151164,0.713508,0.849731,55,3,mapped,1,1,0,0,0.004172,-0.005693
SOL,SOL_2025_REC,400,500,rueckbindung_in_normale_weltspannung,offen_suchend->normale_weltspannung,1,300-400,400-500,500-600,100,dio_155c,-,-,dio_mcm_episode_1joiyc3,meaning_stable_inner_field,0.494553,0.161191,0.684601,0.838124,60,3,mapped,100,dio_155c,-,-,dio_mcm_episode_1joiyc3,meaning_stable_inner_field,0.505165,0.158089,0.691135,0.846887,54,3,mapped,100,dio_0h9h,-,-,dio_mcm_episode_1joiyc3,meaning_stable_inner_field,0.502068,0.160348,0.687907,0.839928,68,3,mapped,1,1,1,0,-0.003228,0.002259
BTC,BTC_2024_5M,7600,8000,rueckbindung_in_normale_weltspannung,normale_weltspannung->normale_weltspannung,0,7200-7600,7600-8000,8000-8400,400,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.550594,0.152705,0.711655,0.849192,134,3,mapped,400,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.548206,0.156760,0.710084,0.848686,132,3,mapped,400,dio_104t,-,-,dio_mcm_episode_1jwnjz4,meaning_stable_inner_field,0.550415,0.156282,0.710240,0.845977,137,4,mapped,1,0,1,1,0.000156,-0.000478
SOL,SOL_2023_ALT_A_FOLLOW,9000,9200,rueckbindung_in_normale_weltspannung,normale_weltspannung->normale_weltspannung,0,8800-9000,9000-9200,9200-9400,200,dio_00ly,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.541146,0.156372,0.705334,0.840434,111,3,mapped,200,dio_155c,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.534389,0.165644,0.699429,0.831653,106,4,mapped,200,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.538949,0.160849,0.702355,0.833039,112,4,mapped,1,1,0,0,0.002926,-0.004795
BTC,BTC_2024_5M,9200,9400,rueckbindung_in_normale_weltspannung,normale_weltspannung->normale_weltspannung,1,9000-9200,9200-9400,9400-9600,200,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.555695,0.149812,0.714245,0.850317,91,2,mapped,200,dio_104t,-,-,dio_mcm_episode_1jwnjz4,meaning_stable_inner_field,0.548767,0.156211,0.710396,0.848449,87,4,mapped,200,dio_104t,-,-,dio_mcm_episode_0e7qvj1,meaning_stable_inner_field,0.545948,0.156056,0.709647,0.850656,89,3,mapped,0,0,1,1,-0.000749,-0.000155
