followhold_kind,world,data_file,rand_start_tick,follow_role,follow_duration,after_role,delta_follow_rekopplung,delta_follow_strain,rand_loudness,rand_intake,rand_sharpness,rand_rekopplung,rand_strain,raw_rows,raw_return,range_ratio,body_ratio,direction_consistency,expansion_ratio,break_ratio,movement_class,raw_shape_bucket
offene_variante_entlastend_gehalten,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,59,offene_variante,11,rekopplungsnaehe,0.090698,-0.120872,0.78587,0.439866,0.568589,0.560666,0.310376,71,0.02069656,0.11784142,0.00527056,0.02857143,6.27370858,0.48528604,bewegungsbruch,starker_bruchimpuls
offene_variante_entlastend_gehalten,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,79,offene_variante,1,rekopplungsnaehe,0.087996,-0.107776,0.582993,0.331604,0.610257,0.602657,0.253447,71,-0.03421947,0.10519392,0.00480409,0.08571429,6.14640029,0.44953546,bewegungsbruch,starker_bruchimpuls
offene_variante_entlastend_gehalten,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,97,offene_variante,6,rekopplungsnaehe,0.099577,-0.133312,0.777493,0.441822,0.633974,0.563228,0.308846,71,0.02062591,0.06379105,0.00405108,0.14285714,4.42183732,0.41793653,bewegungsbruch,starker_bruchimpuls
offene_variante_entlastend_gehalten,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,166,offene_variante,1,zentrum_stabil,0.090774,-0.084981,0.631131,0.361742,0.52242,0.596312,0.261408,71,0.06626859,0.09332904,0.00361027,0.14285714,4.09179006,0.47872836,bewegungsbruch,starker_bruchimpuls
offene_variante_entlastend_gehalten,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,204,offene_variante,4,rekopplungsnaehe,0.08997,-0.107271,0.82241,0.473386,0.537599,0.574448,0.29036,71,0.06769285,0.10919891,0.00624481,0.0,5.68755275,0.48405119,bewegungsbruch,starker_bruchimpuls
offene_variante_entlastend_gehalten,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,213,offene_variante,2,rekopplungsnaehe,0.089073,-0.118261,0.66422,0.38514,0.394061,0.564307,0.301973,71,0.05089913,0.09871017,0.00622008,0.08571429,5.56752709,0.47130973,bewegungsbruch,starker_bruchimpuls
offene_variante_entlastend_gehalten,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,236,offene_variante,9,rekopplungsnaehe,0.053067,-0.07455,0.523155,0.284235,0.400001,0.606908,0.250081,71,-0.01547596,0.09971315,0.00637935,0.11428571,5.2650676,0.48793049,bewegungsbruch,starker_bruchimpuls
offene_variante_entlastend_gehalten,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,254,offene_variante,3,rekopplungsnaehe,0.032732,-0.053227,0.541291,0.312928,0.44819,0.600078,0.25952,71,-0.06809466,0.16262996,0.00635184,0.14285714,3.58399075,0.47639036,bewegungsbruch,bewegungsbruch
offene_variante_entlastend_gehalten,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,286,offene_variante,3,zentrum_stabil,0.087858,-0.109937,0.687176,0.383606,0.543047,0.573986,0.292529,71,-0.06975036,0.16160668,0.00491716,0.02857143,4.78107312,0.4950824,bewegungsbruch,starker_bruchimpuls
offene_variante_entlastend_gehalten,BTC_1H_2K,kontrolliert_btc_2024_1h_test1_2000_BTCUSDT.csv,350,offene_variante,9,zentrum_stabil,0.10054,-0.124025,0.633634,0.355425,0.436548,0.576463,0.288708,71,0.00754796,0.04348833,0.00324933,0.05714286,3.20800662,0.49316454,bewegungsbruch,bewegungsbruch
