world,scale,block_index,base_sequence,raw_class,price_move_pct,avg_abs_body_pct,avg_range_pct,avg_volume,avg_auditory,avg_visual_sharpness,avg_field_pressure,avg_form_flow,avg_energy_shift,passive_only,influences_action
SOL_2023_NEG,100,1,ruhig_zentrumsnah->ruhig_zentrumsnah,gemischte_rohwelt,0.206016,0.090457,0.185849,5757.2604,0.384065,0.686668,0.098192,0.006306,0.000536,1,0
SOL_2023_NEG,100,19,normale_weltspannung->ruhig_zentrumsnah,gemischte_rohwelt,1.283317,0.110856,0.217272,5415.6847,0.336019,0.675689,0.087294,0.025221,-0.004162,1,0
SOL_2023_NEG,100,20,ruhig_zentrumsnah->lauter_feldkontakt,gemischte_rohwelt,1.072125,0.11696,0.247424,7015.5899,0.470049,0.680752,0.116286,0.025938,0.003216,1,0
SOL_2023_NEG,100,41,randlastige_sinneslage->lauter_feldkontakt,gemischte_rohwelt,0.042391,0.15864,0.261592,9130.4326,0.486721,0.652964,0.119205,0.006154,0.003695,1,0
SOL_2023_NEG,100,56,normale_weltspannung->ruhig_zentrumsnah,gemischte_rohwelt,0.882724,0.133288,0.274068,11238.4538,0.361999,0.68152,0.092296,0.00983,0.003211,1,0
SOL_2023_NEG,100,62,normale_weltspannung->ruhig_zentrumsnah,gemischte_rohwelt,1.151461,0.110277,0.236862,8589.3895,0.400413,0.696075,0.101618,0.021894,0.008233,1,0
SOL_2023_NEG,100,68,normale_weltspannung->leise_duenn,gemischte_rohwelt,1.992754,0.164826,0.314408,7555.373,0.353351,0.651096,0.091157,0.040736,0.000127,1,0
SOL_2023_NEG,100,69,leise_duenn->offen_suchend,gemischte_rohwelt,-2.619893,0.193558,0.353958,9672.2038,0.41254,0.658665,0.104361,-0.056968,-0.000366,1,0
SOL_2023_NEG,100,72,normale_weltspannung->ruhig_zentrumsnah,gemischte_rohwelt,-1.6,0.142542,0.266285,7851.8717,0.367183,0.67981,0.093619,-0.027089,0.008274,1,0
SOL_2023_NEG,100,74,normale_weltspannung->ruhig_zentrumsnah,gemischte_rohwelt,-0.682128,0.133412,0.302159,8910.7598,0.34152,0.660339,0.088158,-0.021857,-0.002567,1,0
SOL_2023_NEG,100,76,offen_suchend->ruhig_zentrumsnah,gemischte_rohwelt,1.879518,0.115601,0.255831,8503.1546,0.368146,0.683569,0.093879,0.043183,-0.003763,1,0
SOL_2023_NEG,100,78,normale_weltspannung->ruhig_zentrumsnah,gemischte_rohwelt,0.282087,0.100126,0.240962,5603.889,0.401375,0.697142,0.101344,0.009699,-0.004852,1,0
SOL_2023_NEG,100,79,ruhig_zentrumsnah->ruhig_zentrumsnah,gemischte_rohwelt,-0.797,0.078298,0.182034,4411.7528,0.389209,0.695247,0.099155,-0.020137,-0.00204,1,0
SOL_2023_NEG,100,83,normale_weltspannung->ruhig_zentrumsnah,gemischte_rohwelt,0.330189,0.100002,0.23871,4240.4221,0.380821,0.697305,0.095512,0.006131,-0.000162,1,0
SOL_2023_NEG,100,84,ruhig_zentrumsnah->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,-2.634055,0.169262,0.343368,10386.9363,0.501632,0.652024,0.123736,-0.058545,-0.001779,1,0
SOL_2024_SIDE,100,37,normale_weltspannung->ruhig_zentrumsnah,gemischte_rohwelt,-0.612501,0.089343,0.171167,3619.86028,0.389349,0.675853,0.099408,-0.015176,-0.007107,1,0
SOL_2024_SIDE,100,63,normale_weltspannung->ruhig_zentrumsnah,gemischte_rohwelt,-0.878319,0.11024,0.201879,5470.5206,0.359907,0.681932,0.091569,-0.018876,0.004552,1,0
SOL_2024_SIDE,100,64,ruhig_zentrumsnah->lauter_feldkontakt,gemischte_rohwelt,-2.283572,0.108619,0.207941,7859.58391,0.489045,0.672599,0.118297,-0.068441,-0.00253,1,0
SOL_2024_SIDE,100,80,normale_weltspannung->ruhig_zentrumsnah,gemischte_rohwelt,0.615521,0.090681,0.175433,4462.66053,0.375975,0.668675,0.095091,0.013833,0.000855,1,0
SOL_2024_SIDE,100,83,normale_weltspannung->ruhig_zentrumsnah,gemischte_rohwelt,0.638896,0.092514,0.181591,4598.88202,0.387906,0.684415,0.098228,0.012946,0.007319,1,0
SOL_2024_SIDE,100,96,offen_suchend->leise_duenn,gemischte_rohwelt,-1.090138,0.259745,0.559286,18214.1797,0.343494,0.6131,0.092363,-0.007426,-0.00055,1,0
