world,source,start_tick,end_tick,passive_role_near,rekopplung_level,carry_level,strain_level,sensory_level,visual_gap_level,hearing_gap_level,sensory_delta,rekopplung_delta,strain_delta_next,rekopplung_delta_next,preview_carry_next,preview,family,effect_class,passive_only,influences_action,raw_form,drift_pct,abs_drift_pct,avg_abs_return_pct,avg_range_pct,max_range_pct,volume_change_pct,direction_change_ratio,direction_persistence,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,perception_adapted_field_intake_pressure,mcm_feldwirkung_mcm_tension,tonale_unterform,visuelle_unterform,bewegungs_unterform,feldkontakt_unterform,mischlinien_signature,is_reference_target,signature_seen_in_reference,signature_strong_in_reference,reference_signature_count,reference_families,reference_previews,same_family_as_reference,same_preview_as_reference,semantic_binding
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1,100,randdrucknaehe,low,low,high,high,low,high,0.0,0.0,-0.012516,0.017164,0,dio_mcm_episode_1joiyc3,dio_104t,stabil,1,0,gemischte_rohwelt,0.275914,0.275914,0.066563,0.112838,0.49111,-84.901149,0.5,0.5,0.031752,-0.000753,-0.029108,-0.010312,0.113772,0.113772,leise+ruhiger_ton,stabile_form,mittlere_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|mittlere_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_0l7p,dio_mcm_episode_1jwnjz4,0,0,none
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,501,600,brueckennaehe,mid,mid,mid,mid,mid,low,0.005534,0.009359,-0.003923,0.005838,1,dio_mcm_episode_1joiyc3,dio_155c,stabil,1,0,laute_oder_druckvolle_rohwelt,0.550952,0.550952,0.126643,0.230311,0.562337,-68.282923,0.642857,0.357143,0.009807,0.002162,-0.007953,-0.004132,0.103812,0.103812,mittlerer_ton+ruhiger_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,mittlerer_ton+ruhiger_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_104t,dio_mcm_episode_0e7qvj1,0,0,none
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1901,1994,zentrumsnaehe,high,high,low,high,low,high,-0.006558,-0.003627,0.0,0.0,0,dio_mcm_episode_0e7qvj1,dio_104t,stabil,1,0,wechselhafte_rohwelt,-0.415685,0.415685,0.074422,0.138652,0.562899,86.335974,0.554348,0.445652,0.048120,0.000840,-0.012441,-0.005161,0.105312,0.105312,leise+ruhiger_ton,stabile_form,mittlere_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|mittlere_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_0l7p,dio_mcm_episode_1jwnjz4,0,0,none
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1,100,randdrucknaehe,low,low,high,high,low,mid,0.0,0.0,-0.000617,0.007151,1,dio_mcm_episode_1joiyc3,dio_155c,stabil,1,0,laute_oder_druckvolle_rohwelt,0.37142,0.37142,0.215084,0.435518,1.402498,-85.652939,0.489796,0.510204,0.010741,0.000570,-0.027669,-0.008303,0.108434,0.108434,leise+ruhiger_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,1,2,dio_104t|dio_155c,dio_mcm_episode_0e7qvj1,1,0,family
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,201,300,brueckennaehe,low,low,mid,high,low,mid,0.006915,0.010147,-0.004096,0.00239,1,dio_mcm_episode_1joiyc3,dio_0m9z,stabil,1,0,laute_oder_druckvolle_rohwelt,3.347046,3.347046,0.19427,0.403819,1.320789,504.984335,0.489796,0.510204,0.027097,0.012380,0.004441,0.006112,0.107682,0.107682,laut+starker_tonwechsel,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,laut+starker_tonwechsel|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_104t,dio_mcm_episode_0e7qvj1,0,0,none
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,501,600,brueckennaehe,mid,mid,low,high,low,low,0.009406,0.013683,-0.003218,0.004441,1,dio_mcm_episode_1joiyc3,dio_104t,stabil,1,0,laute_oder_druckvolle_rohwelt,0.614011,0.614011,0.261833,0.508049,1.348963,-87.178517,0.489796,0.510204,0.040985,0.007842,-0.016068,-0.007792,0.101652,0.101652,leise+ruhiger_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,1,2,dio_104t|dio_155c,dio_mcm_episode_0e7qvj1,1,0,family
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,901,1000,brueckennaehe,mid,mid,low,mid,mid,low,0.007017,0.008932,0.001067,-0.00457,1,dio_mcm_episode_1joiyc3,dio_06s7,stabil,1,0,laute_oder_druckvolle_rohwelt,-3.696038,3.696038,0.258682,0.521078,1.293955,-21.896747,0.479592,0.520408,0.046687,-0.006416,-0.004947,-0.001004,0.104170,0.104170,mittlerer_ton+ruhiger_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,mittlerer_ton+ruhiger_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_104t,dio_mcm_episode_0e7qvj1,0,0,none
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1201,1300,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,mid,low,mid,0.008887,0.005847,0.006007,-0.005709,1,dio_mcm_episode_0e7qvj1,dio_0l7p,stabil,1,0,laute_oder_druckvolle_rohwelt,-1.541197,1.541197,0.242996,0.500327,1.528319,8.863252,0.520408,0.479592,0.025361,0.008363,-0.001254,0.004285,0.106886,0.106886,laut+starker_tonwechsel,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,laut+starker_tonwechsel|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_104t,dio_mcm_episode_0e7qvj1,0,1,preview
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1401,1500,mischrolle_brueckennaehe_zentrumsnaehe,high,high,low,high,low,mid,0.013196,0.007806,0.001047,-0.004042,1,dio_mcm_episode_0e7qvj1,dio_0h9h,stabil,1,0,laute_oder_druckvolle_rohwelt,-1.487854,1.487854,0.219562,0.446395,1.214372,43.335231,0.459184,0.540816,0.042483,-0.002613,0.000060,0.005477,0.111424,0.111424,laut+starker_tonwechsel,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,laut+starker_tonwechsel|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,0,1,dio_104t,dio_mcm_episode_0e7qvj1,0,1,preview
SOL_2024_5M,debug\adapted_field_sol_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1801,1900,brueckennaehe,high,high,mid,mid,mid,high,0.00795,0.008805,-0.003795,0.000297,1,dio_mcm_episode_0e7qvj1,dio_0m9z,stabil,1,0,laute_oder_druckvolle_rohwelt,2.246354,2.246354,0.234237,0.466993,1.129049,-32.486427,0.571429,0.428571,0.014529,0.000645,-0.011956,-0.002798,0.110964,0.110964,leise+ruhiger_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung,0,1,1,2,dio_104t|dio_155c,dio_mcm_episode_0e7qvj1,0,1,preview
