axis,source_state,target_state,source_role,target_role,edge_count,weighted_edges,source_node_count,target_node_count,avg_rekopplung_delta_weighted,avg_strain_delta_weighted,examples,rank
fragment_belastet->fragment_belastet,netz_fragmentiert_belastet,netz_fragmentiert_belastet,fragment_belastet,fragment_belastet,23,70,13,9,0.010624628571428572,-0.013116257142857144,0e7qvj1->18l3thm:6 | 0e7qvj1->0mji3u6:6 | 0e7qvj1->14coypf:6 | 18l3thm->0e7qvj1:6,1
offen->fragment_belastet,netz_offen_verbunden,netz_fragmentiert_belastet,offen,fragment_belastet,20,41,18,8,-0.007515804878048779,0.009681756097560973,1jwnjz4->0e7qvj1:4 | 1jwnjz4->14coypf:2 | 14l8khu->14coypf:4 | 1q3us3f->0e7qvj1:4,2
rekoppelnd->rekoppelnd,netz_rekoppelnd_verbunden,netz_rekoppelnd_verbunden,rekoppelnd,rekoppelnd,25,37,19,16,-1.6189189189192063e-05,0.002444972972972972,0om13wf->0y1i8dq:4 | 0om13wf->0ybhu2p:2 | 0om13wf->1i31hl0:2 | 0om13wf->0qhs6nb:1,3
offen->offen,netz_offen_verbunden,netz_offen_verbunden,offen,offen,15,31,10,9,0.0007346451612903234,-0.0006150967741935491,14l8khu->0v5p8er:4 | 14l8khu->1q3us3f:1 | 0v5p8er->14l8khu:4 | 0v5p8er->1ds636q:2,4
fragment_belastet->offen,netz_fragmentiert_belastet,netz_offen_verbunden,fragment_belastet,offen,10,21,7,9,0.033211666666666674,-0.046731380952380955,0e7qvj1->1jwnjz4:4 | 18l3thm->1q3us3f:2 | 0mji3u6->0d40zcv:1 | 14coypf->14l8khu:4,5
drift_getragen->zentrum_anschluss,netz_driftend_getragen,netz_zentrum_mit_anschluss,drift_getragen,zentrum_anschluss,8,18,5,4,-0.007493222222222222,0.012246499999999999,0ybr5e3->0ykar6i:2 | 0ybr5e3->0b7nep9:2 | 0qzjuvj->0hjnwsk:4 | 0lne9ax->0l3i7ey:4,6
offen->rekoppelnd,netz_offen_verbunden,netz_rekoppelnd_verbunden,offen,rekoppelnd,11,16,7,8,0.068236125,-0.002785500000000001,0ultars->00yl137:4 | 0ultars->0om13wf:2 | 0ultars->00dz86x:1 | 0mvjoir->0qhiq5e:1,7
fragment_belastet->zentrum_anschluss,netz_fragmentiert_belastet,netz_zentrum_mit_anschluss,fragment_belastet,zentrum_anschluss,7,16,7,5,0.060963250000000004,-0.02064775,0e7qvj1->1hdpu9s:4 | 18n06fj->0hjnwsk:3 | 0jbl5pq->0l3i7ey:4 | 0geqqo3->0ykar6i:2,8
rekoppelnd->offen,netz_rekoppelnd_verbunden,netz_offen_verbunden,rekoppelnd,offen,10,15,8,6,-0.06796866666666666,0.0005014000000000003,0om13wf->0ultars:2 | 00yl137->0ultars:4 | 00yl137->00er6t0:1 | 00yl137->00oqshz:1,9
zentrum_anschluss->drift_getragen,netz_zentrum_mit_anschluss,netz_driftend_getragen,zentrum_anschluss,drift_getragen,6,15,4,5,0.0062192666666666665,-0.009123,0b7nep9->0ybr5e3:2 | 0ykar6i->0ybr5e3:2 | 0ykar6i->1pmt8u2:1 | 0hjnwsk->0qzjuvj:4,10
zentrum_anschluss->fragment_belastet,netz_zentrum_mit_anschluss,netz_fragmentiert_belastet,zentrum_anschluss,fragment_belastet,5,14,4,5,-0.059898285714285716,0.01446207142857143,1hdpu9s->0e7qvj1:4 | 0ykar6i->0geqqo3:2 | 0ykar6i->1qqnvqf:1 | 0hjnwsk->18n06fj:3,11
rekoppelnd->zentrum_anschluss,netz_rekoppelnd_verbunden,netz_zentrum_mit_anschluss,rekoppelnd,zentrum_anschluss,7,13,7,3,-0.01828330769230769,0.01901876923076923,1eju9g0->0b7nep9:2 | 0w4x7xs->0b7nep9:2 | 0i7gfxw->0hjnwsk:3 | 00nzcuc->0b7nep9:1,12
drift_getragen->fragment_belastet,netz_driftend_getragen,netz_fragmentiert_belastet,drift_getragen,fragment_belastet,5,12,5,2,-0.054731166666666664,0.02377,0z748ck->0e7qvj1:2 | 0qzjuvj->0jbl5pq:4 | 0lne9ax->0jbl5pq:2 | 0aztxel->0jbl5pq:2,13
zentrum_anschluss->rekoppelnd,netz_zentrum_mit_anschluss,netz_rekoppelnd_verbunden,zentrum_anschluss,rekoppelnd,5,11,3,5,0.01678,-0.016670636363636363,0b7nep9->1eju9g0:2 | 0b7nep9->0w4x7xs:2 | 0hjnwsk->0i7gfxw:3 | 0hjnwsk->0htnihj:2,14
zentrum_anschluss->zentrum_anschluss,netz_zentrum_mit_anschluss,netz_zentrum_mit_anschluss,zentrum_anschluss,zentrum_anschluss,3,9,3,2,-0.004566777777777777,0.0014363333333333333,0b7nep9->0ykar6i:4 | 0ykar6i->0b7nep9:4 | 17c7qwp->0b7nep9:1,15
fragment_belastet->drift_getragen,netz_fragmentiert_belastet,netz_driftend_getragen,fragment_belastet,drift_getragen,3,8,1,3,0.01728,-0.021410500000000002,0jbl5pq->0qzjuvj:4 | 0jbl5pq->0lne9ax:2 | 0jbl5pq->0aztxel:2,16
drift_getragen->rekoppelnd,netz_driftend_getragen,netz_rekoppelnd_verbunden,drift_getragen,rekoppelnd,5,7,5,3,0.009686714285714286,-0.0016792857142857137,0qzjuvj->080f74u:2 | 0aztxel->0om13wf:1 | 1k0rrn2->1al8fjz:2 | 1y2gc2i->1al8fjz:1,17
offen->zentrum_anschluss,netz_offen_verbunden,netz_zentrum_mit_anschluss,offen,zentrum_anschluss,4,7,4,2,0.05053157142857143,-0.059105142857142856,0ldht3x->0l3i7ey:2 | 01s42m6->0b7nep9:2 | 0li6lg1->0b7nep9:1 | 0apubpm->0l3i7ey:2,18
rekoppelnd->drift_getragen,netz_rekoppelnd_verbunden,netz_driftend_getragen,rekoppelnd,drift_getragen,4,6,2,4,-0.0024601666666666665,0.0043335,1al8fjz->1k0rrn2:2 | 1al8fjz->1y2gc2i:1 | 1al8fjz->0393v08:1 | 080f74u->0qzjuvj:2,19
rekoppelnd->fragment_belastet,netz_rekoppelnd_verbunden,netz_fragmentiert_belastet,rekoppelnd,fragment_belastet,4,6,4,3,-0.0348155,0.022620166666666663,1al8fjz->0dsrwv5:1 | 0sv0ru8->0jbl5pq:2 | 1aurt3q->0jbl5pq:2 | 1n9f8vr->18l3thm:1,20
zentrum_anschluss->offen,netz_zentrum_mit_anschluss,netz_offen_verbunden,zentrum_anschluss,offen,3,6,2,3,-0.034811666666666664,0.04131566666666667,0b7nep9->01s42m6:2 | 0l3i7ey->0ldht3x:2 | 0l3i7ey->0apubpm:2,21
