world,block_index,base_sequence,adapted_lage,base_zentrum,base_rand,base_rekopplung,base_strain,adapted_zentrum,adapted_rand,adapted_rekopplung,adapted_strain
BTC_2024_5M_FULL,1,lauter_feldkontakt->normale_weltspannung,normale_weltspannung,0.74,0.0,0.713886,0.145999,0.74,0.0,0.714567,0.145069
BTC_2024_5M_FULL,2,normale_weltspannung->offen_suchend,offen_suchend,0.69,0.01,0.709383,0.15285,0.69,0.0,0.71014,0.15178
BTC_2024_5M_FULL,3,offen_suchend->offen_suchend,leise_duenn,0.67,0.0,0.709954,0.150813,0.67,0.0,0.711253,0.149069
BTC_2024_5M_FULL,4,offen_suchend->offen_suchend,offen_suchend,0.61,0.0,0.708533,0.152582,0.63,0.0,0.709566,0.151251
BTC_2024_5M_FULL,5,offen_suchend->normale_weltspannung,normale_weltspannung,0.73,0.0,0.709362,0.151912,0.74,0.0,0.710074,0.150977
BTC_2024_5M_FULL,6,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.76,0.01,0.712654,0.147692,0.76,0.01,0.713298,0.14682
BTC_2024_5M_FULL,7,normale_weltspannung->randlastige_sinneslage,offen_suchend,0.44,0.03,0.693263,0.172164,0.45,0.01,0.696151,0.168174
BTC_2024_5M_FULL,8,randlastige_sinneslage->offen_suchend,offen_suchend,0.66,0.01,0.704874,0.15837,0.67,0.01,0.706568,0.155975
BTC_2024_5M_FULL,9,offen_suchend->offen_suchend,offen_suchend,0.66,0.0,0.709374,0.151746,0.69,0.0,0.71098,0.149539
BTC_2024_5M_FULL,10,offen_suchend->offen_suchend,offen_suchend,0.64,0.0,0.707944,0.153706,0.64,0.0,0.709244,0.151946
BTC_2024_5M_FULL,11,offen_suchend->randlastige_sinneslage,randlastige_sinneslage,0.58,0.03,0.701711,0.162644,0.59,0.02,0.703857,0.159624
BTC_2024_5M_FULL,12,randlastige_sinneslage->randlastige_sinneslage,offen_suchend,0.69,0.02,0.709408,0.151726,0.69,0.01,0.710501,0.150219
BTC_2024_5M_FULL,13,randlastige_sinneslage->offen_suchend,offen_suchend,0.6,0.0,0.706193,0.156301,0.62,0.0,0.707735,0.154191
BTC_2024_5M_FULL,14,offen_suchend->randlastige_sinneslage,normale_weltspannung,0.74,0.02,0.711057,0.150282,0.74,0.01,0.712044,0.14893
BTC_2024_5M_FULL,15,randlastige_sinneslage->ruhig_zentrumsnah,ruhig_zentrumsnah,0.83,0.0,0.715649,0.143794,0.84,0.0,0.716251,0.142965
BTC_2024_5M_FULL,16,ruhig_zentrumsnah->normale_weltspannung,normale_weltspannung,0.74,0.0,0.711294,0.149841,0.75,0.0,0.712574,0.148025
BTC_2024_5M_FULL,17,normale_weltspannung->lauter_feldkontakt,normale_weltspannung,0.73,0.01,0.709759,0.151911,0.73,0.0,0.710944,0.150202
BTC_2024_5M_FULL,18,lauter_feldkontakt->normale_weltspannung,ruhig_zentrumsnah,0.79,0.0,0.714605,0.145293,0.79,0.0,0.715318,0.144258
BTC_2024_5M_FULL,19,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.72,0.01,0.710963,0.150444,0.73,0.0,0.711911,0.149117
BTC_2024_5M_FULL,20,normale_weltspannung->offen_suchend,normale_weltspannung,0.71,0.01,0.708989,0.152365,0.71,0.01,0.709655,0.151492
BTC_2024_5M_FULL,21,offen_suchend->offen_suchend,offen_suchend,0.65,0.0,0.708167,0.153985,0.66,0.0,0.709324,0.152384
BTC_2024_5M_FULL,22,offen_suchend->lauter_feldkontakt,offen_suchend,0.55,0.01,0.703318,0.160066,0.56,0.0,0.705278,0.157397
BTC_2024_5M_FULL,23,lauter_feldkontakt->normale_weltspannung,leise_duenn,0.73,0.0,0.71149,0.148665,0.74,0.0,0.712048,0.147951
BTC_2024_5M_FULL,24,normale_weltspannung->offen_suchend,offen_suchend,0.64,0.01,0.708454,0.152944,0.64,0.01,0.709736,0.151206
BTC_2024_5M_FULL,25,offen_suchend->randlastige_sinneslage,randlastige_sinneslage,0.72,0.02,0.708777,0.151441,0.72,0.02,0.709788,0.150016
BTC_2024_5M_FULL,26,randlastige_sinneslage->normale_weltspannung,normale_weltspannung,0.76,0.0,0.71333,0.147184,0.76,0.0,0.71389,0.146434
BTC_2024_5M_FULL,27,normale_weltspannung->randlastige_sinneslage,offen_suchend,0.62,0.02,0.705751,0.155513,0.62,0.0,0.707118,0.153628
BTC_2024_5M_FULL,28,randlastige_sinneslage->randlastige_sinneslage,randlastige_sinneslage,0.47,0.04,0.69581,0.168314,0.47,0.02,0.698277,0.164929
BTC_2024_5M_FULL,29,randlastige_sinneslage->randlastige_sinneslage,normale_weltspannung,0.73,0.02,0.709485,0.151862,0.74,0.01,0.71059,0.150285
BTC_2024_5M_FULL,30,randlastige_sinneslage->offen_suchend,offen_suchend,0.53,0.01,0.702045,0.159603,0.53,0.0,0.703875,0.157265
BTC_2024_5M_FULL,31,offen_suchend->offen_suchend,leise_duenn,0.65,0.0,0.709491,0.15132,0.65,0.0,0.710601,0.149914
BTC_2024_5M_FULL,32,offen_suchend->offen_suchend,offen_suchend,0.67,0.0,0.710656,0.150331,0.67,0.0,0.711461,0.149298
BTC_2024_5M_FULL,33,offen_suchend->offen_suchend,offen_suchend,0.58,0.0,0.70528,0.155466,0.58,0.0,0.706846,0.153455
BTC_2024_5M_FULL,34,offen_suchend->offen_suchend,offen_suchend,0.58,0.01,0.704798,0.156953,0.58,0.01,0.70599,0.155431
BTC_2024_5M_FULL,35,offen_suchend->normale_weltspannung,normale_weltspannung,0.71,0.01,0.711187,0.149629,0.71,0.0,0.711802,0.14879
BTC_2024_5M_FULL,36,normale_weltspannung->leise_duenn,leise_duenn,0.73,0.01,0.710901,0.149138,0.74,0.01,0.711953,0.147731
BTC_2024_5M_FULL,37,leise_duenn->ruhig_zentrumsnah,ruhig_zentrumsnah,0.89,0.0,0.716076,0.143111,0.89,0.0,0.71648,0.142552
BTC_2024_5M_FULL,38,ruhig_zentrumsnah->normale_weltspannung,normale_weltspannung,0.79,0.0,0.712007,0.149138,0.8,0.0,0.712675,0.148208
BTC_2024_5M_FULL,39,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.73,0.01,0.709207,0.152003,0.75,0.01,0.710455,0.150262
BTC_2024_5M_FULL,40,normale_weltspannung->offen_suchend,offen_suchend,0.65,0.0,0.710047,0.151057,0.66,0.0,0.711012,0.149793
BTC_2024_5M_FULL,41,offen_suchend->normale_weltspannung,ruhig_zentrumsnah,0.81,0.0,0.71369,0.145681,0.81,0.0,0.714333,0.14481
BTC_2024_5M_FULL,42,normale_weltspannung->offen_suchend,normale_weltspannung,0.69,0.0,0.710116,0.151494,0.71,0.0,0.711042,0.15024
BTC_2024_5M_FULL,43,offen_suchend->ruhig_zentrumsnah,ruhig_zentrumsnah,0.85,0.0,0.71518,0.144472,0.85,0.0,0.715698,0.143765
BTC_2024_5M_FULL,44,ruhig_zentrumsnah->randlastige_sinneslage,normale_weltspannung,0.74,0.02,0.710541,0.150697,0.76,0.0,0.711815,0.148903
BTC_2024_5M_FULL,45,randlastige_sinneslage->offen_suchend,leise_duenn,0.69,0.0,0.710974,0.149389,0.69,0.0,0.711711,0.148454
BTC_2024_5M_FULL,46,offen_suchend->ruhig_zentrumsnah,ruhig_zentrumsnah,0.85,0.0,0.715629,0.144102,0.87,0.0,0.716289,0.143155
BTC_2024_5M_FULL,47,ruhig_zentrumsnah->leise_duenn,leise_scharf_duenn,0.75,0.01,0.712979,0.146837,0.75,0.0,0.713918,0.14552
BTC_2024_5M_FULL,48,leise_duenn->normale_weltspannung,leise_duenn,0.77,0.0,0.713782,0.146008,0.77,0.0,0.71447,0.145055
BTC_2024_5M_FULL,49,normale_weltspannung->ruhig_zentrumsnah,ruhig_zentrumsnah,0.81,0.0,0.715405,0.144295,0.84,0.0,0.716246,0.14309
BTC_2024_5M_FULL,50,ruhig_zentrumsnah->normale_weltspannung,normale_weltspannung,0.74,0.01,0.713388,0.147212,0.74,0.0,0.713984,0.146393
BTC_2024_5M_FULL,51,normale_weltspannung->offen_suchend,offen_suchend,0.56,0.01,0.70422,0.158133,0.56,0.0,0.705645,0.156272
BTC_2024_5M_FULL,52,offen_suchend->normale_weltspannung,ruhig_zentrumsnah,0.81,0.0,0.714873,0.145386,0.82,0.0,0.715307,0.144754
BTC_2024_5M_FULL,53,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.76,0.0,0.712139,0.148181,0.77,0.0,0.71301,0.147005
BTC_2024_5M_FULL,54,normale_weltspannung->offen_suchend,normale_weltspannung,0.68,0.0,0.708962,0.152543,0.7,0.0,0.710109,0.151008
BTC_2024_5M_FULL,55,offen_suchend->ruhig_zentrumsnah,ruhig_zentrumsnah,0.83,0.0,0.716389,0.142878,0.83,0.0,0.716813,0.14227
BTC_2024_5M_FULL,56,ruhig_zentrumsnah->normale_weltspannung,normale_weltspannung,0.72,0.0,0.712277,0.148118,0.75,0.0,0.713218,0.146788
BTC_2024_5M_FULL,57,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.81,0.0,0.712766,0.147486,0.81,0.0,0.713639,0.146235
BTC_2024_5M_FULL,58,normale_weltspannung->lauter_feldkontakt,lauter_feldkontakt,0.7,0.0,0.708834,0.153242,0.71,0.0,0.7103,0.151138
BTC_2024_5M_FULL,59,lauter_feldkontakt->normale_weltspannung,normale_weltspannung,0.85,0.0,0.713265,0.147044,0.87,0.0,0.713787,0.146292
BTC_2024_5M_FULL,60,normale_weltspannung->lauter_feldkontakt,lauter_feldkontakt,0.67,0.01,0.708097,0.154989,0.67,0.0,0.709175,0.153469
BTC_2024_5M_FULL,61,lauter_feldkontakt->offen_suchend,offen_suchend,0.69,0.0,0.708894,0.152886,0.69,0.0,0.709854,0.151623
BTC_2024_5M_FULL,62,offen_suchend->offen_suchend,offen_suchend,0.55,0.0,0.704719,0.158128,0.55,0.0,0.706413,0.155786
BTC_2024_5M_FULL,63,offen_suchend->leise_duenn,leise_duenn,0.71,0.0,0.711774,0.148371,0.71,0.0,0.712653,0.147278
BTC_2024_5M_FULL,64,leise_duenn->leise_duenn,leise_duenn,0.7,0.0,0.710192,0.149742,0.7,0.0,0.711199,0.148482
BTC_2024_5M_FULL,65,leise_duenn->offen_suchend,offen_suchend,0.63,0.0,0.707001,0.154885,0.64,0.0,0.708217,0.153287
BTC_2024_5M_FULL,66,offen_suchend->offen_suchend,normale_weltspannung,0.69,0.01,0.711116,0.150108,0.7,0.0,0.712131,0.148734
