world,source,start_tick,end_tick,preview,family,preview_carry_next,drift_pct,abs_drift_pct,avg_abs_return_pct,avg_range_pct,max_range_pct,direction_change_ratio,direction_persistence,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,rezeptor_visual_form_salience,rezeptor_visual_memory_recall,rezeptor_auditory_stimulation,rezeptor_direct_contact_pressure,rezeptor_field_intake_pressure,perception_focus_strength,perception_distance_need,perception_auditory_loudness,perception_auditory_softening,perception_visual_sharpness,perception_visual_blur,perception_felt_pressure,perception_felt_relaxation,perception_adapted_field_intake_pressure,perception_regulation_damping,mcm_feldwirkung_mcm_coherence,mcm_feldwirkung_mcm_tension,mcm_feldwirkung_mcm_asymmetry,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry,tonale_unterform,visuelle_unterform,bewegungs_unterform,feldkontakt_unterform,mischlinien_signature
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1401,1500,dio_mcm_episode_0e7qvj1,dio_155c,1,0.181286,0.181286,0.092202,0.18446,1.329313,0.5,0.5,0.004582,0.051037,-0.000530,-0.020518,-0.002749,0.257914,0.000000,0.201890,0.000000,0.102197,0.645136,0.170794,0.201890,0.201942,0.671662,0.328338,0.108012,0.805489,0.102197,0.129572,0.631692,0.102197,-0.002172,0.631692,0.102197,-0.002172,leise+ruhiger_ton,stabile_form,weite_range+viel_wechsel+geringe_persistenz,starke_aufnahme+hohe_feldspannung,leise+ruhiger_ton|stabile_form|weite_range+viel_wechsel+geringe_persistenz|starke_aufnahme+hohe_feldspannung
BTC_2024_5M,debug\adapted_field_btc_2024_5m_2k\dio_mini_lauf_2\episodes.csv,1501,1600,dio_mcm_episode_0e7qvj1,dio_104t,1,-0.421703,0.421703,0.068217,0.129267,0.392298,0.5,0.5,-0.019248,0.028568,0.002293,-0.004154,0.001806,0.226182,0.000000,0.187076,0.000000,0.095560,0.644582,0.160892,0.187076,0.191775,0.691120,0.308880,0.101159,0.812348,0.095560,0.125425,0.632413,0.095560,-0.007462,0.632413,0.095560,-0.007462,mittlerer_ton+bewegter_ton,stabile_form,mittlere_range+viel_wechsel+geringe_persistenz,mittlere_aufnahme+mittlere_feldspannung,mittlerer_ton+bewegter_ton|stabile_form|mittlere_range+viel_wechsel+geringe_persistenz|mittlere_aufnahme+mittlere_feldspannung
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,3401,3500,dio_mcm_episode_0ykar6i,dio_104t,1,-0.24667,0.24667,0.050442,0.114238,0.49505,0.27551,0.72449,-0.014961,-0.052010,0.000725,-0.017776,-0.001861,0.270639,0.000000,0.153796,0.000000,0.084505,0.644377,0.162546,0.153796,0.170053,0.649897,0.350103,0.096235,0.804041,0.084505,0.125915,0.607280,0.084505,-0.009078,0.607280,0.084505,-0.009078,leise+ruhiger_ton,bewegte_form,mittlere_range+wenig_wechsel+hohe_persistenz,gedaempfte_aufnahme+geringe_feldspannung,leise+ruhiger_ton|bewegte_form|mittlere_range+wenig_wechsel+hohe_persistenz|gedaempfte_aufnahme+geringe_feldspannung
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,3501,3600,dio_mcm_episode_0ykar6i,dio_14wj,1,0.049456,0.049456,0.029476,0.077651,0.247158,0.183673,0.816327,0.005903,-0.010415,-0.002573,0.007115,0.003979,0.229145,0.000000,0.157238,0.000000,0.085790,0.644640,0.153967,0.157238,0.164754,0.682504,0.317496,0.094316,0.812647,0.085790,0.121643,0.624368,0.085790,0.003809,0.624368,0.085790,0.003809,laut+starker_tonwechsel,bewegte_form,enge_range+wenig_wechsel+hohe_persistenz,gedaempfte_aufnahme+geringe_feldspannung,laut+starker_tonwechsel|bewegte_form|enge_range+wenig_wechsel+hohe_persistenz|gedaempfte_aufnahme+geringe_feldspannung
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4501,4600,dio_mcm_episode_0ybr5e3,dio_14wj,1,-0.345679,0.345679,0.053427,0.10436,0.345508,0.316327,0.683673,-0.010973,-0.026019,-0.007443,-0.008904,-0.000830,0.281738,0.000000,0.158645,0.000000,0.086814,0.643245,0.167803,0.158645,0.175078,0.647356,0.352644,0.100085,0.798846,0.086814,0.127356,0.602209,0.086814,-0.007634,0.602209,0.086814,-0.007634,leise+ruhiger_ton,bewegte_form,enge_range+wenig_wechsel+hohe_persistenz,gedaempfte_aufnahme+geringe_feldspannung,leise+ruhiger_ton|bewegte_form|enge_range+wenig_wechsel+hohe_persistenz|gedaempfte_aufnahme+geringe_feldspannung
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,4801,4900,dio_mcm_episode_0ybr5e3,dio_14wj,1,0.149701,0.149701,0.040816,0.091291,0.348432,0.255102,0.744898,0.006337,-0.009340,0.002999,-0.004633,0.000415,0.248465,0.000000,0.163565,0.000000,0.088244,0.646298,0.158516,0.163565,0.173186,0.670889,0.329111,0.096657,0.810613,0.088244,0.124281,0.625378,0.088244,0.002544,0.625378,0.088244,0.002544,mittlerer_ton+bewegter_ton,bewegte_form,enge_range+wenig_wechsel+hohe_persistenz,gedaempfte_aufnahme+geringe_feldspannung,mittlerer_ton+bewegter_ton|bewegte_form|enge_range+wenig_wechsel+hohe_persistenz|gedaempfte_aufnahme+geringe_feldspannung
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,5201,5300,dio_mcm_episode_0ybr5e3,dio_14wj,1,0.297619,0.297619,0.034048,0.087715,0.297177,0.244898,0.755102,0.018854,-0.075693,-0.001561,0.010640,0.012028,0.236527,0.000000,0.167300,0.000000,0.091985,0.640100,0.162102,0.167300,0.175360,0.664901,0.335099,0.099669,0.806730,0.091985,0.125433,0.605707,0.091985,0.011547,0.605707,0.091985,0.011547,laut+starker_tonwechsel,bewegte_form,enge_range+wenig_wechsel+hohe_persistenz,mittlere_aufnahme+mittlere_feldspannung,laut+starker_tonwechsel|bewegte_form|enge_range+wenig_wechsel+hohe_persistenz|mittlere_aufnahme+mittlere_feldspannung
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,5401,5500,dio_mcm_episode_0ybr5e3,dio_14wj,1,-0.14918,0.14918,0.033627,0.083002,0.248509,0.204082,0.795918,-0.013763,-0.015142,-0.000355,-0.000110,0.002719,0.241007,0.000000,0.146832,0.000000,0.080984,0.646529,0.152794,0.146832,0.160027,0.679861,0.320139,0.091803,0.811832,0.080984,0.121027,0.619552,0.080984,-0.005003,0.619552,0.080984,-0.005003,laut+starker_tonwechsel,bewegte_form,enge_range+wenig_wechsel+hohe_persistenz,gedaempfte_aufnahme+geringe_feldspannung,laut+starker_tonwechsel|bewegte_form|enge_range+wenig_wechsel+hohe_persistenz|gedaempfte_aufnahme+geringe_feldspannung
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,6401,6500,dio_mcm_episode_0ybr5e3,dio_14wj,1,0.0,0.0,0.049306,0.116563,0.398406,0.295918,0.704082,-0.003653,0.000759,-0.000886,0.005152,-0.002874,0.266878,0.000000,0.164217,0.000000,0.089515,0.642267,0.167241,0.164217,0.177766,0.660915,0.339085,0.101701,0.799978,0.089515,0.126561,0.606227,0.089515,-0.001464,0.606227,0.089515,-0.001464,laut+ruhiger_ton,stabile_form,mittlere_range+wenig_wechsel+hohe_persistenz,gedaempfte_aufnahme+geringe_feldspannung,laut+ruhiger_ton|stabile_form|mittlere_range+wenig_wechsel+hohe_persistenz|gedaempfte_aufnahme+geringe_feldspannung
PAXG_2024_5M,debug\adapted_field_paxg_2024_5m_10k\dio_mini_lauf_2\episodes.csv,6701,6800,dio_mcm_episode_0ybr5e3,dio_1u5i,1,0.348953,0.348953,0.044704,0.079545,0.248385,0.316327,0.683673,0.026796,-0.035326,-0.005727,0.009868,0.007996,0.259933,0.000000,0.146588,0.000000,0.081144,0.643314,0.159913,0.146588,0.165310,0.659643,0.340357,0.094561,0.804380,0.081144,0.124113,0.606719,0.081144,0.012796,0.606719,0.081144,0.012796,laut+starker_tonwechsel,bewegte_form,enge_range+wenig_wechsel+hohe_persistenz,gedaempfte_aufnahme+geringe_feldspannung,laut+starker_tonwechsel|bewegte_form|enge_range+wenig_wechsel+hohe_persistenz|gedaempfte_aufnahme+geringe_feldspannung
