world,scale,block_index,base_sequence,raw_class,score,delta_auditory,delta_visual,delta_pressure,delta_range,avg_auditory,avg_visual_sharpness,avg_field_pressure,avg_range_pct,price_move_pct,passive_only,influences_action
BTC_2025_5M_QUIET,200,5,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.471708,0.177896,0.068133,0.036717,-0.188962,0.58739,0.716191,0.141348,0.026933,-0.066852,1,0
BTC_2024_5M_FULL,100,96,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.438516,0.197576,0.041336,0.042052,-0.157552,0.60707,0.689394,0.146683,0.058343,0.292546,1,0
BTC_2024_5M_FULL,100,98,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.436326,0.18715,0.042294,0.040769,-0.166113,0.596644,0.690352,0.1454,0.049782,-0.466094,1,0
BTC_2025_5M_QUIET,100,31,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.419328,0.138188,0.065441,0.02861,-0.187089,0.547682,0.713499,0.133241,0.028806,0.114657,1,0
BTC_2025_5M_QUIET,100,11,randlastige_sinneslage->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.411277,0.129221,0.065516,0.025185,-0.191355,0.538715,0.713574,0.129816,0.02454,-0.046438,1,0
BTC_2024_5M_FULL,200,48,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.39902,0.168909,0.041232,0.035729,-0.15315,0.578403,0.68929,0.14036,0.062745,-0.133324,1,0
BTC_2024_5M_FULL,400,24,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.386623,0.157015,0.04272,0.033218,-0.15367,0.566509,0.690778,0.137849,0.062225,-0.41702,1,0
BTC_2024_5M_FULL,200,49,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.374225,0.145122,0.044207,0.030706,-0.15419,0.554616,0.692265,0.135337,0.061705,-0.284075,1,0
BTC_2025_5M_FULL,100,12,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.360185,0.132945,0.046943,0.026698,-0.153599,0.542439,0.695001,0.131329,0.062296,-0.342343,1,0
BTC_2024_5M_FULL,100,97,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.359524,0.140242,0.041128,0.029406,-0.148748,0.549736,0.689186,0.134037,0.067147,-0.424628,1,0
BTC_2025_5M_FULL,100,11,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.349855,0.117506,0.060049,0.02451,-0.14779,0.527,0.708107,0.129141,0.068105,0.012019,1,0
BTC_2024_5M_QUIET,100,33,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.326673,0.091499,0.048489,0.019135,-0.16755,0.500993,0.696547,0.123766,0.048345,-0.297107,1,0
BTC_2024_5M_QUIET,200,16,randlastige_sinneslage->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.319481,0.093825,0.03943,0.019305,-0.166921,0.503319,0.687488,0.123936,0.048974,-0.307042,1,0
BTC_2025_5M_FULL,200,5,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.319355,0.102803,0.055845,0.020728,-0.139979,0.512297,0.703903,0.125359,0.075916,0.419749,1,0
BTC_2024_5M_QUIET,100,32,randlastige_sinneslage->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.312292,0.096152,0.030371,0.019476,-0.166293,0.505646,0.678429,0.124107,0.049602,-0.00995,1,0
BTC_2024_5M_FULL,100,99,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.312125,0.103094,0.04612,0.020644,-0.142267,0.512588,0.694178,0.125275,0.073628,0.182894,1,0
BTC_2025_5M_QUIET,100,30,lauter_feldkontakt->lauter_feldkontakt,gemischte_rohwelt,0.298659,0.060164,0.047228,0.011834,-0.179433,0.469658,0.695286,0.116465,0.036462,-0.072226,1,0
BTC_2025_5M_TEST,100,12,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.29543,0.091359,0.032921,0.017551,-0.153599,0.500853,0.680979,0.122182,0.062296,-0.342343,1,0
BTC_2025_5M_FULL,100,10,lauter_feldkontakt->lauter_feldkontakt,gemischte_rohwelt,0.288855,0.0881,0.051641,0.016946,-0.132168,0.497594,0.699699,0.121577,0.083727,0.407691,1,0
BTC_2024_5M_STRESS,100,3,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.284311,0.111525,0.044849,0.022892,-0.105045,0.521019,0.692907,0.127523,0.11085,0.690131,1,0
BTC_2024_5M_FULL,100,77,ruhig_zentrumsnah->lauter_feldkontakt,gemischte_rohwelt,0.265576,0.082359,0.036203,0.017397,-0.129617,0.491853,0.684261,0.122028,0.086278,0.665179,1,0
BTC_2024_5M_QUIET,100,13,randlastige_sinneslage->lauter_feldkontakt,gemischte_rohwelt,0.263641,0.056864,0.051186,0.009984,-0.145607,0.466358,0.699244,0.114615,0.070288,0.031888,1,0
BTC_2025_5M_QUIET,400,3,lauter_feldkontakt->lauter_feldkontakt,gemischte_rohwelt,0.257482,0.061154,0.030646,0.013413,-0.152269,0.470648,0.678704,0.118044,0.063626,0.472173,1,0
BTC_2024_5M_STRESS,200,1,randlastige_sinneslage->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.256167,0.092904,0.042974,0.018715,-0.101574,0.502398,0.691032,0.123346,0.114321,-0.285028,1,0
BTC_2025_5M_FULL,100,71,lauter_feldkontakt->lauter_feldkontakt,gemischte_rohwelt,0.253882,0.075934,0.041771,0.014373,-0.121804,0.485428,0.689829,0.119004,0.094091,-0.194976,1,0
BTC_2025_5M_FULL,400,3,lauter_feldkontakt->lauter_feldkontakt,gemischte_rohwelt,0.251382,0.088972,0.035922,0.017366,-0.109122,0.498466,0.68398,0.121997,0.106773,0.83719,1,0
BTC_2024_5M_STRESS,100,4,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.25021,0.110129,0.039705,0.020798,-0.079578,0.519623,0.687763,0.125429,0.136317,1.357491,1,0
BTC_2025_5M_FULL,100,33,ruhig_zentrumsnah->lauter_feldkontakt,gemischte_rohwelt,0.247076,0.078197,0.043095,0.014745,-0.111039,0.487691,0.691153,0.119376,0.104856,0.911374,1,0
BTC_2025_5M_FULL,200,16,ruhig_zentrumsnah->lauter_feldkontakt,gemischte_rohwelt,0.246675,0.055086,0.050663,0.00983,-0.131096,0.46458,0.698721,0.114461,0.084799,0.243,1,0
BTC_2025_5M_QUIET,100,15,offen_suchend->normale_weltspannung,gemischte_rohwelt,0.245077,0.048103,0.033903,0.008894,-0.154177,0.457597,0.681961,0.113525,0.061718,-0.552075,1,0
BTC_2025_5M_QUIET,400,8,lauter_feldkontakt->normale_weltspannung,gemischte_rohwelt,0.245002,0.05167,0.031489,0.010991,-0.150852,0.461164,0.679547,0.115622,0.065043,0.479238,1,0
BTC_2025_5M_STRESS,100,37,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.241257,0.050087,0.048505,0.007828,-0.134837,0.459581,0.696563,0.112459,0.081058,0.022256,1,0
BTC_2025_5M_FULL,200,36,lauter_feldkontakt->normale_weltspannung,gemischte_rohwelt,0.238468,0.050098,0.036493,0.010125,-0.141752,0.459592,0.684551,0.114756,0.074143,0.22793,1,0
BTC_2024_5M_QUIET,400,8,randlastige_sinneslage->lauter_feldkontakt,gemischte_rohwelt,0.236798,0.067535,0.026206,0.013876,-0.129181,0.477029,0.674264,0.118507,0.086714,0.948937,1,0
BTC_2024_5M_FULL,100,59,lauter_feldkontakt->normale_weltspannung,gemischte_rohwelt,0.236136,0.051241,0.034473,0.010184,-0.140238,0.460735,0.682531,0.114815,0.075657,-0.087652,1,0
BTC_2025_5M_FULL,100,72,lauter_feldkontakt->normale_weltspannung,gemischte_rohwelt,0.232012,0.041419,0.040707,0.008247,-0.141639,0.450913,0.688765,0.112878,0.074256,0.304773,1,0
BTC_2024_5M_STRESS,100,2,randlastige_sinneslage->lauter_feldkontakt,gemischte_rohwelt,0.228024,0.074284,0.041099,0.014538,-0.098103,0.483778,0.689157,0.119169,0.117792,-0.968475,1,0
BTC_2025_5M_TEST,100,10,randlastige_sinneslage->normale_weltspannung,gemischte_rohwelt,0.226669,0.04994,0.035646,0.008915,-0.132168,0.459434,0.683704,0.113546,0.083727,0.407691,1,0
BTC_2025_5M_TEST,400,2,offen_suchend->normale_weltspannung,gemischte_rohwelt,0.222896,0.044149,0.035368,0.00817,-0.135209,0.453643,0.683426,0.112801,0.080686,-0.300577,1,0
BTC_2024_5M_FULL,100,84,randlastige_sinneslage->normale_weltspannung,gemischte_rohwelt,0.222537,0.04879,0.045791,0.007276,-0.12068,0.458284,0.693849,0.111907,0.095215,0.459562,1,0
BTC_2024_5M_FULL,100,57,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.221721,0.044193,0.028087,0.009183,-0.140258,0.453687,0.676145,0.113814,0.075637,0.274527,1,0
BTC_2025_5M_STRESS,100,9,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.21864,0.056022,0.039408,0.009591,-0.113619,0.465516,0.687466,0.114222,0.102276,-0.95861,1,0
BTC_2025_5M_QUIET,100,33,randlastige_sinneslage->normale_weltspannung,gemischte_rohwelt,0.21638,0.037267,0.030136,0.008942,-0.140035,0.446761,0.678194,0.113573,0.07586,0.475114,1,0
BTC_2024_5M_FULL,200,38,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.213575,0.032026,0.04192,0.005537,-0.134092,0.44152,0.689978,0.110168,0.081803,1.281512,1,0
BTC_2024_5M_STRESS,200,5,ruhig_zentrumsnah->lauter_feldkontakt,gemischte_rohwelt,0.213327,0.087257,0.037941,0.017388,-0.070741,0.496751,0.685999,0.122019,0.145154,0.517109,1,0
BTC_2025_5M_FULL,100,74,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.213055,0.102731,0.020152,0.021053,-0.069119,0.512225,0.66821,0.125684,0.146776,-3.102911,1,0
BTC_2025_BREAK,100,4,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.211028,0.046935,0.042751,0.007723,-0.113619,0.456429,0.690809,0.112354,0.102276,-0.95861,1,0
BTC_2024_5M_FULL,200,28,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.209221,0.041042,0.024841,0.007813,-0.135525,0.450536,0.672899,0.112444,0.08037,0.372303,1,0
BTC_2025_5M_FULL,100,8,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.205659,0.044997,0.041719,0.007843,-0.1111,0.454491,0.689777,0.112474,0.104795,-0.182233,1,0
BTC_2025_5M_FULL,200,7,randlastige_sinneslage->lauter_feldkontakt,gemischte_rohwelt,0.202464,0.068399,0.034529,0.012906,-0.08663,0.477893,0.682587,0.117537,0.129265,0.624203,1,0
BTC_2024_5M_STRESS,100,11,lauter_feldkontakt->lauter_feldkontakt,gemischte_rohwelt,0.199709,0.055841,0.049781,0.010174,-0.083913,0.465335,0.697839,0.114805,0.131982,-0.060483,1,0
BTC_2025_BREAK,100,7,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.199159,0.047743,0.027863,0.008462,-0.115091,0.457237,0.675921,0.113093,0.100804,-0.23618,1,0
BTC_2025_5M_FULL,100,15,randlastige_sinneslage->normale_weltspannung,gemischte_rohwelt,0.198577,0.052911,0.045339,0.008342,-0.091985,0.462405,0.693397,0.112973,0.12391,-0.458548,1,0
BTC_2024_5M_FULL,100,56,ruhig_zentrumsnah->normale_weltspannung,gemischte_rohwelt,0.196722,0.037891,0.021595,0.006444,-0.130792,0.447385,0.669653,0.111075,0.085103,0.097533,1,0
BTC_2025_5M_FULL,100,89,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.196385,0.033278,0.050825,0.003996,-0.108286,0.442772,0.698883,0.108627,0.107609,0.593265,1,0
