world,scale,block_index,base_sequence,raw_class,price_move_pct,avg_abs_body_pct,avg_range_pct,avg_volume,avg_auditory,avg_visual_sharpness,avg_field_pressure,avg_form_flow,avg_energy_shift,passive_only,influences_action
SOL_2023_NEG,100,3,randlastige_sinneslage->normale_weltspannung,gemischte_rohwelt,-0.170068,0.148444,0.309211,10020.7374,0.404683,0.664617,0.103627,0.004207,-0.004236,1,0
SOL_2023_NEG,100,4,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,-1.021711,0.132797,0.262605,10985.5039,0.407931,0.677531,0.102444,-0.023755,0.001515,1,0
SOL_2023_NEG,100,5,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.773861,0.19037,0.372063,14280.3518,0.418839,0.663811,0.10503,0.005713,0.006236,1,0
SOL_2023_NEG,100,6,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,-1.322526,0.157229,0.325915,12256.1389,0.396584,0.662275,0.101468,-0.019637,-0.003438,1,0
SOL_2023_NEG,100,7,normale_weltspannung->normale_weltspannung,gemischte_rohwelt,0.951146,0.112794,0.228129,8376.1343,0.417108,0.672286,0.105864,0.02342,0.007995,1,0
SOL_2023_NEG,100,8,normale_weltspannung->offen_suchend,gemischte_rohwelt,-0.214225,0.259684,0.466816,27925.2805,0.427699,0.621065,0.109789,-0.020654,0.003215,1,0
SOL_2023_NEG,100,9,offen_suchend->offen_suchend,gemischte_rohwelt,2.404465,0.17556,0.332141,15771.3355,0.416481,0.649529,0.104884,0.060037,-0.001567,1,0
SOL_2023_NEG,100,11,randlastige_sinneslage->offen_suchend,gemischte_rohwelt,-2.778947,0.243002,0.463827,22697.3906,0.38029,0.629646,0.0986,-0.06913,-0.001892,1,0
SOL_2023_NEG,100,12,offen_suchend->offen_suchend,gemischte_rohwelt,-1.559792,0.217253,0.385163,19749.5638,0.436736,0.636917,0.111604,-0.02265,0.01227,1,0
SOL_2023_NEG,100,13,offen_suchend->normale_weltspannung,gemischte_rohwelt,0.527937,0.144796,0.29749,10037.4913,0.404659,0.660471,0.103458,0.01814,-0.003483,1,0
SOL_2023_NEG,100,14,normale_weltspannung->offen_suchend,bewegungsreiche_rohwelt,-7.089716,0.270947,0.559039,26813.0769,0.384309,0.620914,0.10256,-0.143191,0.014742,1,0
SOL_2023_NEG,100,15,offen_suchend->offen_suchend,gemischte_rohwelt,-1.64861,0.285739,0.516185,27138.7307,0.391148,0.612992,0.101803,-0.005442,-0.008092,1,0
SOL_2023_NEG,100,16,offen_suchend->normale_weltspannung,gemischte_rohwelt,0.0,0.189192,0.384439,14961.3935,0.387097,0.647027,0.098225,0.000123,-0.000665,1,0
SOL_2023_NEG,100,18,randlastige_sinneslage->normale_weltspannung,gemischte_rohwelt,0.496032,0.129087,0.249823,7391.6935,0.433564,0.675613,0.107511,0.01249,-0.006187,1,0
SOL_2023_NEG,100,21,lauter_feldkontakt->lauter_feldkontakt,laute_oder_druckvolle_rohwelt,0.916104,0.091496,0.174351,5031.3988,0.510955,0.674858,0.125712,0.017439,-0.001525,1,0
SOL_2023_NEG,100,22,lauter_feldkontakt->normale_weltspannung,bewegungsreiche_rohwelt,3.153368,0.16907,0.330714,14415.9372,0.440786,0.667162,0.111145,0.068071,0.007347,1,0
SOL_2023_NEG,100,25,randlastige_sinneslage->normale_weltspannung,gemischte_rohwelt,-1.724988,0.235901,0.478867,20689.4976,0.356015,0.638149,0.095388,-0.025908,0.007678,1,0
SOL_2023_NEG,100,26,normale_weltspannung->normale_weltspannung,bewegungsreiche_rohwelt,4.613842,0.204993,0.379942,14630.592,0.43671,0.649921,0.110153,0.091463,-0.003882,1,0
SOL_2023_NEG,100,27,normale_weltspannung->offen_suchend,bewegungsreiche_rohwelt,3.211889,0.176051,0.316882,12382.6704,0.458416,0.635762,0.114117,0.060196,0.006108,1,0
SOL_2023_NEG,100,29,randlastige_sinneslage->normale_weltspannung,gemischte_rohwelt,-1.09539,0.162822,0.323638,14048.8917,0.406421,0.662538,0.102499,-0.032171,0.006201,1,0
