phase,phase_length,episodes,zentrum_share,open_share,rand_kipp_share,rekopplungsnaehe_share,avg_rekopplung,avg_carry,avg_strain,avg_sensory,avg_visual_gap,avg_hearing_gap,avg_auditory_loudness,avg_adapted_field_intake,dominant_effect_class,dominant_awareness,dominant_symbol_family,dominant_preview_symbol
ruhige_form_leiser_ton,800,800,0.99875,0.0,0.00125,0.0,0.76180608375,0.61915052,0.11897445375,0.92170404625,0.09055417625,0.0038580900000000002,0.00683067,0.00930795375,stabil,inner_effect_stable,dio_1fll,dio_mcm_episode_1v8o9kh
klare_rekopplung_chaostone,1200,1200,0.9991666666666666,0.0008333333333333334,0.0,0.0,0.7460168058333333,0.5894808308333332,0.12348328083333333,0.9101442933333334,0.07711379166666667,0.049308775,0.10131270499999999,0.05203454833333333,stabil,inner_effect_stable,dio_06er,dio_mcm_episode_0wjn8vm
visuelle_rekopplung_lautimpuls,1400,1400,0.87,0.065,0.065,0.0,0.7399176185714286,0.5736513985714286,0.15355180214285713,0.8818018435714285,0.09418278785714286,0.10762178071428571,0.20538864071428573,0.10277790357142856,stabil,inner_effect_stable,dio_1fll,dio_mcm_episode_0nyb3ro
klare_form_chaotischer_nachhall,900,900,0.9588888888888889,0.04,0.0011111111111111111,0.0,0.72345729,0.5545574166666667,0.15062662000000002,0.8774523555555556,0.06003708333333333,0.13178396444444446,0.2634322577777778,0.13164829777777778,stabil,inner_effect_stable,dio_06er,dio_mcm_episode_0nyb3ro
zweite_rekopplung_chaostone,1400,1400,0.915,0.04285714285714286,0.04214285714285714,0.0,0.7497860892857142,0.5949229457142857,0.14018904357142856,0.89689539,0.09160518071428571,0.06826761785714286,0.12957748714285713,0.0671894357142857,stabil,inner_effect_stable,dio_1fll,dio_mcm_episode_0v5p8er
stille_schlussrekopplung,900,894,1.0,0.0,0.0,0.0,0.7632239306487696,0.6227972416107384,0.11878244742729306,0.9220063993288591,0.09094598545861297,0.0031833400447427293,0.005795461968680089,0.008602736017897092,stabil,inner_effect_stable,dio_1fll,dio_mcm_episode_0qvodoj
