world_class,type,left_family,right_family,left_count,right_count,near_count,forward_left_to_right,forward_right_to_left,same_tick,field_profile
PAXG 2024 5m,family_presence,dio_00ly,-,62,-,-,-,-,-,rekoppelt:36;offen:22;kippnah:4
PAXG 2024 5m,family_presence,dio_0g2r,-,46,-,-,-,-,-,offen:36;rekoppelt:6;kippnah:4
PAXG 2024 5m,family_presence,dio_1ewh,-,54,-,-,-,-,-,offen:36;kippnah:14;rekoppelt:4
PAXG 2024 5m,family_presence,dio_104t,-,250,-,-,-,-,-,rekoppelt:131;offen:89;kippnah:30
PAXG 2024 5m,pair_neighborhood,dio_00ly,dio_0g2r,62,46,14,2,12,0,-
PAXG 2024 5m,pair_neighborhood,dio_0g2r,dio_1ewh,46,54,14,10,4,0,-
PAXG 2024 5m,pair_neighborhood,dio_1ewh,dio_104t,54,250,40,16,24,0,-
PAXG 2024 5m,pair_neighborhood,dio_00ly,dio_104t,62,250,46,24,22,0,-
BTC 2024 1h,family_presence,dio_00ly,-,76,-,-,-,-,-,rekoppelt:35;offen:27;kippnah:14
BTC 2024 1h,family_presence,dio_0g2r,-,24,-,-,-,-,-,kippnah:12;offen:12
BTC 2024 1h,family_presence,dio_1ewh,-,60,-,-,-,-,-,offen:50;kippnah:8;rekoppelt:2
BTC 2024 1h,family_presence,dio_104t,-,352,-,-,-,-,-,rekoppelt:169;offen:136;kippnah:47
BTC 2024 1h,pair_neighborhood,dio_00ly,dio_0g2r,76,24,12,4,8,0,-
BTC 2024 1h,pair_neighborhood,dio_0g2r,dio_1ewh,24,60,6,2,4,0,-
BTC 2024 1h,pair_neighborhood,dio_1ewh,dio_104t,60,352,50,34,16,0,-
BTC 2024 1h,pair_neighborhood,dio_00ly,dio_104t,76,352,62,28,34,0,-
KAS 2024 5m,family_presence,dio_00ly,-,90,-,-,-,-,-,rekoppelt:44;offen:36;kippnah:10
KAS 2024 5m,family_presence,dio_0g2r,-,38,-,-,-,-,-,offen:30;kippnah:8
KAS 2024 5m,family_presence,dio_1ewh,-,66,-,-,-,-,-,offen:48;kippnah:18
KAS 2024 5m,family_presence,dio_104t,-,222,-,-,-,-,-,offen:108;rekoppelt:94;kippnah:20
KAS 2024 5m,pair_neighborhood,dio_00ly,dio_0g2r,90,38,10,4,6,0,-
KAS 2024 5m,pair_neighborhood,dio_0g2r,dio_1ewh,38,66,18,10,8,0,-
KAS 2024 5m,pair_neighborhood,dio_1ewh,dio_104t,66,222,48,30,18,0,-
KAS 2024 5m,pair_neighborhood,dio_00ly,dio_104t,90,222,66,44,22,0,-
Expansion 2023,family_presence,dio_00ly,-,22,-,-,-,-,-,offen:16;kippnah:4;rekoppelt:2
Expansion 2023,family_presence,dio_0g2r,-,22,-,-,-,-,-,kippnah:12;offen:10
Expansion 2023,family_presence,dio_1ewh,-,36,-,-,-,-,-,offen:26;kippnah:10
Expansion 2023,family_presence,dio_104t,-,102,-,-,-,-,-,offen:61;rekoppelt:35;kippnah:6
Expansion 2023,pair_neighborhood,dio_00ly,dio_0g2r,22,22,4,0,4,0,-
Expansion 2023,pair_neighborhood,dio_0g2r,dio_1ewh,22,36,4,4,0,0,-
Expansion 2023,pair_neighborhood,dio_1ewh,dio_104t,36,102,26,20,6,0,-
Expansion 2023,pair_neighborhood,dio_00ly,dio_104t,22,102,16,6,10,0,-
SOL 2026 Seitwaerts,family_presence,dio_00ly,-,52,-,-,-,-,-,offen:28;rekoppelt:18;kippnah:6
SOL 2026 Seitwaerts,family_presence,dio_0g2r,-,30,-,-,-,-,-,offen:20;kippnah:10
SOL 2026 Seitwaerts,family_presence,dio_1ewh,-,46,-,-,-,-,-,offen:36;kippnah:8;rekoppelt:2
SOL 2026 Seitwaerts,family_presence,dio_104t,-,266,-,-,-,-,-,offen:117;rekoppelt:112;kippnah:37
SOL 2026 Seitwaerts,pair_neighborhood,dio_00ly,dio_0g2r,52,30,4,0,4,0,-
SOL 2026 Seitwaerts,pair_neighborhood,dio_0g2r,dio_1ewh,30,46,6,2,4,0,-
SOL 2026 Seitwaerts,pair_neighborhood,dio_1ewh,dio_104t,46,266,32,22,10,0,-
SOL 2026 Seitwaerts,pair_neighborhood,dio_00ly,dio_104t,52,266,42,22,20,0,-
BTC 2024 Quiet 5m,family_presence,dio_00ly,-,136,-,-,-,-,-,rekoppelt:100;offen:34;kippnah:2
BTC 2024 Quiet 5m,family_presence,dio_0g2r,-,62,-,-,-,-,-,offen:44;kippnah:16;rekoppelt:2
BTC 2024 Quiet 5m,family_presence,dio_1ewh,-,78,-,-,-,-,-,offen:58;kippnah:20
BTC 2024 Quiet 5m,family_presence,dio_104t,-,574,-,-,-,-,-,rekoppelt:321;offen:192;kippnah:61
BTC 2024 Quiet 5m,pair_neighborhood,dio_00ly,dio_0g2r,136,62,12,0,12,0,-
BTC 2024 Quiet 5m,pair_neighborhood,dio_0g2r,dio_1ewh,62,78,20,10,10,0,-
BTC 2024 Quiet 5m,pair_neighborhood,dio_1ewh,dio_104t,78,574,54,30,24,0,-
BTC 2024 Quiet 5m,pair_neighborhood,dio_00ly,dio_104t,136,574,102,42,60,0,-
Negative Stress 2024,family_presence,dio_00ly,-,28,-,-,-,-,-,offen:20;kippnah:4;rekoppelt:4
Negative Stress 2024,family_presence,dio_0g2r,-,26,-,-,-,-,-,offen:20;kippnah:6
Negative Stress 2024,family_presence,dio_1ewh,-,28,-,-,-,-,-,offen:22;kippnah:6
Negative Stress 2024,family_presence,dio_104t,-,98,-,-,-,-,-,offen:61;rekoppelt:25;kippnah:12
Negative Stress 2024,pair_neighborhood,dio_00ly,dio_0g2r,28,26,6,4,2,0,-
Negative Stress 2024,pair_neighborhood,dio_0g2r,dio_1ewh,26,28,12,8,4,0,-
Negative Stress 2024,pair_neighborhood,dio_1ewh,dio_104t,28,98,22,6,16,0,-
Negative Stress 2024,pair_neighborhood,dio_00ly,dio_104t,28,98,18,14,4,0,-
Positive Recovery 2025,family_presence,dio_00ly,-,34,-,-,-,-,-,offen:24;rekoppelt:6;kippnah:4
Positive Recovery 2025,family_presence,dio_0g2r,-,14,-,-,-,-,-,offen:8;kippnah:6
Positive Recovery 2025,family_presence,dio_1ewh,-,22,-,-,-,-,-,offen:18;kippnah:4
Positive Recovery 2025,family_presence,dio_104t,-,106,-,-,-,-,-,offen:69;rekoppelt:26;kippnah:11
Positive Recovery 2025,pair_neighborhood,dio_00ly,dio_0g2r,34,14,10,6,4,0,-
Positive Recovery 2025,pair_neighborhood,dio_0g2r,dio_1ewh,14,22,10,6,4,0,-
Positive Recovery 2025,pair_neighborhood,dio_1ewh,dio_104t,22,106,16,6,10,0,-
Positive Recovery 2025,pair_neighborhood,dio_00ly,dio_104t,34,106,26,12,14,0,-
