base_sequence,scale,count,dominant_raw_class,raw_class_counts,avg_price_move_pct,avg_abs_body_pct,avg_range_pct,avg_auditory,avg_visual_sharpness,avg_field_pressure
randlastige_sinneslage->randlastige_sinneslage,100,55,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:44;gemischte_rohwelt:9;laute_oder_druckvolle_rohwelt:2,-0.088619,0.110654,1.696599,0.367748,0.753261,0.09622
normale_weltspannung->randlastige_sinneslage,100,42,gemischte_rohwelt,gemischte_rohwelt:28;bewegungsreiche_rohwelt:12;laute_oder_druckvolle_rohwelt:2,0.545475,0.220042,0.423435,0.446385,0.642164,0.112205
offen_suchend->randlastige_sinneslage,100,28,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:15;gemischte_rohwelt:13,-1.603309,0.353821,0.684481,0.42998,0.612769,0.110458
randlastige_sinneslage->randlastige_sinneslage,200,25,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:24;gemischte_rohwelt:1,-0.096566,0.150742,1.620135,0.371978,0.737552,0.097332
offen_suchend->randlastige_sinneslage,200,22,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:11;gemischte_rohwelt:10;laute_oder_druckvolle_rohwelt:1,-1.280632,0.285877,0.560643,0.428599,0.621917,0.10946
normale_weltspannung->randlastige_sinneslage,200,13,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:10;gemischte_rohwelt:3,1.720901,0.194788,0.369783,0.432861,0.647582,0.108869
lauter_feldkontakt->randlastige_sinneslage,100,12,gemischte_rohwelt,gemischte_rohwelt:7;bewegungsreiche_rohwelt:3;laute_oder_druckvolle_rohwelt:2,0.020562,0.16149,0.321283,0.478443,0.654464,0.119197
normale_weltspannung->randlastige_sinneslage,400,8,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:5;gemischte_rohwelt:3,-0.653973,0.258531,0.50689,0.431486,0.635247,0.109557
randlastige_sinneslage->randlastige_sinneslage,400,6,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:6,-1.348366,0.044062,1.918598,0.351102,0.793041,0.091932
ruhig_zentrumsnah->randlastige_sinneslage,100,6,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:3;gemischte_rohwelt:3,-0.047249,0.18381,0.352241,0.441094,0.647623,0.111153
ruhig_zentrumsnah->randlastige_sinneslage,200,5,gemischte_rohwelt,gemischte_rohwelt:3;bewegungsreiche_rohwelt:2,-2.329837,0.151163,0.292256,0.446331,0.657771,0.112537
lauter_feldkontakt->randlastige_sinneslage,200,4,gemischte_rohwelt,gemischte_rohwelt:3;bewegungsreiche_rohwelt:1,1.620258,0.199983,0.38665,0.43697,0.655577,0.109968
offen_suchend->randlastige_sinneslage,400,4,gemischte_rohwelt,gemischte_rohwelt:3;bewegungsreiche_rohwelt:1,-0.88188,0.280922,0.563141,0.421996,0.622219,0.108423
ueberstabil_extrem_leise_scharf->randlastige_sinneslage,100,3,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:3,0.074605,0.001043,2.210843,0.361165,0.813781,0.095192
ueberstabil_extrem_leise_scharf->ueberstabil_mit_randreiz,200,3,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:3,-0.014331,0.001501,1.563973,0.191901,0.823088,0.053305
ueberstabil_extrem_leise_scharf->ueberstabil_mit_randreiz,400,3,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:3,0.229019,0.001888,2.080486,0.214875,0.825866,0.059019
ueberstabil_mit_randreiz->randlastige_sinneslage,200,3,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:3,0.528641,0.002636,2.212436,0.343044,0.821983,0.090937
ueberstabil_mit_randreiz->randlastige_sinneslage,400,3,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:3,0.983763,0.00264,2.20809,0.336574,0.821189,0.089307
leise_duenn->randlastige_sinneslage,100,1,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1,-3.286181,0.102041,0.204535,0.407706,0.67079,0.103561
ueberstabil_mit_randreiz->randlastige_sinneslage,100,1,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt:1,-0.310871,0.003114,2.212914,0.332085,0.822717,0.087899
