field_function,role,asset,world,count,sequences,raw_classes
Bruecke,brueckenuebergang_zum_lauten_kontakt,BTC,BTC_2024_5M,1,normale_weltspannung->lauter_feldkontakt:1,laute_oder_druckvolle_rohwelt:1
Bruecke,brueckenuebergang_zum_lauten_kontakt,DOGE,DOGE_2024_5M,1,normale_weltspannung->lauter_feldkontakt:1,gemischte_rohwelt:1
Bruecke,brueckenuebergang_zum_lauten_kontakt,DOGE,DOGE_2024_5M_CONTRAST,1,normale_weltspannung->lauter_feldkontakt:1,gemischte_rohwelt:1
Bruecke,brueckenuebergang_zum_lauten_kontakt,SOL,SOL_2023_ALT_A_FOLLOW,1,normale_weltspannung->lauter_feldkontakt:1,laute_oder_druckvolle_rohwelt:1
Bruecke,brueckenuebergang_zum_lauten_kontakt,SOL,SOL_2025_REC,1,normale_weltspannung->lauter_feldkontakt:1,gemischte_rohwelt:1
Bruecke,brueckenuebergang_zum_lauten_kontakt,SOL,SOL_2025_STRESS,1,normale_weltspannung->lauter_feldkontakt:1,gemischte_rohwelt:1
Bruecke,brueckenuebergang_zum_lauten_kontakt,XRP,XRP_2024_5M_CONTRAST,4,offen_suchend->lauter_feldkontakt:2; normale_weltspannung->lauter_feldkontakt:1; randlastige_sinneslage->lauter_feldkontakt:1,gemischte_rohwelt:4
Randdruck,randnaher_kontaktdruck,BTC,BTC_2024_5M,6,lauter_feldkontakt->lauter_feldkontakt:6,laute_oder_druckvolle_rohwelt:6
Randdruck,randnaher_kontaktdruck,BTC,BTC_2025_5M,1,lauter_feldkontakt->lauter_feldkontakt:1,laute_oder_druckvolle_rohwelt:1
Randdruck,randnaher_kontaktdruck,BTC,BTC_2025_5M_CONTRAST,2,lauter_feldkontakt->lauter_feldkontakt:2,laute_oder_druckvolle_rohwelt:2
Randdruck,randnaher_kontaktdruck,PAXG,PAXG_2024_5M,1,lauter_feldkontakt->lauter_feldkontakt:1,laute_oder_druckvolle_rohwelt:1
Randdruck,randnaher_kontaktdruck,SOL,SOL_2023_NEG_STRESS,1,lauter_feldkontakt->lauter_feldkontakt:1,laute_oder_druckvolle_rohwelt:1
Zentrumskontakt,zentrumskontakt_mit_hoeranstieg,DOGE,DOGE_2024_5M,3,ruhig_zentrumsnah->lauter_feldkontakt:3,gemischte_rohwelt:3
Zentrumskontakt,zentrumskontakt_mit_hoeranstieg,DOGE,DOGE_2024_5M_CONTRAST,3,ruhig_zentrumsnah->lauter_feldkontakt:3,gemischte_rohwelt:3
Zentrumskontakt,zentrumskontakt_mit_hoeranstieg,XRP,XRP_2024_5M_CONTRAST,1,ruhig_zentrumsnah->lauter_feldkontakt:1,gemischte_rohwelt:1
Zentrumskontakt,zentrumskontakt_wird_aktiviert,SOL,SOL_2023_POS_EXP,1,ruhig_zentrumsnah->lauter_feldkontakt:1,gemischte_rohwelt:1
Zentrumskontakt,zentrumskontakt_wird_aktiviert,SOL,SOL_2025_REC,1,ruhig_zentrumsnah->lauter_feldkontakt:1,bewegungsreiche_rohwelt:1
