welt,struktur,blockgroesse,amplitude,dominant_symbol,dominant_count,dio_0ein_count,dio_1fll_count,differenz_0ein_1fll,paar_dominanz,symbole,stabil,tragend_unruhig,rekopplung,nachhall,focus_tone,observation_tone
1481_BROKEN_BS13_110,broken_irregular_middle,13,0.00110,dio_0v65ujo,148,134,134,0,gleich,53,1118,76,0.730917,0.526082,1009,185
1482_BROKEN_BS13_112,broken_irregular_middle,13,0.00112,dio_0v65ujo,148,134,133,1,dio_0ein,55,1117,77,0.730629,0.524131,1014,180
1483_BROKEN_BS13_114,broken_irregular_middle,13,0.00114,dio_0v65ujo,149,135,134,1,dio_0ein,55,1117,77,0.730480,0.524123,1018,176
