world,transition,from_role,to_role,start_tick,previous_duration,current_duration,current_raw_field_intake,current_rekopplung,current_strain
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1294,21,1,0.0,0.558363,0.348424
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1295,1,4,0.0,0.6472592500000001,0.2002595
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1299,4,1,0.0,0.594756,0.272518
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1300,1,13,0.0,0.6565787692307693,0.17774776923076924
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1313,13,1,0.0,0.593712,0.27857
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1314,1,34,0.0,0.6560161176470588,0.17179673529411765
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,1348,34,1,0.0,0.705813,0.142607
BTC_STRESS_2024_5M,rekopplungsnaehe->spannungsrand_kippnaehe,rekopplungsnaehe,spannungsrand_kippnaehe,1349,1,1,0.0,0.569022,0.327038
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1350,1,13,0.0,0.6444144615384615,0.18393707692307693
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1363,13,1,0.0,0.584485,0.281586
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1364,1,4,0.0,0.63260275,0.20290249999999999
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1368,4,1,0.0,0.600526,0.277787
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1369,1,26,0.0,0.654358923076923,0.17227184615384614
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1395,26,1,0.0,0.603553,0.253373
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1396,1,21,0.0,0.6562830476190475,0.17473209523809524
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,1417,21,1,0.0,0.702715,0.118626
BTC_STRESS_2024_5M,rekopplungsnaehe->offene_variante,rekopplungsnaehe,offene_variante,1418,1,35,0.0,0.6591989428571429,0.16955334285714285
BTC_STRESS_2024_5M,offene_variante->rekopplungsnaehe,offene_variante,rekopplungsnaehe,1453,35,1,0.0,0.709886,0.109563
BTC_STRESS_2024_5M,rekopplungsnaehe->spannungsrand_kippnaehe,rekopplungsnaehe,spannungsrand_kippnaehe,1454,1,1,0.0,0.614211,0.255141
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1455,1,13,0.0,0.6615654615384615,0.17017069230769233
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1468,13,1,0.0,0.60168,0.251924
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1469,1,15,0.0,0.6589160666666667,0.1722165333333333
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1484,15,1,0.0,0.604159,0.265247
BTC_STRESS_2024_5M,spannungsrand_kippnaehe->offene_variante,spannungsrand_kippnaehe,offene_variante,1485,1,15,0.0,0.657633,0.17141686666666667
BTC_STRESS_2024_5M,offene_variante->spannungsrand_kippnaehe,offene_variante,spannungsrand_kippnaehe,1500,15,1,0.0,0.600251,0.260508
