world,scale,block_index,base_sequence,raw_class,price_move_pct,avg_abs_body_pct,avg_range_pct,avg_volume,avg_auditory,avg_visual_sharpness,avg_field_pressure,avg_form_flow,avg_energy_shift,passive_only,influences_action
SOL_2023_NEG,100,2,ruhig_zentrumsnah->randlastige_sinneslage,bewegungsreiche_rohwelt,-3.329223,0.199812,0.422994,31613.1833,0.483565,0.646698,0.121826,-0.071502,0.00846,1,0
SOL_2023_NEG,100,10,offen_suchend->randlastige_sinneslage,gemischte_rohwelt,-0.461216,0.12531,0.228646,8659.157,0.358637,0.663281,0.092384,-0.00765,-0.000743,1,0
SOL_2023_NEG,100,17,normale_weltspannung->randlastige_sinneslage,bewegungsreiche_rohwelt,-3.494495,0.254263,0.505371,21618.2073,0.411429,0.620443,0.10658,-0.064904,-0.004054,1,0
SOL_2023_NEG,100,23,normale_weltspannung->randlastige_sinneslage,gemischte_rohwelt,-2.176934,0.264889,0.520298,30064.331,0.420786,0.635314,0.107079,-0.042427,-0.001909,1,0
SOL_2023_NEG,100,24,randlastige_sinneslage->randlastige_sinneslage,laute_oder_druckvolle_rohwelt,-3.97539,0.241982,0.470779,32114.2922,0.515249,0.62385,0.126006,-0.083616,-0.007378,1,0
SOL_2023_NEG,100,28,offen_suchend->randlastige_sinneslage,gemischte_rohwelt,1.718532,0.330367,0.65676,48841.105,0.410224,0.59721,0.107187,0.021006,0.007019,1,0
SOL_2023_NEG,100,40,normale_weltspannung->randlastige_sinneslage,gemischte_rohwelt,1.593454,0.176531,0.319134,12327.4908,0.476713,0.631757,0.118145,0.032519,-0.006592,1,0
SOL_2023_NEG,100,42,lauter_feldkontakt->randlastige_sinneslage,bewegungsreiche_rohwelt,5.086901,0.187446,0.376286,23991.7626,0.41737,0.649699,0.105868,0.079876,0.004258,1,0
SOL_2023_NEG,100,45,lauter_feldkontakt->randlastige_sinneslage,gemischte_rohwelt,-2.677225,0.238086,0.52556,31104.1301,0.468202,0.633067,0.115232,-0.048022,0.003239,1,0
SOL_2023_NEG,100,50,offen_suchend->randlastige_sinneslage,bewegungsreiche_rohwelt,-3.935091,0.252811,0.481801,29427.5208,0.485217,0.623866,0.120167,-0.089302,0.000682,1,0
SOL_2023_NEG,100,54,normale_weltspannung->randlastige_sinneslage,gemischte_rohwelt,-1.315249,0.236526,0.456808,21333.9388,0.387825,0.626358,0.099935,-0.02073,0.002544,1,0
SOL_2023_NEG,100,57,ruhig_zentrumsnah->randlastige_sinneslage,bewegungsreiche_rohwelt,-3.5,0.279698,0.511516,27969.0973,0.414371,0.609157,0.107086,-0.053769,-0.000888,1,0
SOL_2023_NEG,100,59,normale_weltspannung->randlastige_sinneslage,gemischte_rohwelt,-2.041703,0.156609,0.314321,17064.0754,0.49374,0.663178,0.122604,-0.043394,0.002139,1,0
SOL_2023_NEG,100,63,ruhig_zentrumsnah->randlastige_sinneslage,gemischte_rohwelt,0.875657,0.162501,0.307906,13044.851,0.421739,0.660032,0.106428,0.011039,-0.003168,1,0
SOL_2023_NEG,100,81,normale_weltspannung->randlastige_sinneslage,bewegungsreiche_rohwelt,3.635482,0.258111,0.469307,12527.5225,0.451775,0.606716,0.115175,0.071168,0.000684,1,0
SOL_2023_NEG,100,86,lauter_feldkontakt->randlastige_sinneslage,gemischte_rohwelt,-0.863724,0.141467,0.289627,8144.174,0.450253,0.66994,0.111809,-0.014758,-0.004001,1,0
SOL_2023_NEG,100,88,normale_weltspannung->randlastige_sinneslage,gemischte_rohwelt,-2.119461,0.138483,0.278496,8252.8452,0.45351,0.653437,0.113831,-0.043354,0.000315,1,0
SOL_2023_NEG,100,89,randlastige_sinneslage->randlastige_sinneslage,gemischte_rohwelt,-0.886263,0.252803,0.455448,17698.7941,0.400653,0.641313,0.102309,-0.022681,-0.00187,1,0
SOL_2023_NEG,100,97,offen_suchend->randlastige_sinneslage,bewegungsreiche_rohwelt,6.771463,0.448259,0.867226,55148.4321,0.409404,0.575705,0.107838,0.095844,-0.005994,1,0
SOL_2024_SIDE,100,5,lauter_feldkontakt->randlastige_sinneslage,bewegungsreiche_rohwelt,-3.539889,0.238449,0.475092,15157.98185,0.449388,0.612399,0.114557,-0.069955,0.001507,1,0
SOL_2024_SIDE,100,15,normale_weltspannung->randlastige_sinneslage,gemischte_rohwelt,0.899743,0.218745,0.383389,10287.97503,0.439516,0.60597,0.11166,0.03601,0.004447,1,0
SOL_2024_SIDE,100,18,normale_weltspannung->randlastige_sinneslage,gemischte_rohwelt,-0.4662,0.253852,0.499072,20509.31444,0.43955,0.606463,0.112442,-0.026361,-0.001684,1,0
SOL_2024_SIDE,100,19,randlastige_sinneslage->randlastige_sinneslage,gemischte_rohwelt,-2.373331,0.247623,0.532912,29618.36207,0.44787,0.59939,0.114678,-0.045982,-0.001281,1,0
SOL_2024_SIDE,100,45,normale_weltspannung->randlastige_sinneslage,laute_oder_druckvolle_rohwelt,-2.939873,0.150096,0.291958,10757.87678,0.521131,0.622943,0.128101,-0.08142,0.011522,1,0
SOL_2024_SIDE,100,74,normale_weltspannung->randlastige_sinneslage,gemischte_rohwelt,-0.521879,0.140232,0.25693,7490.25363,0.489726,0.649028,0.121297,-0.0126,0.000856,1,0
SOL_2024_SIDE,100,85,offen_suchend->randlastige_sinneslage,gemischte_rohwelt,2.007392,0.129201,0.241027,10022.29663,0.465397,0.666716,0.116729,0.053895,0.001618,1,0
SOL_2024_SIDE,100,89,normale_weltspannung->randlastige_sinneslage,gemischte_rohwelt,1.204585,0.134705,0.255158,9257.65487,0.424122,0.667206,0.10604,0.033707,-0.00217,1,0
SOL_2024_SIDE,100,91,offen_suchend->randlastige_sinneslage,bewegungsreiche_rohwelt,-3.272461,0.288082,0.577182,25630.44645,0.386312,0.589131,0.103645,-0.054356,0.000172,1,0
SOL_2025_STRESS,100,8,lauter_feldkontakt->randlastige_sinneslage,gemischte_rohwelt,-2.282461,0.247009,0.528144,19323.45754,0.465125,0.666004,0.114888,-0.033967,-0.003972,1,0
SOL_2025_STRESS,100,35,lauter_feldkontakt->randlastige_sinneslage,laute_oder_druckvolle_rohwelt,-3.478492,0.181745,0.331719,9453.41543,0.504731,0.660296,0.123064,-0.061241,-0.001195,1,0
SOL_2025_STRESS,100,42,normale_weltspannung->randlastige_sinneslage,gemischte_rohwelt,1.517037,0.201899,0.397577,12970.87328,0.428219,0.664716,0.105945,0.015969,-0.001888,1,0
SOL_2025_STRESS,100,58,offen_suchend->randlastige_sinneslage,bewegungsreiche_rohwelt,-9.360836,0.611384,1.154684,55377.39873,0.480886,0.546458,0.123615,-0.113697,0.008244,1,0
SOL_2025_STRESS,100,67,offen_suchend->randlastige_sinneslage,bewegungsreiche_rohwelt,-6.651659,0.39222,0.764985,38777.56371,0.412673,0.598931,0.10783,-0.105009,0.002657,1,0
SOL_2025_STRESS,100,68,randlastige_sinneslage->randlastige_sinneslage,bewegungsreiche_rohwelt,12.766454,0.409973,0.752611,45415.84593,0.494906,0.596474,0.12343,0.176991,-0.00221,1,0
SOL_2025_STRESS,100,74,normale_weltspannung->randlastige_sinneslage,bewegungsreiche_rohwelt,17.539594,0.642198,1.139284,95912.52255,0.466118,0.599919,0.119236,0.056824,0.008995,1,0
