source,world,data_file,pair,events,tick_min,tick_mid,tick_max,chart_zone,dominant_movement,typology,reference_state,main_return_pct,main_range_pct,before_return_pct,after_return_pct,pressure_delta_abs_avg,rekopplung_delta_abs_avg,note,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
LONG_2025_15M,LONG2025_15M_SOL_STRESS_4000,data\kontrolliert_long_sol_2025_15m_stress_4000.csv,183drjy->1t5bcxp,20,134,2161,3979,abverkauf_getragen,bewegungsbruch_zone,abverkauf_mit_bruch,known_reference_type,-36.805556,42.974387,0.832121,-7.491973,0.06891,0.025024,Abverkauf wird als Bewegungsbruch oder Druckbruch gelesen.,1,0,0,0,0,0,0
LONG_2025_5M,LONG2025_5M_SOL_STRESS_4000,data\kontrolliert_long_sol_2025_5m_stress_4000.csv,183drjy->1t5bcxp,28,473,1480,3976,abverkauf_getragen,bewegungsbruch_zone,abverkauf_mit_bruch,known_reference_type,-17.098858,30.533676,-1.29717,-1.697448,0.059726,0.018752,Abverkauf wird als Bewegungsbruch oder Druckbruch gelesen.,1,0,0,0,0,0,0
LONG_2024_5M,LONG2024_5M_SOL_STRESS_4000,data\kontrolliert_long_sol_2024_5m_stress_4000.csv,183drjy->1t5bcxp,5,2406,2709,3426,abverkauf_getragen,rekopplungs_uebergang,abverkauf_mit_rekopplung,known_reference_type,-9.208984,15.273437,0.421651,-1.731555,0.069593,0.027954,"Abverkauf wird nicht nur als Fall gelesen, sondern mit Rekopplungsanteil getragen.",1,0,0,0,0,0,0
LONG_2024_5M,LONG2024_5M_SOL_STRESS_4000,data\kontrolliert_long_sol_2024_5m_stress_4000.csv,1t5bcxp->183drjy,7,2404,2710,3477,abverkauf_getragen,rekopplungs_uebergang,abverkauf_mit_rekopplung,known_reference_type,-10.795233,19.851504,-0.019533,-0.120469,0.037984,0.010437,"Abverkauf wird nicht nur als Fall gelesen, sondern mit Rekopplungsanteil getragen.",1,0,0,0,0,0,0
LONG_2025_15M,LONG2025_15M_BTC_QUIET_4000,data\kontrolliert_long_btc_2025_15m_quiet_4000.csv,1t5bcxp->183drjy,28,723,2661,3816,abverkauf_getragen,rekopplungs_uebergang,abverkauf_mit_rekopplung,known_reference_type,-3.810866,10.623678,0.327889,-0.013566,0.05156,0.018723,"Abverkauf wird nicht nur als Fall gelesen, sondern mit Rekopplungsanteil getragen.",1,0,0,0,0,0,0
LONG_2025_15M,LONG2025_15M_BTC_STRESS_4000,data\kontrolliert_long_btc_2025_15m_stress_4000.csv,1t5bcxp->183drjy,19,894,1573,3647,abverkauf_getragen,rekopplungs_uebergang,abverkauf_mit_rekopplung,known_reference_type,-10.193232,22.125853,-0.318111,-0.640661,0.049321,0.016383,"Abverkauf wird nicht nur als Fall gelesen, sondern mit Rekopplungsanteil getragen.",1,0,0,0,0,0,0
LONG_2025_15M,LONG2025_15M_SOL_STRESS_4000,data\kontrolliert_long_sol_2025_15m_stress_4000.csv,1t5bcxp->183drjy,22,132,2133,3955,abverkauf_getragen,rekopplungs_uebergang,abverkauf_mit_rekopplung,known_reference_type,-36.414755,42.869996,0.921638,-0.856031,0.056836,0.025916,"Abverkauf wird nicht nur als Fall gelesen, sondern mit Rekopplungsanteil getragen.",1,0,0,0,0,0,0
LONG_2025_5M,LONG2025_5M_BTC_STRESS_4000,data\kontrolliert_long_btc_2025_5m_stress_4000.csv,1t5bcxp->183drjy,20,2125,3080,3952,abverkauf_getragen,rekopplungs_uebergang,abverkauf_mit_rekopplung,known_reference_type,-6.169117,10.763185,-0.697348,0.162612,0.044555,0.015869,"Abverkauf wird nicht nur als Fall gelesen, sondern mit Rekopplungsanteil getragen.",1,0,0,0,0,0,0
LONG_2025_1H,LONG2025_SOL_STRESS_4000,data\kontrolliert_long_sol_2025_1h_stress_4000.csv,1t5bcxp->183drjy,17,322,1446,2431,abverkauf_getragen,rekopplungs_uebergang,abverkauf_mit_rekopplung,known_reference_type,-37.809187,61.652364,1.377457,-1.034903,0.051483,0.018494,"Abverkauf wird nicht nur als Fall gelesen, sondern mit Rekopplungsanteil getragen.",1,0,0,0,0,0,0
LONG_2024_15M,LONG2024_15M_SOL_QUIET_4000,data\kontrolliert_long_sol_2024_15m_quiet_4000.csv,183drjy->1t5bcxp,20,1671,3588,3742,gerichtete_uebergangsbewegung,bewegungsbruch_zone,gerichtete_bewegung_mit_bruch,known_reference_type,20.07336,31.890104,0.943739,-1.341639,0.066661,0.021382,"Richtung laeuft, aber das MCM-Feld liest Bruch oder Umordnung.",1,0,0,0,0,0,0
LONG_2024_5M,LONG2024_5M_BTC_QUIET_4000,data\kontrolliert_long_btc_2024_5m_quiet_4000.csv,183drjy->1t5bcxp,24,1620,2762,3871,gerichtete_uebergangsbewegung,bewegungsbruch_zone,gerichtete_bewegung_mit_bruch,known_reference_type,1.115271,5.874207,-0.54787,0.104098,0.069925,0.019541,"Richtung laeuft, aber das MCM-Feld liest Bruch oder Umordnung.",1,0,0,0,0,0,0
LONG_2025_5M,LONG2025_5M_BTC_STRESS_4000,data\kontrolliert_long_btc_2025_5m_stress_4000.csv,183drjy->1t5bcxp,16,2404,3096,3924,gerichtete_uebergangsbewegung,bewegungsbruch_zone,gerichtete_bewegung_mit_bruch,known_reference_type,-5.889823,8.950316,-1.14125,0.803639,0.061348,0.017117,"Richtung laeuft, aber das MCM-Feld liest Bruch oder Umordnung.",1,0,0,0,0,0,0
LONG_2025_1H,LONG2025_SOL_STRESS_4000,data\kontrolliert_long_sol_2025_1h_stress_4000.csv,183drjy->1t5bcxp,22,327,1572,3766,gerichtete_uebergangsbewegung,bewegungsbruch_zone,gerichtete_bewegung_mit_bruch,known_reference_type,-43.321558,61.636807,-0.443793,7.58329,0.055054,0.015846,"Richtung laeuft, aber das MCM-Feld liest Bruch oder Umordnung.",1,0,0,0,0,0,0
LONG_2024_15M,LONG2024_15M_SOL_QUIET_4000,data\kontrolliert_long_sol_2024_15m_quiet_4000.csv,1t5bcxp->183drjy,18,1689,3261,3671,gerichtete_uebergangsbewegung,rekopplungs_uebergang,gerichtete_bewegung_mit_rekopplung,known_reference_type,19.822883,30.038966,1.088591,-1.170697,0.052709,0.017809,Richtung laeuft und koppelt im Feld wieder an.,1,0,0,0,0,0,0
