world,block_index,base_sequence,adapted_lage,base_zentrum,base_rand,base_rekopplung,base_strain,adapted_zentrum,adapted_rand,adapted_rekopplung,adapted_strain
SOL_2023_NEG,1,ruhig_zentrumsnah->randlastige_sinneslage,offen_suchend,0.68,0.015,0.70915,0.152717,0.69,0.005,0.710576,0.150677
SOL_2023_NEG,2,randlastige_sinneslage->normale_weltspannung,normale_weltspannung,0.735,0.005,0.71109,0.150367,0.74,0.0,0.711965,0.14915
SOL_2023_NEG,3,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.77,0.0,0.713012,0.147536,0.775,0.0,0.713537,0.146816
SOL_2023_NEG,4,normale_weltspannung->offen_suchend,offen_suchend,0.645,0.0,0.708196,0.153465,0.67,0.0,0.709482,0.151725
SOL_2023_NEG,5,offen_suchend->normale_weltspannung,leise_duenn,0.755,0.01,0.711709,0.148255,0.765,0.005,0.712556,0.147109
SOL_2023_NEG,6,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.705,0.0,0.709729,0.151791,0.705,0.0,0.710745,0.1504
SOL_2023_NEG,7,normale_weltspannung->offen_suchend,offen_suchend,0.625,0.005,0.706704,0.154542,0.625,0.0,0.708067,0.15269
SOL_2023_NEG,8,offen_suchend->randlastige_sinneslage,offen_suchend,0.675,0.015,0.708255,0.153317,0.685,0.0,0.709575,0.151549
SOL_2023_NEG,9,randlastige_sinneslage->ruhig_zentrumsnah,ruhig_zentrumsnah,0.86,0.0,0.715291,0.144067,0.86,0.0,0.71575,0.143414
SOL_2023_NEG,10,ruhig_zentrumsnah->lauter_feldkontakt,lauter_feldkontakt,0.725,0.005,0.711014,0.150463,0.735,0.005,0.711717,0.149478
SOL_2023_NEG,11,lauter_feldkontakt->randlastige_sinneslage,randlastige_sinneslage,0.7,0.025,0.708622,0.153349,0.705,0.015,0.709608,0.151968
SOL_2023_NEG,12,randlastige_sinneslage->offen_suchend,offen_suchend,0.645,0.01,0.70639,0.155786,0.66,0.005,0.707834,0.15384
SOL_2023_NEG,13,offen_suchend->offen_suchend,offen_suchend,0.675,0.005,0.708992,0.15286,0.685,0.0,0.710069,0.151373
SOL_2023_NEG,14,offen_suchend->randlastige_sinneslage,normale_weltspannung,0.73,0.015,0.708843,0.152254,0.735,0.005,0.710249,0.150319
SOL_2023_NEG,15,randlastige_sinneslage->normale_weltspannung,normale_weltspannung,0.74,0.0,0.710908,0.149914,0.75,0.0,0.711742,0.14879
SOL_2023_NEG,16,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.73,0.005,0.710945,0.150412,0.735,0.0,0.711711,0.149352
SOL_2023_NEG,17,normale_weltspannung->offen_suchend,offen_suchend,0.635,0.005,0.709313,0.152477,0.635,0.0,0.710189,0.151271
SOL_2023_NEG,18,offen_suchend->normale_weltspannung,normale_weltspannung,0.745,0.0,0.711943,0.148708,0.75,0.0,0.712751,0.147579
SOL_2023_NEG,19,normale_weltspannung->normale_weltspannung,normale_weltspannung,0.8,0.0,0.713659,0.146297,0.805,0.0,0.71435,0.145318
SOL_2023_NEG,20,normale_weltspannung->lauter_feldkontakt,lauter_feldkontakt,0.695,0.01,0.707668,0.154696,0.71,0.0,0.708991,0.15284
SOL_2023_NEG,21,lauter_feldkontakt->randlastige_sinneslage,offen_suchend,0.62,0.015,0.705803,0.156633,0.625,0.01,0.7071,0.154834
SOL_2023_NEG,22,randlastige_sinneslage->randlastige_sinneslage,randlastige_sinneslage,0.575,0.02,0.703142,0.160303,0.58,0.015,0.7051,0.157584
SOL_2023_NEG,23,randlastige_sinneslage->offen_suchend,offen_suchend,0.67,0.005,0.707983,0.153551,0.68,0.0,0.70915,0.151988
SOL_2023_NEG,24,offen_suchend->offen_suchend,offen_suchend,0.64,0.005,0.706969,0.155555,0.645,0.0,0.708111,0.154031
SOL_2023_NEG,25,offen_suchend->randlastige_sinneslage,offen_suchend,0.615,0.025,0.705432,0.157271,0.62,0.005,0.706958,0.155195
