source,world,data_file,pair,events,tick_min,tick_mid,tick_max,chart_zone,dominant_movement,typology,reference_state,main_return_pct,main_range_pct,before_return_pct,after_return_pct,pressure_delta_abs_avg,rekopplung_delta_abs_avg,note,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
KAS_GEGENPROBE,KAS2024_15M_ASSET_PROBE,data\kontrolliert_kas_2024_15m_test1_2000_KASUSDT.csv,183drjy->1t5bcxp,2,1970,1970,1982,ruhige_konsolidierung,bewegungsbruch_zone,konsolidierung_mit_bruchnaehe,known_reference_type,0.289687,1.602935,0.8081,0.13481,0.043764,0.002671,Konsolidierung zeigt Bruchnaehe oder gespannte Struktur.,1,0,0,0,0,0,0
KAS_GEGENPROBE,KAS2024_1H_ASSET_PROBE,data\kontrolliert_kas_2024_1h_test1_2000_KASUSDT.csv,183drjy->1t5bcxp,7,447,907,1665,rekopplung_nach_abverkauf,bewegungsbruch_zone,rekopplung_nach_abverkauf,new_or_extended_type,48.426102,97.841511,-7.710043,3.31157,0.115673,0.026035,Nach einem Abverkauf entsteht ein lokales Rekopplungsfenster.,1,0,0,0,0,0,0
KAS_GEGENPROBE,KAS2024_1H_ASSET_PROBE,data\kontrolliert_kas_2024_1h_test1_2000_KASUSDT.csv,1t5bcxp->183drjy,6,444,822,1656,rekopplung_nach_abverkauf,rekopplungs_uebergang,rekopplung_nach_abverkauf,new_or_extended_type,46.735395,96.131566,-5.669291,-2.74376,0.055481,0.018414,Nach einem Abverkauf entsteht ein lokales Rekopplungsfenster.,1,0,0,0,0,0,0
