world,symbol_family,mcm_episode_preview,count,rekopplung,strain,sensory_coupling
PAXG_2024_5M_SHORT,dio_104t,dio_mcm_episode_1jx2k4i,56,0.725719,0.148689,0.85398
PAXG_2024_5M_SHORT,dio_14wj,dio_mcm_episode_1jx2k4i,37,0.738967,0.131778,0.872022
PAXG_2024_5M_SHORT,dio_14wj,dio_mcm_episode_1q3us3f,35,0.742887,0.129659,0.873982
PAXG_2024_5M_SHORT,dio_104t,dio_mcm_episode_1q3us3f,31,0.730444,0.144726,0.857587
PAXG_2024_5M_SHORT,dio_0l7p,dio_mcm_episode_1jx2k4i,29,0.727359,0.133827,0.862682
PAXG_2024_5M_10K,dio_104t,dio_mcm_episode_1eju9g0,265,0.730856,0.14998,0.856634
PAXG_2024_5M_10K,dio_14wj,dio_mcm_episode_1eju9g0,181,0.745533,0.130201,0.874833
PAXG_2024_5M_10K,dio_104t,dio_mcm_episode_1hdpu9s,150,0.728675,0.148197,0.855359
PAXG_2024_5M_10K,dio_14wj,dio_mcm_episode_1hdpu9s,124,0.742504,0.131755,0.872548
PAXG_2024_5M_10K,dio_0m9z,dio_mcm_episode_1eju9g0,124,0.716144,0.16709,0.83873
PAXG_2025_5M_10K,dio_104t,dio_mcm_episode_1hdpu9s,229,0.732063,0.148531,0.858677
PAXG_2025_5M_10K,dio_14wj,dio_mcm_episode_1hdpu9s,188,0.743422,0.130462,0.873481
PAXG_2025_5M_10K,dio_14wj,dio_mcm_episode_1hs3jsa,148,0.746004,0.133571,0.875778
PAXG_2025_5M_10K,dio_14wj,dio_mcm_episode_1rxdw4p,138,0.742766,0.132016,0.874377
PAXG_2025_5M_10K,dio_104t,dio_mcm_episode_0e7qvj1,131,0.727961,0.149051,0.853273
PAXG_2024_1H_10K,dio_104t,dio_mcm_episode_0b7nep9,286,0.725186,0.149061,0.847434
PAXG_2024_1H_10K,dio_155c,dio_mcm_episode_0b7nep9,181,0.71877,0.156615,0.848477
PAXG_2024_1H_10K,dio_0m9z,dio_mcm_episode_0b7nep9,170,0.711716,0.165329,0.827882
PAXG_2024_1H_10K,dio_0l7p,dio_mcm_episode_0b7nep9,133,0.730279,0.135603,0.858691
PAXG_2024_1H_10K,dio_104t,dio_mcm_episode_1joiyc3,129,0.722388,0.150415,0.847306
PAXG_2025_1H_10K,dio_104t,dio_mcm_episode_0b7nep9,183,0.724609,0.149033,0.84792
PAXG_2025_1H_10K,dio_104t,dio_mcm_episode_0e7qvj1,155,0.724578,0.149263,0.847929
PAXG_2025_1H_10K,dio_155c,dio_mcm_episode_0b7nep9,119,0.719152,0.155844,0.850523
PAXG_2025_1H_10K,dio_0l7p,dio_mcm_episode_0b7nep9,111,0.731231,0.136066,0.85981
PAXG_2025_1H_10K,dio_0m9z,dio_mcm_episode_0b7nep9,110,0.711237,0.164263,0.829212
