group,asset,n,avg_rekopplung,avg_strain,avg_stable_share,avg_unrest_share,avg_tilt_share,top_families
10K_5M_HARD,BTC,2,0.704295,0.156696,0.835501,0.154042,0.010457,dio_104t|dio_104t
10K_5M_HARD,PAXG,2,0.714143,0.152119,0.876076,0.117171,0.006754,dio_104t|dio_104t
2K_5M_BROAD,BTC,1,0.695686,0.154998,0.793882,0.197091,0.009027,dio_104t
2K_5M_BROAD,KAS,1,0.693981,0.156209,0.778335,0.212638,0.009027,dio_104t
2K_5M_BROAD,PAXG,1,0.703694,0.15202,0.831494,0.161484,0.007021,dio_104t
2K_5M_BROAD,SOL,1,0.693318,0.157341,0.754263,0.237212,0.008526,dio_104t
1H_LONG,BTC,1,0.706716,0.152034,0.807174,0.18483,0.007996,dio_104t
1H_LONG,PAXG,2,0.705512,0.15273,0.801005,0.193636,0.00536,dio_104t|dio_104t
