typology,count,reference_state,sources,worlds,movements,avg_return_pct,avg_range_pct,avg_pressure_abs,avg_rekopplung_abs,note,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
abverkauf_mit_rekopplung,7,known_reference_type,LONG_2025_15M:3 | LONG_2024_5M:2 | LONG_2025_1H:1 | LONG_2025_5M:1,LONG2024_5M_SOL_STRESS_4000:2 | LONG2025_SOL_STRESS_4000:1 | LONG2025_15M_BTC_QUIET_4000:1 | LONG2025_15M_BTC_STRESS_4000:1 | LONG2025_15M_SOL_STRESS_4000:1 | LONG2025_5M_BTC_STRESS_4000:1,rekopplungs_uebergang:7,-16.343053,26.165717,0.051619,0.019111,"Abverkauf wird nicht nur als Fall gelesen, sondern mit Rekopplungsanteil getragen.",1,0,0,0,0,0,0
getragene_expansion,5,known_reference_type,LONG_2024_15M:3 | LONG_2025_1H:2,LONG2025_BTC_STRESS_4000:2 | LONG2024_15M_BTC_STRESS_4000:2 | LONG2024_15M_SOL_STRESS_4000:1,rekopplungs_uebergang:3 | bewegungsbruch_zone:1 | druck_uebergang:1,24.055575,35.201744,0.059705,0.021734,Expansion bleibt ueber das Fenster getragen.,1,0,0,0,0,0,0
gerichtete_bewegung_mit_bruch,4,known_reference_type,LONG_2025_1H:1 | LONG_2025_5M:1 | LONG_2024_15M:1 | LONG_2024_5M:1,LONG2025_SOL_STRESS_4000:1 | LONG2025_5M_BTC_STRESS_4000:1 | LONG2024_15M_SOL_QUIET_4000:1 | LONG2024_5M_BTC_QUIET_4000:1,bewegungsbruch_zone:4,-7.005688,27.087858,0.063247,0.018472,"Richtung laeuft, aber das MCM-Feld liest Bruch oder Umordnung.",1,0,0,0,0,0,0
gerichtete_bewegung_mit_rekopplung,4,known_reference_type,LONG_2025_5M:2 | LONG_2025_15M:1 | LONG_2024_15M:1,LONG2025_5M_BTC_QUIET_4000:2 | LONG2025_15M_BTC_QUIET_4000:1 | LONG2024_15M_SOL_QUIET_4000:1,rekopplungs_uebergang:4,4.737651,12.69461,0.052582,0.019147,Richtung laeuft und koppelt im Feld wieder an.,1,0,0,0,0,0,0
abverkauf_mit_bruch,2,known_reference_type,LONG_2025_15M:1 | LONG_2025_5M:1,LONG2025_15M_SOL_STRESS_4000:1 | LONG2025_5M_SOL_STRESS_4000:1,bewegungsbruch_zone:2,-26.952207,36.754031,0.064318,0.021888,Abverkauf wird als Bewegungsbruch oder Druckbruch gelesen.,1,0,0,0,0,0,0
konsolidierung_mit_rekopplung,1,known_reference_type,LONG_2024_5M:1,LONG2024_5M_BTC_QUIET_4000:1,rekopplungs_uebergang:1,0.013527,5.812442,0.069053,0.023049,Seitwaerts-/Ruhefenster traegt Rekopplung statt reiner Ruhe.,1,0,0,0,0,0,0
weite_volatilitaetszone,17,new_or_extended_type,LONG_2025_1H:4 | LONG_2024_5M:4 | LONG_2025_15M:3 | LONG_2025_5M:3 | LONG_2024_15M:3,LONG2025_BTC_QUIET_4000:2 | LONG2025_SOL_QUIET_4000:2 | LONG2025_15M_SOL_QUIET_4000:2 | LONG2025_5M_SOL_QUIET_4000:2 | LONG2024_15M_BTC_QUIET_4000:2 | LONG2024_5M_BTC_STRESS_4000:2 | LONG2024_5M_SOL_QUIET_4000:2 | LONG2025_15M_BTC_STRESS_4000:1,rekopplungs_uebergang:10 | bewegungsbruch_zone:6 | druck_uebergang:1,2.772644,29.38524,0.050974,0.018031,Das Fenster traegt breite Bewegung ohne eindeutige Richtung.,1,0,0,0,0,0,0
