visual_form,field_quality,source_file,world,pair,typology,chart_zone,dominant_movement,return_pct,range_pct,before_return_pct,after_return_pct,pressure_abs,rekopplung_abs,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
fallender_strukturbruch,schmale_offene_lage,1013_MCM_ACHSE_TYPEN_WIEDERKEHR_ASSET_ZEIT_DETAILS.csv,SOL_2024_30M,183drjy->1t5bcxp,abverkauf_mit_bruch,abverkauf_getragen,offene_uebergangszone,-3.229713,5.308841,-0.492116,0.34418,0.059744,0.014851,1,0,0,0,0,0,0
fallender_strukturbruch,schmale_offene_lage,1013_MCM_ACHSE_TYPEN_WIEDERKEHR_ASSET_ZEIT_DETAILS.csv,SOL_2024_30M,1t5bcxp->183drjy,abverkauf_mit_bruch,abverkauf_getragen,offene_uebergangszone,-5.078792,6.002208,-0.429785,0.412393,0.066932,0.017988,1,0,0,0,0,0,0
weite_aufwaerts_expansion,druckgetragene_weite,1013_MCM_ACHSE_TYPEN_WIEDERKEHR_ASSET_ZEIT_DETAILS.csv,KAS_2024_30M,183drjy->1t5bcxp,getragene_expansion,expansion_getragen,bewegungsbruch_zone,33.575069,39.063113,3.20623,1.350062,0.138771,0.029117,1,0,0,0,0,0,0
weite_aufwaerts_expansion,druckgetragene_weite,1013_MCM_ACHSE_TYPEN_WIEDERKEHR_ASSET_ZEIT_DETAILS.csv,SOL_2024_1H,183drjy->1t5bcxp,getragene_expansion,expansion_getragen,offene_uebergangszone,40.518749,52.613173,5.861183,1.845835,0.082388,0.014259,1,0,0,0,0,0,0
weite_aufwaerts_expansion,druckgetragene_weite,1013_MCM_ACHSE_TYPEN_WIEDERKEHR_ASSET_ZEIT_DETAILS.csv,SOL_2024_1H,1t5bcxp->183drjy,getragene_expansion,expansion_getragen,offene_uebergangszone,38.801476,52.602953,4.804071,2.903926,0.077712,0.016452,1,0,0,0,0,0,0
schmale_offene_transition,schmale_offene_lage,1013_MCM_ACHSE_TYPEN_WIEDERKEHR_ASSET_ZEIT_DETAILS.csv,BTC_2024_15M,1t5bcxp->183drjy,konsolidierung_mit_bruchnaehe,ruhige_konsolidierung,offene_uebergangszone,-0.844699,1.456743,0.742164,0.457329,0.036316,0.013302,1,0,0,0,0,0,0
schmale_offene_transition,schmale_offene_lage,1013_MCM_ACHSE_TYPEN_WIEDERKEHR_ASSET_ZEIT_DETAILS.csv,BTC_2024_5M,1t5bcxp->183drjy,konsolidierung_mit_bruchnaehe,konsolidierung_mit_spannung,offene_uebergangszone,0.250338,2.862767,0.180383,-0.115682,0.060363,0.01108,1,0,0,0,0,0,0
schmale_offene_transition,schmale_offene_lage,1013_MCM_ACHSE_TYPEN_WIEDERKEHR_ASSET_ZEIT_DETAILS.csv,SOL_2024_15M,183drjy->1t5bcxp,konsolidierung_mit_bruchnaehe,konsolidierung_mit_spannung,offene_uebergangszone,-0.845797,7.828778,1.000104,-1.581192,0.052222,0.01511,1,0,0,0,0,0,0
schmale_offene_transition,starke_rekopplungsbindung,1013_MCM_ACHSE_TYPEN_WIEDERKEHR_ASSET_ZEIT_DETAILS.csv,SOL_2024_5M,1t5bcxp->183drjy,konsolidierung_mit_bruchnaehe,ruhige_konsolidierung,offene_uebergangszone,-0.074365,0.754276,-0.444209,-4.816587,0.068846,0.027083,1,0,0,0,0,0,0
schmale_offene_transition,schmale_offene_lage,1013_MCM_ACHSE_TYPEN_WIEDERKEHR_ASSET_ZEIT_DETAILS.csv,BTC_2024_5M,183drjy->1t5bcxp,konsolidierung_unter_druck,konsolidierung_mit_spannung,druck_uebergang,0.310162,2.863132,0.138286,-0.116331,0.089113,0.010302,1,0,0,0,0,0,0
