world,pairs_total,dio_00ly_to_dio_104t,dio_104t_to_dio_00ly,direction_balance,neighborhood_cosine,jaccard_ge3,families_a_ge3,families_b_ge3,overlap_ge3,network_state,top_a,top_b,a_tone_delta,b_tone_delta,a_rec_delta,b_rec_delta,a_tension_delta,b_tension_delta
PAXG 2024 5m 10k,384,196,188,0.959184,0.948026,0.675258,169,156,131,kopplung_geteilter_raum,dio_14wj:126;dio_0l7p:104;dio_0h9h:102;dio_0m9z:96;dio_1u5i:94;dio_1ewh:74;dio_0oc3:64;dio_00ja:64,dio_14wj:178;dio_1u5i:114;dio_0l7p:108;dio_155c:92;dio_0m9z:84;dio_1kpz:78;dio_0h9h:74;dio_0oc3:70,-0.1348,0.153559,-0.002746,0.000274,-0.000814,0.002329
DOGE 2024 5m 10k,518,236,282,0.836879,0.982478,0.669811,168,186,142,kopplung_geteilter_raum,dio_0l7p:214;dio_0m9z:198;dio_155c:176;dio_0h9h:142;dio_14wj:114;dio_0oc3:88;dio_1lsu:70;dio_0nlj:68,dio_0l7p:296;dio_0m9z:252;dio_155c:234;dio_0h9h:156;dio_14wj:124;dio_17ct:104;dio_0oc3:96;dio_0nlj:76,-0.112777,0.152818,-0.002894,0.001719,-0.000314,0.000113
XRP 2024 5m 10k,488,176,312,0.564103,0.965122,0.652381,159,188,137,kopplung_geteilter_raum,dio_0l7p:144;dio_0m9z:138;dio_155c:128;dio_0h9h:84;dio_14wj:80;dio_0oc3:62;dio_17ct:60;dio_1q85:52,dio_155c:316;dio_0l7p:304;dio_0m9z:252;dio_14wj:154;dio_0h9h:134;dio_06er:92;dio_1ewh:80;dio_1lsu:78,-0.098789,0.162474,-0.003128,0.00153,0.002151,0.000409
BTC 2024 5m 2k,98,36,62,0.580645,0.93643,0.580247,50,78,47,kopplung_geteilter_raum,dio_0m9z:46;dio_155c:36;dio_0l7p:30;dio_0h9h:22;dio_14wj:20;dio_0tay:16;dio_1u5i:12;dio_1kpz:12,dio_155c:54;dio_0m9z:52;dio_0l7p:46;dio_0h9h:36;dio_1u5i:36;dio_14wj:34;dio_1kpz:28;dio_0obq:24,-0.157672,0.145971,0.004671,-0.005504,-0.004424,0.003698
SOL 2024 5m 2k,84,32,52,0.615385,0.866232,0.392157,57,85,40,kopplung_geteilter_raum,dio_0m9z:36;dio_155c:32;dio_0h9h:24;dio_0pz6:18;dio_06s7:16;dio_0obq:14;dio_0l7p:14;dio_0oc3:10,dio_155c:46;dio_0h9h:42;dio_0m9z:36;dio_0pz6:30;dio_0l7p:28;dio_0tay:20;dio_0oc3:16;dio_06s7:16,-0.081525,0.116191,0.006495,-0.004437,-0.002592,-0.004108
PAXG 2024 1h 10k,506,224,282,0.794326,0.968773,0.614108,190,199,148,kopplung_geteilter_raum,dio_155c:196;dio_0l7p:164;dio_0h9h:132;dio_0m9z:126;dio_14wj:110;dio_1ewh:86;dio_1lsu:82;dio_0obq:76,dio_155c:240;dio_0m9z:240;dio_0l7p:192;dio_0h9h:172;dio_14wj:142;dio_1lsu:108;dio_1ewh:98;dio_0obq:96,-0.114083,0.126994,-0.001364,0.00364,0.000136,-0.002279
DOGE 2024 1h 10k,464,202,262,0.770992,0.985903,0.576531,146,163,113,kopplung_geteilter_raum,dio_155c:244;dio_0l7p:174;dio_0m9z:160;dio_0h9h:136;dio_14wj:116;dio_00ja:62;dio_0dd2:60;dio_1q85:58,dio_155c:322;dio_0l7p:262;dio_0m9z:208;dio_0h9h:176;dio_14wj:174;dio_1lsu:90;dio_1q85:80;dio_00ja:78,-0.141212,0.148812,-0.001782,0.000374,0.000374,-0.000218
XRP 2024 1h 10k,462,192,270,0.711111,0.980889,0.616667,132,159,111,kopplung_geteilter_raum,dio_0l7p:210;dio_155c:178;dio_0m9z:172;dio_14wj:108;dio_0h9h:90;dio_06er:86;dio_0dd2:78;dio_1lsu:68,dio_0l7p:342;dio_155c:276;dio_0m9z:258;dio_14wj:186;dio_0h9h:144;dio_06er:126;dio_0dd2:124;dio_03uk:70,-0.166911,0.195049,-0.001261,0.000128,-0.000894,0.001382
BTC 2024 1h 2k,130,48,82,0.585366,0.951307,0.580645,59,88,54,kopplung_geteilter_raum,dio_155c:58;dio_0m9z:34;dio_0l7p:30;dio_14wj:30;dio_06er:20;dio_0h9h:20;dio_1lsu:16;dio_0oc3:14,dio_155c:128;dio_0m9z:82;dio_0l7p:72;dio_14wj:62;dio_0h9h:42;dio_0pz6:28;dio_0oc3:26;dio_1lsu:22,-0.108038,0.21361,0.000922,-0.005679,-0.003771,0.003808
SOL 2024 1h 2k,80,40,40,1.0,0.888738,0.377551,65,70,37,kopplung_geteilter_raum,dio_155c:42;dio_0m9z:38;dio_0l7p:24;dio_0h9h:24;dio_19pg:20;dio_0obq:14;dio_1ewh:12;dio_14wj:12,dio_0m9z:56;dio_155c:48;dio_0l7p:26;dio_0oc3:22;dio_0h9h:22;dio_14wj:20;dio_06er:16;dio_1lsu:14,-0.151243,0.145485,6e-06,-0.00233,-0.00107,-0.00022
