holdout_group,asset,world,source_file,scale,block_index,start_tick,end_tick,base_sequence,candidate_score,pre_raw_class,during_raw_class,post_raw_class,pre_move_pct,during_move_pct,post_move_pct,pre_range,during_range,post_range,pre_hoeren,during_hoeren,post_hoeren,pre_sicht,during_sicht,post_sicht,pre_druck,during_druck,post_druck,range_narrows_vs_pre,hearing_rises_vs_pre,pressure_rises_vs_pre,passive_only,influences_action,phase_role,compact_sensory_phase
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,100,34,3400,3500,normale_weltspannung->normale_weltspannung,0.302559,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.101303,-1.176312,0.677294,0.150636,0.150307,0.120477,0.446872,0.45214,0.4078,0.690861,0.692102,0.71203,0.111358,0.111922,0.100037,1,1,1,1,0,rueckbindung_in_normale_weltspannung,1
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,400,8,3200,3600,offen_suchend->normale_weltspannung,0.296384,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-2.613333,0.739321,0.122316,0.266431,0.151857,0.117548,0.395253,0.449009,0.46586,0.667393,0.691445,0.696628,0.100708,0.111085,0.114041,1,1,1,1,0,rueckbindung_in_normale_weltspannung,1
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,100,33,3300,3400,lauter_feldkontakt->normale_weltspannung,0.295157,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,1.362267,-0.101303,-1.176312,0.186008,0.150636,0.150307,0.489222,0.446872,0.45214,0.670785,0.690861,0.692102,0.121022,0.111358,0.111922,1,0,0,1,0,rueckbindung_in_normale_weltspannung,0
CONTRAST,XRP,XRP_2024_5M_CONTRAST,data\kontrolliert_xrp_2024_5m_10k_XRPUSDT.csv,100,97,9700,9800,offen_suchend->normale_weltspannung,0.289542,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,2.619141,-0.74856,-1.005414,0.292849,0.175028,0.140524,0.440753,0.461316,0.424248,0.637328,0.66287,0.694789,0.112189,0.114867,0.107331,1,1,1,1,0,rueckbindung_in_normale_weltspannung,1
CONTRAST,SOL,SOL_2025_STRESS,data\kontrolliert_2025_stress_10k_5m_SOLUSDT.csv,200,16,3200,3400,ruhig_zentrumsnah->normale_weltspannung,0.287381,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-0.00515,-0.798228,-2.252907,0.216043,0.18733,0.259269,0.384591,0.462482,0.4792,0.682138,0.701633,0.668593,0.096079,0.113894,0.119275,1,1,1,1,0,rueckbindung_in_normale_weltspannung,1
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,400,9,3600,4000,normale_weltspannung->normale_weltspannung,0.273282,gemischte_rohwelt,bewegungsreiche_rohwelt,bewegungsreiche_rohwelt,0.677294,3.818973,-3.095752,0.120477,0.183341,0.313557,0.4078,0.463605,0.466796,0.71203,0.682093,0.641499,0.100037,0.114223,0.11643,0,1,1,1,0,rueckbindung_in_normale_weltspannung,0
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,100,96,9600,9700,normale_weltspannung->normale_weltspannung,0.261012,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-1.119701,0.868159,-0.657578,0.187423,0.174268,0.211978,0.434409,0.453295,0.387702,0.667415,0.673626,0.679543,0.107512,0.111657,0.09845,1,1,1,1,0,rueckbindung_in_normale_weltspannung,1
HOLDOUT2,SOL,SOL_2023_ALT_A_FOLLOW,data\kontrolliert_2023_altseq_a_follow_10k_5m_SOLUSDT.csv,100,89,8900,9000,normale_weltspannung->normale_weltspannung,0.25991,gemischte_rohwelt,gemischte_rohwelt,gemischte_rohwelt,-1.926692,0.0,-0.958313,0.222135,0.173978,0.226789,0.430945,0.452312,0.452814,0.685096,0.670602,0.642828,0.107377,0.114272,0.113333,1,1,1,1,0,rueckbindung_in_normale_weltspannung,1
HOLDOUT1,SOL,SOL_2025_REC,data\kontrolliert_2025_positive_recovery_10k_5m_SOLUSDT.csv,100,47,4700,4800,randlastige_sinneslage->normale_weltspannung,0.250145,gemischte_rohwelt,gemischte_rohwelt,laute_oder_druckvolle_rohwelt,2.627471,-0.519645,-0.089178,0.306435,0.190931,0.211063,0.456492,0.453623,0.514753,0.636254,0.678924,0.665058,0.114065,0.111827,0.124781,1,0,0,1,0,rueckbindung_in_normale_weltspannung,0
HOLDOUT2,BTC,BTC_2024_5M,data\kontrolliert_btc_2024_5m_10k_BTCUSDT.csv,100,59,5900,6000,lauter_feldkontakt->normale_weltspannung,0.236136,laute_oder_druckvolle_rohwelt,gemischte_rohwelt,laute_oder_druckvolle_rohwelt,0.08533,-0.087652,-1.638639,0.043024,0.075657,0.130719,0.609422,0.460735,0.530051,0.693903,0.682531,0.68306,0.145789,0.114815,0.129712,0,0,0,1,0,rueckbindung_in_normale_weltspannung,0
