side,mode,count,avg_return_pct,avg_range_pct,avg_pressure_abs,avg_rekopplung_abs,topology_readings,axes,phase_hints,movement_types,node_state_pairs
bull,gerichtete_bewegung_mit_bruch,4,-7.005688,27.087858,0.063247,0.018472,zeitachse_mit_angrenzender_rollenbewegung:4,183drjy<->1t5bcxp:4,offenes_bull_fenster:3 | steigender_bruch:1,bewegungsbruch_zone:4,nichtbruecke_rekopplungsfeld<->nichtbruecke_zentrum_schwach:4
bull,gerichtete_bewegung_mit_rekopplung,4,4.737651,12.69461,0.052582,0.019147,zeitachse_mit_angrenzender_rollenbewegung:4,183drjy<->1t5bcxp:4,offenes_bull_fenster:3 | steigende_rekopplung:1,rekopplungs_uebergang:4,nichtbruecke_rekopplungsfeld<->nichtbruecke_zentrum_schwach:4
bull,getragene_expansion,8,29.146646,40.035995,0.074675,0.021062,zeitachse_mit_angrenzender_rollenbewegung:8,183drjy<->1t5bcxp:8,getragene_expansion:3 | steigende_rekopplung_getragen:3 | steigende_expansion_mit_bruch:2,rekopplungs_uebergang:3 | bewegungsbruch_zone:2 | offene_uebergangszone:2 | druck_uebergang:1,nichtbruecke_rekopplungsfeld<->nichtbruecke_zentrum_schwach:8
selloff,abverkauf_mit_bruch,4,-15.55323,21.204778,0.063828,0.019154,zeitachse_mit_angrenzender_rollenbewegung:4,183drjy<->1t5bcxp:4,fallender_bruch:2 | offenes_familienfenster:2,bewegungsbruch_zone:2 | offene_uebergangszone:2,nichtbruecke_rekopplungsfeld<->nichtbruecke_zentrum_schwach:4
selloff,abverkauf_mit_rekopplung,7,-16.343053,26.165717,0.051619,0.019111,zeitachse_mit_angrenzender_rollenbewegung:7,183drjy<->1t5bcxp:7,fallende_rekopplung:7,rekopplungs_uebergang:7,nichtbruecke_rekopplungsfeld<->nichtbruecke_zentrum_schwach:7
selloff,rekopplung_nach_abverkauf,4,59.870493,91.03631,0.091296,0.02023,zeitachse_mit_angrenzender_rollenbewegung:4,183drjy<->1t5bcxp:4,erholung_nach_abverkauf:4,druck_uebergang:1 | offene_uebergangszone:1 | bewegungsbruch_zone:1 | rekopplungs_uebergang:1,nichtbruecke_rekopplungsfeld<->nichtbruecke_zentrum_schwach:4
