world_class,left_family,right_family,left_tick,right_tick,delta_ticks,run,left_field,right_field
PAXG 2024 5m,dio_00ly,dio_0g2r,378,377,-1,dio_mini_lauf_1,offen,offen
PAXG 2024 5m,dio_00ly,dio_0g2r,490,482,-8,dio_mini_lauf_1,rekoppelt,offen
PAXG 2024 5m,dio_00ly,dio_0g2r,691,686,-5,dio_mini_lauf_1,rekoppelt,rekoppelt
PAXG 2024 5m,dio_00ly,dio_0g2r,1041,1051,10,dio_mini_lauf_1,rekoppelt,offen
PAXG 2024 5m,dio_00ly,dio_0g2r,1441,1439,-2,dio_mini_lauf_1,rekoppelt,rekoppelt
PAXG 2024 5m,dio_00ly,dio_0g2r,1539,1538,-1,dio_mini_lauf_1,rekoppelt,offen
PAXG 2024 5m,dio_00ly,dio_0g2r,1960,1957,-3,dio_mini_lauf_1,offen,kippnah
PAXG 2024 5m,dio_00ly,dio_0g2r,378,377,-1,dio_mini_lauf_2,offen,offen
PAXG 2024 5m,dio_0g2r,dio_1ewh,289,297,8,dio_mini_lauf_1,offen,offen
PAXG 2024 5m,dio_0g2r,dio_1ewh,504,508,4,dio_mini_lauf_1,offen,offen
PAXG 2024 5m,dio_0g2r,dio_1ewh,515,508,-7,dio_mini_lauf_1,offen,offen
PAXG 2024 5m,dio_0g2r,dio_1ewh,686,688,2,dio_mini_lauf_1,rekoppelt,kippnah
PAXG 2024 5m,dio_0g2r,dio_1ewh,833,835,2,dio_mini_lauf_1,offen,offen
PAXG 2024 5m,dio_0g2r,dio_1ewh,1051,1045,-6,dio_mini_lauf_1,offen,kippnah
PAXG 2024 5m,dio_0g2r,dio_1ewh,1439,1440,1,dio_mini_lauf_1,rekoppelt,offen
PAXG 2024 5m,dio_0g2r,dio_1ewh,289,297,8,dio_mini_lauf_2,offen,offen
PAXG 2024 5m,dio_1ewh,dio_104t,8,12,4,dio_mini_lauf_1,kippnah,kippnah
PAXG 2024 5m,dio_1ewh,dio_104t,218,212,-6,dio_mini_lauf_1,offen,offen
PAXG 2024 5m,dio_1ewh,dio_104t,222,212,-10,dio_mini_lauf_1,offen,offen
PAXG 2024 5m,dio_1ewh,dio_104t,297,307,10,dio_mini_lauf_1,offen,offen
PAXG 2024 5m,dio_1ewh,dio_104t,305,307,2,dio_mini_lauf_1,offen,offen
PAXG 2024 5m,dio_1ewh,dio_104t,358,351,-7,dio_mini_lauf_1,offen,rekoppelt
PAXG 2024 5m,dio_1ewh,dio_104t,396,392,-4,dio_mini_lauf_1,offen,rekoppelt
PAXG 2024 5m,dio_1ewh,dio_104t,402,411,9,dio_mini_lauf_1,offen,offen
PAXG 2024 5m,dio_00ly,dio_104t,11,12,1,dio_mini_lauf_1,offen,kippnah
PAXG 2024 5m,dio_00ly,dio_104t,98,102,4,dio_mini_lauf_1,rekoppelt,rekoppelt
PAXG 2024 5m,dio_00ly,dio_104t,99,102,3,dio_mini_lauf_1,rekoppelt,rekoppelt
PAXG 2024 5m,dio_00ly,dio_104t,228,238,10,dio_mini_lauf_1,offen,offen
PAXG 2024 5m,dio_00ly,dio_104t,352,351,-1,dio_mini_lauf_1,offen,rekoppelt
PAXG 2024 5m,dio_00ly,dio_104t,378,380,2,dio_mini_lauf_1,offen,kippnah
PAXG 2024 5m,dio_00ly,dio_104t,432,437,5,dio_mini_lauf_1,offen,offen
PAXG 2024 5m,dio_00ly,dio_104t,449,450,1,dio_mini_lauf_1,offen,kippnah
BTC 2024 1h,dio_00ly,dio_0g2r,183,178,-5,dio_mini_lauf_1,offen,offen
BTC 2024 1h,dio_00ly,dio_0g2r,501,509,8,dio_mini_lauf_1,offen,offen
BTC 2024 1h,dio_00ly,dio_0g2r,519,509,-10,dio_mini_lauf_1,kippnah,offen
BTC 2024 1h,dio_00ly,dio_0g2r,973,971,-2,dio_mini_lauf_1,rekoppelt,kippnah
BTC 2024 1h,dio_00ly,dio_0g2r,1418,1414,-4,dio_mini_lauf_1,kippnah,kippnah
BTC 2024 1h,dio_00ly,dio_0g2r,1476,1487,11,dio_mini_lauf_1,rekoppelt,kippnah
BTC 2024 1h,dio_00ly,dio_0g2r,183,178,-5,dio_mini_lauf_2,offen,offen
BTC 2024 1h,dio_00ly,dio_0g2r,501,509,8,dio_mini_lauf_2,offen,offen
