passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,meaning_edge,source_node,target_core,edge_kind,semantic_binding,role,world,family,preview,reference_signature_count,edge_weight,strain_delta_next,rekopplung_delta_next
1,0,0,0,0,0,0,dio_meaning_edge_337e32ce,dio_meaning_node_119d9d87,dio_semantic_core_d7a2159b,stark_semantisch_gekoppelt,family_and_preview,brueckennaehe,XRP_2024_5M,dio_104t,dio_mcm_episode_0e7qvj1,2,1.0,0.001875,0.001567
1,0,0,0,0,0,0,dio_meaning_edge_337e32ce,dio_meaning_node_119d9d87,dio_semantic_core_d7a2159b,stark_semantisch_gekoppelt,family_and_preview,brueckennaehe,XRP_2024_5M,dio_104t,dio_mcm_episode_0e7qvj1,2,1.0,-0.003419,0.005912
1,0,0,0,0,0,0,dio_meaning_edge_83dc13b0,dio_meaning_node_1c830c6d,dio_semantic_core_b96f8a28,stark_semantisch_gekoppelt,family_and_preview,zentrumsnaehe,DOGE_2024_5M,dio_104t,dio_mcm_episode_0b7nep9,1,1.0,0.010027,-0.015345
1,0,0,0,0,0,0,dio_meaning_edge_0a3c8444,dio_meaning_node_476ccc10,dio_semantic_core_d7a2159b,stark_semantisch_gekoppelt,family_and_preview,brueckennaehe,DOGE_2024_5M,dio_104t,dio_mcm_episode_0e7qvj1,1,1.0,-0.005233,0.002781
1,0,0,0,0,0,0,dio_meaning_edge_49684439,dio_meaning_node_5495a55c,dio_semantic_core_4705bcfe,semantisch_gekoppelt,family,brueckennaehe,XRP_2024_5M,dio_104t,dio_mcm_episode_0b7nep9,1,0.89023,-0.009682,0.005433
1,0,0,0,0,0,0,dio_meaning_edge_4a22a528,dio_meaning_node_6dd27652,dio_semantic_core_4705bcfe,semantisch_gekoppelt,family,brueckennaehe,DOGE_2024_5M,dio_104t,dio_mcm_episode_0b7nep9,1,0.876312,-0.003181,0.004975
1,0,0,0,0,0,0,dio_meaning_edge_d451f964,dio_meaning_node_119d9d87,dio_semantic_core_ec128334,semantisch_gekoppelt,family,randdrucknaehe,SOL_2024_5M,dio_155c,dio_mcm_episode_1joiyc3,2,0.875536,-0.000617,0.007151
1,0,0,0,0,0,0,dio_meaning_edge_8e8e7379,dio_meaning_node_119d9d87,dio_semantic_core_211bb647,semantisch_gekoppelt,family,brueckennaehe,SOL_2024_5M,dio_104t,dio_mcm_episode_1joiyc3,2,0.875318,-0.003218,0.004441
1,0,0,0,0,0,0,dio_meaning_edge_434e617e,dio_meaning_node_541277a5,dio_semantic_core_f88f6a94,semantisch_gekoppelt,family,brueckennaehe,XRP_2024_5M,dio_0m9z,dio_mcm_episode_0b7nep9,1,0.874044,-0.003558,0.003464
1,0,0,0,0,0,0,dio_meaning_edge_c40b8186,dio_meaning_node_b7394769,dio_semantic_core_05d63119,semantisch_gekoppelt,family,brueckennaehe,DOGE_2024_5M,dio_104t,dio_mcm_episode_14coypf,1,0.845232,0.0043,-0.003084
