row_type,asset_family_pairs,drift_sources,quality_transitions,asset_drift_sources,window_readings,mean_window_field_edge,drift_source,count,share,asset,family,baseline_attachment_quality,followup_attachment_quality,repro_state,attachment_profile,mean_field_edge_score
summary,206,baseline_offen_wird_spezifisch:111; spezifisch_wird_offen:38; nachhall_wird_kernnah:35; neue_familienlage:10; reproduktion:9; kern_ohne_feldzeit_wird_nullnah:2; spezifische_qualitaet_driftet:1,offen_gemischt->kernnah:76; kernnah->offen_gemischt:38; nachhallnah_ohne_kern->kernnah:35; offen_gemischt->nullnah:30; offen_gemischt->kernnah_ohne_feldzeit:5; neu_ohne_baseline->kernnah:4; kernnah->kernnah:4; neu_ohne_baseline->nullnah:4; offen_gemischt->offen_gemischt:3; neu_ohne_baseline->offen_gemischt:2; kernnah_ohne_feldzeit->nullnah:2; kernnah_ohne_feldzeit->kernnah_ohne_feldzeit:2; nullnah->kernnah:1,SOL::baseline_offen_wird_spezifisch:42; DOGE::spezifisch_wird_offen:38; BTC::nachhall_wird_kernnah:35; XRP::baseline_offen_wird_spezifisch:35; PAXG::baseline_offen_wird_spezifisch:31; PAXG::reproduktion:7; XRP::neue_familienlage:4; BTC::baseline_offen_wird_spezifisch:3; PAXG::neue_familienlage:3; SOL::neue_familienlage:2; XRP::kern_ohne_feldzeit_wird_nullnah:2; XRP::reproduktion:2; BTC::spezifische_qualitaet_driftet:1; BTC::neue_familienlage:1,realwelt_kernnaehe_staerker:4; graduell_gemischt:3; graduell_realnaeher_kern:1; nullwelt_staerker:1; graduell_kernnaehe_ohne_feldzeitvorsprung:1,0.018561,,,,,,,,,,
drift_source_summary,,,,,,,baseline_offen_wird_spezifisch,111,0.538835,,,,,,,
drift_source_summary,,,,,,,spezifisch_wird_offen,38,0.184466,,,,,,,
drift_source_summary,,,,,,,nachhall_wird_kernnah,35,0.169903,,,,,,,
drift_source_summary,,,,,,,neue_familienlage,10,0.048544,,,,,,,
drift_source_summary,,,,,,,reproduktion,9,0.043689,,,,,,,
drift_source_summary,,,,,,,kern_ohne_feldzeit_wird_nullnah,2,0.009709,,,,,,,
drift_source_summary,,,,,,,spezifische_qualitaet_driftet,1,0.004854,,,,,,,
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_00ja,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_00ly,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_04uf,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_06er,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_06jk,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_06s7,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_09bn,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_0dd2,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_0g2r,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_0h9h,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_0l7p,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_0m9z,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_0nlj,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_0obq,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_0oc3,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_0pz6,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_0tay,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_104t,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_1492,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_14wj,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_155c,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
drift_detail,,,,,,,nachhall_wird_kernnah,,,BTC,dio_169a,nachhallnah_ohne_kern,kernnah,anschlussqualitaet_driftet,kernnah:2,0.040178
