row_type,sources,phase_rows,phase_local_quality,inherited_window_quality,window_to_phase_transitions,phase_profile,asset_profile,quality_matches_window,quality_differs_from_window,count,share,source_report,asset,window_start,family,phase,family_reading,dominant_role,rekopplung,strain,afterimage,temporal,null_count,null_kinds,null_share,null_rekopplung,null_strain,null_afterimage,null_temporal,share_edge,rekopplung_edge,strain_edge,afterimage_edge,temporal_edge
summary,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv; docs\befunde\1848_ANSCHLUSSQUALITAET_NEUE_FENSTER.csv; docs\befunde\1853_FAMILIEN_ANSCHLUSSKARTE_NEUE_WELTEN.csv,3240,phase_nullnah:1423; phase_offen_gemischt:1046; phase_nachhallnah_ohne_kern:353; phase_ohne_nullfamilie:258; phase_kernnah:160,offen_gemischt:1188; kernnah:1080; kernnah_ohne_feldzeit:432; nullnah:324; nachhallnah_ohne_kern:108; anschlussnah:108,offen_gemischt->phase_nullnah:519; kernnah->phase_nullnah:448; offen_gemischt->phase_offen_gemischt:375; kernnah->phase_offen_gemischt:362; kernnah_ohne_feldzeit->phase_nullnah:208; nullnah->phase_nullnah:163; kernnah_ohne_feldzeit->phase_offen_gemischt:135; offen_gemischt->phase_nachhallnah_ohne_kern:130; kernnah->phase_nachhallnah_ohne_kern:113; offen_gemischt->phase_ohne_nullfamilie:111; nullnah->phase_offen_gemischt:107; kernnah->phase_ohne_nullfamilie:90; kernnah->phase_kernnah:67; kernnah_ohne_feldzeit->phase_nachhallnah_ohne_kern:59; nachhallnah_ohne_kern->phase_nullnah:57; offen_gemischt->phase_kernnah:53; anschlussnah->phase_offen_gemischt:37; nachhallnah_ohne_kern->phase_offen_gemischt:30; nullnah->phase_nachhallnah_ohne_kern:28; anschlussnah->phase_nullnah:28; nullnah->phase_ohne_nullfamilie:18; anschlussnah->phase_ohne_nullfamilie:18; kernnah_ohne_feldzeit->phase_kernnah:15; kernnah_ohne_feldzeit->phase_ohne_nullfamilie:15; anschlussnah->phase_kernnah:14; nachhallnah_ohne_kern->phase_nachhallnah_ohne_kern:12; anschlussnah->phase_nachhallnah_ohne_kern:11; nullnah->phase_kernnah:8; nachhallnah_ohne_kern->phase_ohne_nullfamilie:6; nachhallnah_ohne_kern->phase_kernnah:3,frueh::phase_nullnah:565; mitte::phase_nullnah:458; spaet::phase_offen_gemischt:409; spaet::phase_nullnah:400; mitte::phase_offen_gemischt:325; frueh::phase_offen_gemischt:312; mitte::phase_nachhallnah_ohne_kern:171; spaet::phase_nachhallnah_ohne_kern:163; frueh::phase_kernnah:98; frueh::phase_ohne_nullfamilie:86; mitte::phase_ohne_nullfamilie:86; spaet::phase_ohne_nullfamilie:86; mitte::phase_kernnah:40; spaet::phase_kernnah:22; frueh::phase_nachhallnah_ohne_kern:19,BTC::phase_nullnah:323; DOGE::phase_nullnah:321; XRP::phase_nullnah:318; SOL::phase_nullnah:306; PAXG::phase_offen_gemischt:237; BTC::phase_offen_gemischt:208; SOL::phase_offen_gemischt:206; DOGE::phase_offen_gemischt:198; XRP::phase_offen_gemischt:197; PAXG::phase_nullnah:155; PAXG::phase_ohne_nullfamilie:105; PAXG::phase_kernnah:80; XRP::phase_nachhallnah_ohne_kern:73; BTC::phase_nachhallnah_ohne_kern:72; PAXG::phase_nachhallnah_ohne_kern:71; DOGE::phase_nachhallnah_ohne_kern:69; SOL::phase_nachhallnah_ohne_kern:68; SOL::phase_ohne_nullfamilie:48; DOGE::phase_ohne_nullfamilie:39; XRP::phase_ohne_nullfamilie:39; BTC::phase_ohne_nullfamilie:27; DOGE::phase_kernnah:21; XRP::phase_kernnah:21; SOL::phase_kernnah:20; BTC::phase_kernnah:18,617,2623,,,,,,,,,,,,,,,,,,,,,,,,,
phase_quality_summary,,,phase_nullnah,,,,,,,1423,0.439198,,,,,,,,,,,,,,,,,,,,,,,
phase_quality_summary,,,phase_offen_gemischt,,,,,,,1046,0.32284,,,,,,,,,,,,,,,,,,,,,,,
phase_quality_summary,,,phase_nachhallnah_ohne_kern,,,,,,,353,0.108951,,,,,,,,,,,,,,,,,,,,,,,
phase_quality_summary,,,phase_ohne_nullfamilie,,,,,,,258,0.07963,,,,,,,,,,,,,,,,,,,,,,,
phase_quality_summary,,,phase_kernnah,,,,,,,160,0.049383,,,,,,,,,,,,,,,,,,,,,,,
phase_local_detail,,,phase_offen_gemischt,nachhallnah_ohne_kern,,,,False,,247,0.0741296518607443,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_104t,frueh,anschlussfaehige_oberflaeche,field_stabil,0.7562202672064777,0.160216,0.7804934858299595,0.9201879716599191,2,null_random;null_shuffle,0.07172869147659064,0.7587969790794978,0.16095868619246864,0.7854698033472803,0.9205991966527197,0.00240096,-0.002576712,-0.000742686,-0.004976318,-0.000411225
phase_local_detail,,,phase_nachhallnah_ohne_kern,nachhallnah_ohne_kern,,,,True,,176,0.05283698589012309,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_104t,mitte,anschlussfaehige_oberflaeche,field_stabil,0.7547421306818183,0.16505290909090908,0.8343525965909091,0.9473169261363636,2,null_random;null_shuffle,0.07805463824677274,0.7585499597989949,0.16342745,0.8318590301507538,0.946057150753769,-0.025217652,-0.003807829,0.001625459,0.002493566,0.001259775
phase_local_detail,,,phase_offen_gemischt,nachhallnah_ohne_kern,,,,False,,242,0.07265085559891925,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_104t,spaet,anschlussfaehige_oberflaeche,field_stabil,0.7563651280991736,0.16329854545454545,0.8385475950413223,0.9494497024793389,2,null_random;null_shuffle,0.06514560192134494,0.7583328341013824,0.1635653087557604,0.8383947050691244,0.9494329447004608,0.007505254,-0.001967706,-0.000266763,0.00015289,1.6758e-05
phase_local_detail,,,phase_offen_gemischt,nachhallnah_ohne_kern,,,,False,,191,0.05732292917166867,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_155c,frueh,anschlussfaehige_oberflaeche,field_stabil,0.7499819947643979,0.16957248691099477,0.7748748062827225,0.9138988429319371,2,null_random;null_shuffle,0.045018007202881155,0.75086452,0.16963548666666667,0.7693709444444444,0.90813852,0.012304922,-0.000882525,-6.3e-05,0.005503862,0.005760323
phase_local_detail,,,phase_offen_gemischt,nachhallnah_ohne_kern,,,,False,,166,0.04983488441909337,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_155c,mitte,anschlussfaehige_oberflaeche,field_stabil,0.7507409036144579,0.1738486204819277,0.8430839819277108,0.9474829096385542,2,null_random;null_shuffle,0.047132993095166616,0.7526522777777778,0.1729639617834395,0.8446887222222222,0.9471930625,0.002701891,-0.001911374,0.000884659,-0.00160474,0.000289847
phase_local_detail,,,phase_offen_gemischt,nachhallnah_ohne_kern,,,,False,,149,0.04473131191834284,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_155c,spaet,anschlussfaehige_oberflaeche,field_stabil,0.7515646308724833,0.17240779194630873,0.8496752483221477,0.9507204362416107,2,null_random;null_shuffle,0.04413089162413689,0.753955843537415,0.17179878911564628,0.849744081632653,0.9494376870748299,0.00060042,-0.002391213,0.000609003,-6.8833e-05,0.001282749
phase_local_detail,,,phase_offen_gemischt,nachhallnah_ohne_kern,,,,False,,132,0.03961584633853541,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_0m9z,frueh,anschlussfaehige_oberflaeche,field_stabil,0.7424282348484849,0.1774341590909091,0.7683592424242424,0.9050960303030302,2,null_random;null_shuffle,0.039315726290516204,0.7447909830508475,0.17712919491525422,0.7705740610687023,0.9049479389312978,0.00030012,-0.002362748,0.000304964,-0.002214819,0.000148091
phase_local_detail,,,phase_nullnah,nachhallnah_ohne_kern,,,,False,,120,0.03602521765235665,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_0m9z,mitte,anschlussfaehige_oberflaeche,field_stabil,0.7421090833333334,0.18296804166666666,0.8472730333333334,0.9465324166666667,2,null_random;null_shuffle,0.04052836985890123,0.7451262056074767,0.1833648962962963,0.8454214666666667,0.9466379925925925,-0.004503152,-0.003017122,-0.000396855,0.001851567,-0.000105576
phase_local_detail,,,phase_offen_gemischt,nachhallnah_ohne_kern,,,,False,,140,0.04202942059441609,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_0m9z,spaet,anschlussfaehige_oberflaeche,field_stabil,0.7443543928571429,0.18061262142857143,0.8508482428571428,0.9493911071428572,2,null_random;null_shuffle,0.04172921044731312,0.7451738380952381,0.18291278417266185,0.8625381142857143,0.9525225904761905,0.00030021,-0.000819445,-0.002300163,-0.011689871,-0.003131483
phase_local_detail,,,phase_nullnah,nachhallnah_ohne_kern,,,,False,,127,0.03811524609843937,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_0l7p,frueh,anschlussfaehige_oberflaeche,field_stabil,0.7619542598425197,0.15026797637795278,0.7641187559055118,0.9066438503937009,2,null_random;null_shuffle,0.04831932773109244,0.7657624534161491,0.15082465838509315,0.770196,0.912095900621118,-0.010204082,-0.003808194,-0.000556682,-0.006077244,-0.00545205
phase_local_detail,,,phase_nullnah,nachhallnah_ohne_kern,,,,False,,132,0.03962773941759232,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_0l7p,mitte,anschlussfaehige_oberflaeche,field_stabil,0.763899212121212,0.15324078787878787,0.8475125984848485,0.9494590833333333,2,null_random;null_shuffle,0.03992794956469529,0.7682884360902256,0.15319154887218045,0.853404704,0.95046816,-0.00030021,-0.004389224,4.9239e-05,-0.005892106,-0.001009077
phase_local_detail,,,phase_offen_gemischt,nachhallnah_ohne_kern,,,,False,,124,0.037226058240768536,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_0l7p,spaet,anschlussfaehige_oberflaeche,field_stabil,0.764017435483871,0.15338429838709675,0.8578415806451613,0.953957129032258,2,null_random;null_shuffle,0.03392374662263584,0.7679206194690266,0.15398720192307694,0.8685865398230088,0.9570578849557523,0.003302312,-0.003903184,-0.000602904,-0.010744959,-0.003100756
phase_local_detail,,,phase_nullnah,nachhallnah_ohne_kern,,,,False,,97,0.029111644657863145,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_0h9h,frueh,anschlussfaehige_oberflaeche,field_stabil,0.7578568659793815,0.1553130412371134,0.7618187113402062,0.8976423814432989,2,null_random;null_shuffle,0.031512605042016806,0.7634666125,0.1544087375,0.7615702571428572,0.8991479142857144,-0.00240096,-0.005609747,0.000904304,0.000248454,-0.001505533
phase_local_detail,,,phase_nullnah,nachhallnah_ohne_kern,,,,False,,97,0.029120384268988293,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_0h9h,mitte,anschlussfaehige_oberflaeche,field_stabil,0.7617681340206186,0.1587076082474227,0.8621133092783505,0.9514625257731959,2,null_random;null_shuffle,0.03482437706394476,0.7647820603448277,0.15830005555555554,0.8653339222222223,0.9520317111111112,-0.005703993,-0.003013926,0.000407553,-0.003220613,-0.000569185
phase_local_detail,,,phase_nachhallnah_ohne_kern,nachhallnah_ohne_kern,,,,True,,95,0.028519963974782347,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_0h9h,spaet,anschlussfaehige_oberflaeche,field_stabil,0.7628096631578948,0.15882366315789473,0.8727186421052632,0.9555020421052631,2,null_random;null_shuffle,0.03452416691684179,0.7650205565217391,0.1574810434782609,0.8667498969072166,0.9546339381443298,-0.006004203,-0.002210893,0.00134262,0.005968745,0.000868104
phase_local_detail,,,phase_nullnah,nachhallnah_ohne_kern,,,,False,,77,0.023109243697478993,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_14wj,frueh,anschlussfaehige_oberflaeche,field_stabil,0.7660145974025975,0.14204533766233765,0.7420080779220779,0.8876064025974025,2,null_random;null_shuffle,0.026410564225690276,0.7703279659090909,0.14214805681818182,0.7535691704545454,0.8950369886363636,-0.003301321,-0.004313369,-0.000102719,-0.011561093,-0.007430586
phase_local_detail,,,phase_nullnah,nachhallnah_ohne_kern,,,,False,,55,0.016511558090663465,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_14wj,mitte,anschlussfaehige_oberflaeche,field_stabil,0.7691587454545454,0.14701979999999998,0.8754724363636364,0.9525547454545455,2,null_random;null_shuffle,0.022815971179825877,0.7744450789473685,0.1459060434782609,0.8775706231884058,0.9544355657894737,-0.006304413,-0.005286333,0.001113757,-0.002098187,-0.00188082
phase_local_detail,,,phase_nullnah,nachhallnah_ohne_kern,,,,False,,83,0.024917442209546684,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_14wj,spaet,anschlussfaehige_oberflaeche,field_stabil,0.769702734939759,0.14603051807228914,0.8658988433734939,0.9539692168674699,2,null_random;null_shuffle,0.029120384268988293,0.7747035360824742,0.14552234020618557,0.8901033666666667,0.9602068666666667,-0.004202942,-0.005000801,0.000508178,-0.024204523,-0.00623765
phase_local_detail,,,phase_nullnah,nachhallnah_ohne_kern,,,,False,,57,0.017106842737094837,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_00ly,frueh,anschlussfaehige_oberflaeche,field_stabil,0.756661,0.15444471929824563,0.708192403508772,0.8690482105263158,2,null_random;null_shuffle,0.019807923169267706,0.7610849545454546,0.15184358490566038,0.7246694848484849,0.8783168939393939,-0.00270108,-0.004423955,0.002601134,-0.016477081,-0.009268683
phase_local_detail,,,phase_nachhallnah_ohne_kern,nachhallnah_ohne_kern,,,,True,,50,0.015010507355148604,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_00ly,mitte,anschlussfaehige_oberflaeche,field_stabil,0.7616337400000001,0.15882021999999998,0.8848155,0.9506724599999999,2,null_random;null_shuffle,0.0204142900030021,0.7624504705882353,0.15846855882352942,0.8785526046511628,0.9498739534883721,-0.005403783,-0.000816731,0.000351661,0.006262895,0.000798507
phase_local_detail,,,phase_offen_gemischt,nachhallnah_ohne_kern,,,,False,,64,0.019213449414590213,docs\befunde\1846_MCM_FELDROLLEN_MEHRASSET_ZWISCHENLAGEN.csv,BTC,0,dio_00ly,spaet,anschlussfaehige_oberflaeche,field_stabil,0.762546859375,0.158622765625,0.8789624687500001,0.9546781875,2,null_random;null_shuffle,0.017111978384869407,0.7635382545454545,0.15955612727272728,0.895972947368421,0.9574848596491228,0.002101471,-0.000991395,-0.000933362,-0.017010479,-0.002806672
