row_type,baseline_source,followup_source,asset_family_pairs,repro_states,followup_qualities,asset_repro_states,asset,family,appearances,dominant_attachment_quality,dominant_attachment_count,second_attachment_quality,second_attachment_count,attachment_quality_gap,attachment_profile_state,attachment_profile,mean_total_count,mean_field_edge_score,baseline_attachment_quality,baseline_attachment_profile,repro_state
asset_family_repro,,,,,,,BTC,dio_0m9z,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,276.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_0nlj,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,58.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_0obq,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,98.0,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_0oc3,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,115.0,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_0pz6,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,95.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_0tay,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,62.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_104t,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,463.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_1492,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,47.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_14wj,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,152.0,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
asset_family_repro,,,,,,,BTC,dio_155c,2,kernnah,2,-,0,2,familienanschluss_deutlich,kernnah:2,318.5,0.040178,nachhallnah_ohne_kern,nachhallnah_ohne_kern:1; offen_gemischt:1; nullnah:1; kernnah:1,anschlussqualitaet_driftet
